,Unnamed: 0,ID,Interval,Model,accuracy,predict,sugestao
0,0,89,30,svm,0.8838862559241706,0.0,null
1,1,90,5,svm,0.7447306791569087,0.0,null
2,2,84,2,svm,0.6822429906542056,1.0,null
3,3,92,17,svm,0.8494117647058823,0.0,null
4,4,93,40,svm,0.888095238095238,0.0,null
5,5,87,1,svm,0.6565420560747663,0.0,null
6,6,94,27,svm,0.8747044917257684,0.0,null
7,7,95,27,svm,0.8817966903073287,1.0,null
