Date,dx
2010-01-04,
2010-01-05,100.0
2010-01-06,100.0
2010-01-07,87.53457495851144
2010-01-08,89.5379706901284
2010-01-11,31.137818188108803
2010-01-12,11.973679902110707
2010-01-13,19.04176173647588
2010-01-14,51.82447929804456
2010-01-15,52.450301867088235
2010-01-18,56.07172714111305
2010-01-19,19.4815559855907
2010-01-20,36.975309398839954
2010-01-21,50.44971589040288
2010-01-22,67.36739758148241
2010-01-25,67.36739758148242
2010-01-26,76.9768701299331
2010-01-27,29.17623263694628
2010-01-28,32.98082359680481
2010-01-29,34.391698441109895
2010-02-01,50.245284080406684
2010-02-02,31.358129014099106
2010-02-03,2.743736619526605
2010-02-04,30.554872130521098
2010-02-05,30.554872130521094
2010-02-08,30.554872130521094
2010-02-09,14.42451226031743
2010-02-10,8.297786598789994
2010-02-11,7.622185963901439
2010-02-12,4.1114846128831415
2010-02-15,4.111484612883126
2010-02-16,5.928792635957771
2010-02-17,19.843069733375874
2010-02-18,32.867291568798564
2010-02-19,38.89663650964722
2010-02-22,47.45363053596838
2010-02-23,26.30272751478578
2010-02-24,20.863066912699786
2010-02-25,1.4190897648285445
2010-02-26,1.419089764828556
2010-03-01,22.981774557406016
2010-03-02,43.49471944013092
2010-03-03,43.4947194401309
2010-03-04,45.288041551616246
2010-03-05,46.96533078422909
2010-03-08,55.706438483866364
2010-03-09,32.4234090153394
2010-03-10,44.532579703464855
2010-03-11,49.956410727669734
2010-03-12,53.43222585163916
2010-03-15,53.9472111772242
2010-03-16,52.97123982085588
2010-03-17,52.971239820855885
2010-03-18,5.839907808261883
2010-03-19,22.80725574617812
2010-03-22,35.38670010781744
2010-03-23,7.828176040562068
2010-03-24,7.927279672528169
2010-03-25,6.853114508564628
2010-03-26,30.00933341960117
2010-03-28,30.00933341960117
2010-03-29,10.411283778424393
2010-03-30,16.734240298205076
2010-03-31,25.983469197556925
2010-04-01,37.19824167618076
2010-04-04,37.19824167618075
2010-04-05,37.198241676180764
2010-04-06,15.69793816170737
2010-04-07,2.770856641763437
2010-04-08,2.770856641763428
2010-04-11,21.82939737820456
2010-04-12,34.117866796826256
2010-04-13,39.2072151283844
2010-04-14,43.89547420170622
2010-04-15,19.941121656796494
2010-04-18,9.526290831820667
2010-04-19,17.76550945671798
2010-04-20,22.026047344777382
2010-04-21,8.484375901031287
2010-04-22,8.484375901031282
2010-04-25,9.575988963320262
2010-04-26,13.22399712774948
2010-04-27,19.40305556265933
2010-04-28,15.365576956369123
2010-04-29,39.911116760240944
2010-05-02,28.040111583917792
2010-05-03,4.089943254818956
2010-05-04,31.5867842905642
2010-05-05,56.46031966660381
2010-05-06,63.7822852272302
2010-05-09,33.313209541952766
2010-05-10,3.720614733773479
2010-05-11,3.7206147337734774
2010-05-12,11.72941113490539
2010-05-13,15.742035502845997
2010-05-16,17.683766791134108
2010-05-17,17.683766791134094
2010-05-18,37.76032185918407
2010-05-19,51.34664913745222
2010-05-20,53.03226137649324
2010-05-23,33.525294805953656
2010-05-24,50.04710677226182
2010-05-25,29.15169152441673
2010-05-26,32.348873829782335
2010-05-27,2.6083434691052725
2010-05-30,17.86065765249282
2010-05-31,6.002872226865531
2010-06-01,13.186595750513572
2010-06-02,27.261143301763628
2010-06-03,10.342060305523907
2010-06-06,6.618541635939029
2010-06-07,8.15935251658403
2010-06-08,7.9297243515198845
2010-06-09,10.032701509121138
2010-06-10,33.84436407431444
2010-06-13,33.844364074314434
2010-06-14,31.327259913398926
2010-06-15,43.72622961591533
2010-06-16,43.72622961591534
2010-06-17,45.94122008797142
2010-06-20,50.67086311340374
2010-06-21,48.15194662123099
2010-06-22,6.352003304271086
2010-06-23,7.094221083133383
2010-06-24,12.117236276921076
2010-06-27,17.08298308416448
2010-06-28,11.519914248328611
2010-06-29,12.759809647475773
2010-06-30,12.75980964747577
2010-07-01,37.648640951610986
2010-07-04,47.58029373805543
2010-07-05,45.618582953130854
2010-07-06,35.109367629686275
2010-07-07,43.97938884949376
2010-07-08,45.25848617110729
2010-07-11,48.641150831204115
2010-07-12,48.64115083120412
2010-07-13,55.26563064135559
2010-07-14,35.541540290289234
2010-07-15,17.192456000029363
2010-07-18,13.240754944604245
2010-07-19,4.609330862425568
2010-07-20,21.743447220106862
2010-07-21,16.31925409142006
2010-07-22,39.976545674104486
2010-07-25,28.161622445042404
2010-07-26,38.247051501273454
2010-07-27,36.42236874571032
2010-07-28,35.50519246214145
2010-07-29,47.515817071487
2010-08-01,51.07918308602394
2010-08-02,34.956293307907785
2010-08-03,34.956293307907785
2010-08-04,43.394376250095725
2010-08-05,34.87695813657676
2010-08-08,34.87695813657676
2010-08-09,49.16934687762388
2010-08-10,19.530931878780923
2010-08-11,4.272298540408074
2010-08-12,15.659819834261093
2010-08-15,15.659819834261105
2010-08-16,44.2401087784467
2010-08-17,45.55565306598871
2010-08-18,18.08539101066564
2010-08-19,15.411745724619564
2010-08-22,15.41174572461956
2010-08-23,23.386851415705813
2010-08-24,23.386851415705813
2010-08-25,2.3841162756829375
2010-08-26,0.9019228872154452
2010-08-29,27.076636574999657
2010-08-30,6.473808054787282
2010-08-31,14.106261410139693
2010-09-01,31.57133786047494
2010-09-02,52.46753687715333
2010-09-05,34.75440659795757
2010-09-06,40.81490551091615
2010-09-07,39.45612283632898
2010-09-08,44.74673222881489
2010-09-09,47.80638609224617
2010-09-12,49.60940287130101
2010-09-13,62.36149840902887
2010-09-14,42.13331522589326
2010-09-15,33.528509126689784
2010-09-16,50.13957275876285
2010-09-19,31.48842351243643
