Date,kdjj_9
2010-10-11,41.931323544
2010-10-12,61.0012765915
2010-10-13,57.0110789485
2010-10-14,61.3752276713
2010-10-17,19.1282357075
2010-10-18,52.6136422395
2010-10-19,84.7115506148
2010-10-20,87.4490539143
2010-10-21,101.622279099
2010-10-24,64.0581416676
2010-10-25,86.4757478749
2010-10-26,92.9788526138
2010-10-27,105.504555314
2010-10-28,106.150873185
2010-11-01,48.0633283223
2010-11-02,68.5523624379
2010-11-03,72.7886194475
2010-11-04,64.5116718254
2010-11-05,55.1656847826
2010-11-08,54.4969047038
2010-11-09,68.3258633752
2010-11-10,78.1978664825
2010-11-11,90.5882061896
2010-11-12,103.897209815
2010-11-15,69.8554468542
2010-11-16,84.4351691368
2010-11-17,97.0090494793
2010-11-18,95.631355112
2010-11-19,78.7153390551
2010-11-22,36.3248789942
2010-11-23,57.2770391789
2010-11-24,80.9105597942
2010-11-25,81.2931276049
2010-11-26,74.664264985
2010-11-29,85.3722461992
2010-11-30,80.7486831753
2010-12-01,75.5331929269
2010-12-02,65.9696602869
2010-12-03,60.5698476861
2010-12-06,10.8151952991
2010-12-07,26.5184215972
2010-12-08,33.2125465707
2010-12-09,50.0525543471
2010-12-10,71.8943588351
2010-12-13,88.045801288
2010-12-14,84.9708502698
2010-12-15,82.3787073516
2010-12-16,85.2716686277
2010-12-17,90.5705542032
2010-12-20,56.6825767893
2010-12-21,75.7996024242
2010-12-22,77.9765750636
2010-12-23,82.2344507675
2010-12-24,76.3887352231
2010-12-27,72.2682527855
2010-12-28,66.0314917926
2010-12-29,68.4337017296
2010-12-30,60.9053066422
2010-12-31,48.5077024014
2011-01-03,10.3209148121
2011-01-04,25.1272661712
2011-01-05,55.3910662352
2011-01-06,77.3379090602
2011-01-07,97.065475099
2011-01-10,62.2107198715
2011-01-11,87.8041542175
2011-01-12,61.3889879399
2011-01-13,34.1393526021
2011-01-14,57.4734370616
2011-01-17,46.255427844
2011-01-18,72.0300493951
2011-01-19,73.1718669064
2011-01-20,71.9415205205
2011-01-21,34.0929054355
2011-01-24,-2.6916437066
2011-01-25,41.6619615976
2011-01-26,61.7564614681
2011-01-27,18.2561396486
2011-01-28,63.9602189189
2011-01-31,38.9918569273
2011-02-01,65.17623756
2011-02-02,77.2441252054
2011-02-03,79.5962439204
2011-02-04,86.0091232159
2011-02-07,39.4380703579
2011-02-08,20.3068253242
2011-02-09,52.3239397948
2011-02-10,66.7113705523
2011-02-11,80.038708327
2011-02-14,29.718606393
2011-02-15,63.7845901293
2011-02-16,83.4772761226
2011-02-17,92.9757908763
2011-02-18,90.217950867
2011-02-21,31.1980364923
2011-02-22,66.3672508324
2011-02-23,88.1926380583
2011-02-24,100.380454587
2011-02-25,94.734655141
2011-02-28,87.4001369876
2011-03-01,81.5461456521
2011-03-02,76.5285690493
2011-03-03,69.6646417105
2011-03-04,60.5778262505
2011-03-07,43.8079934454
2011-03-08,46.6087273751
2011-03-09,38.6012440996
2011-03-10,55.8620058358
2011-03-11,74.8035110749
2011-03-14,69.395906057
2011-03-15,71.7380175422
2011-03-16,68.982405228
2011-03-17,94.8996067862
2011-03-18,112.086971462
2011-03-21,86.2707986115
2011-03-22,63.0381270963
2011-03-23,27.1606791298
2011-03-24,19.3964444218
2011-03-25,13.892413087
2011-03-27,-9.00289715274
2011-03-28,11.1335057743
2011-03-29,41.484931643
2011-03-30,25.9630167295
2011-03-31,38.0668311446
2011-04-03,27.9561650051
2011-04-04,15.1621447763
2011-04-05,11.5733790708
2011-04-06,24.4317112787
2011-04-07,25.8622197301
2011-04-10,10.7268039431
2011-04-11,13.541818346
2011-04-12,32.7243221436
2011-04-13,49.9198934522
2011-04-14,17.1953925804
2011-04-17,8.38817655987
2011-04-18,37.8282171394
2011-04-19,51.620266354
2011-04-20,38.9191276373
2011-04-21,31.9669459144
2011-04-24,12.7055352138
2011-04-25,31.3377657969
2011-04-26,26.4894940666
2011-04-27,27.7258012673
2011-04-28,72.310871925
2011-05-01,46.131410633
2011-05-02,57.2084852299
2011-05-03,68.4115109104
2011-05-04,81.4651455274
2011-05-05,109.779231516
2011-05-08,88.8997706478
2011-05-09,92.8198655197
2011-05-10,82.2128318171
2011-05-11,90.4336363062
2011-05-12,75.3911304804
2011-05-15,92.5359872672
2011-05-16,89.5383254986
2011-05-17,61.917459265
2011-05-18,34.9186637658
2011-05-19,31.7702370271
2011-05-22,22.578335323
2011-05-23,71.1770753301
2011-05-24,76.4323203092
2011-05-25,75.4361433116
2011-05-26,71.2215204503
2011-05-29,25.4926167693
2011-05-30,16.9257712736
2011-05-31,2.5507191294
2011-06-01,12.8295317136
2011-06-02,25.6680952389
2011-06-05,26.4241880361
2011-06-06,38.1410531494
2011-06-07,46.9340243316
2011-06-08,71.7525102368
2011-06-09,89.2453808994
2011-06-12,107.531342195
2011-06-13,106.392501531
2011-06-14,89.7899056107
2011-06-15,85.2711469534
2011-06-16,93.6589971779
2011-06-19,58.9848520005
2011-06-20,50.271494335
2011-06-21,29.8011063354
2011-06-22,19.7459710403
2011-06-23,24.068587071
2011-06-26,26.6111308489
2011-06-27,40.6260612744
2011-06-28,33.2134108483
2011-06-29,26.9909586667
2011-06-30,19.7830015947
2011-07-03,-1.46770277377
2011-07-04,-5.28624807113
2011-07-05,11.9239651519
2011-07-06,29.4413272935
2011-07-07,19.4816183687
2011-07-10,38.3694895573
2011-07-11,85.392662662
2011-07-12,96.1413260105
2011-07-13,84.3945261925
2011-07-14,95.1503657901
2011-07-17,80.2518671876
2011-07-18,86.0741035995
2011-07-19,67.1847247897
2011-07-20,49.9578686486
2011-07-21,17.6035575921
2011-07-24,22.4595445554
2011-07-25,22.201993651
2011-07-26,9.16882532938
2011-07-27,43.9127154385
2011-07-28,73.1361680172
2011-07-31,60.6172544967
2011-08-01,71.5203146475
2011-08-02,85.3722072311
2011-08-03,80.7009223252
2011-08-04,81.4217396333
2011-08-07,89.7910923889
2011-08-08,64.3632951615
2011-08-09,72.9994834216
2011-08-10,72.830214638
2011-08-11,72.903815484
2011-08-14,64.2663024586
2011-08-15,43.8137730345
2011-08-16,16.7798150184
2011-08-17,-2.33981079468
2011-08-18,16.957423928
2011-08-21,23.2036730502
2011-08-22,35.9657004409
2011-08-23,43.3296142008
2011-08-24,73.763566475
2011-08-25,91.2385184975
2011-08-28,80.685876079
2011-08-29,53.9551859379
2011-08-30,26.8062651061
2011-08-31,5.27494991701
2011-09-01,15.4054384275
2011-09-04,48.4774297129
2011-09-05,77.7988207254
2011-09-06,101.454367056
2011-09-07,105.365894435
2011-09-08,92.390908353
2011-09-11,90.6435587086
2011-09-12,96.5886645779
2011-09-13,93.5954148582
2011-09-14,95.9402046492
2011-09-15,84.0919754757
2011-09-18,53.8275981459
2011-09-19,76.6860355235
2011-09-20,74.3263511768
2011-09-21,62.1828445163
2011-09-22,66.4735636069
2011-09-25,62.4911788709
2011-09-26,57.8234181474
2011-09-27,41.5926953123
2011-09-28,36.8137736972
2011-09-29,27.6725695236
2011-10-02,32.1823506577
2011-10-03,50.8495883166
2011-10-04,46.7638428947
2011-10-05,39.1595185335
2011-10-06,34.6574526522
2011-10-09,17.1404814553
2011-10-10,2.1135654508
2011-10-11,-7.73732466899
2011-10-12,5.63605115986
2011-10-13,3.49664269648
2011-10-16,-1.135423314
2011-10-17,23.8191783722
2011-10-18,50.2780870542
2011-10-19,57.772417337
2011-10-20,86.822187524
2011-10-23,79.4326052011
2011-10-24,54.9423921757
2011-10-25,54.376338916
2011-10-26,54.6223999125
2011-10-27,31.7785369699
2011-10-31,15.787535812
2011-11-01,11.8414232011
2011-11-02,43.6184230702
2011-11-03,56.9207604804
2011-11-04,67.1535851095
2011-11-07,84.4410457266
2011-11-08,99.6759720486
2011-11-09,96.8025575731
2011-11-10,93.2203157928
2011-11-11,88.6092332013
2011-11-14,57.5231232554
2011-11-15,63.8481833008
2011-11-16,74.4239823912
2011-11-17,76.9949075097
2011-11-18,70.0512096375
2011-11-21,62.6356715222
2011-11-22,80.4235695682
2011-11-23,68.8741372405
2011-11-24,78.9408399007
2011-11-25,80.7388132325
2011-11-28,82.3850073449
2011-11-29,69.5524118284
2011-11-30,55.7628670794
2011-12-01,24.0899519647
2011-12-02,12.0992507799
2011-12-05,6.07705616916
2011-12-06,-3.16730339883
2011-12-07,0.31679355952
2011-12-08,11.1328177318
2011-12-09,42.9416324738
2011-12-12,44.3940417304
2011-12-13,54.3385969621
2011-12-14,81.4910663763
2011-12-15,104.613465874
2011-12-16,100.932310673
2011-12-19,91.7692982638
2011-12-20,96.2084256057
2011-12-21,73.7384044003
2011-12-22,73.713054737
2011-12-23,51.2824490078
2011-12-26,51.2768270555
2011-12-27,51.1876829475
2011-12-28,55.2227456063
2011-12-29,77.1970430758
2011-12-30,71.7755403998
2012-01-02,64.5655267851
2012-01-03,71.8282781558
2012-01-04,40.9921238334
2012-01-05,8.50465361037
2012-01-06,20.7817171759
2012-01-09,33.6065295403
2012-01-10,44.8736933221
2012-01-11,17.0012759402
2012-01-12,16.604564397
2012-01-13,8.31181702248
2012-01-16,15.8369829328
2012-01-17,11.5216641708
2012-01-18,10.3247875603
2012-01-19,6.91875830239
2012-01-20,-4.37030986984
2012-01-23,9.39239532381
2012-01-24,7.38254000449
2012-01-25,19.8630780877
2012-01-26,47.4441697145
2012-01-27,188.475935353
2012-01-30,96.0710190786
2012-01-31,68.0085695072
2012-02-01,49.7886475043
2012-02-02,27.6878504259
2012-02-03,4.76480179434
2012-02-06,-3.84796136429
2012-02-07,7.90011133318
2012-02-08,19.5617850685
2012-02-09,20.6320440027
2012-02-10,17.4908322995
2012-02-13,22.1234100564
2012-02-14,22.9324478823
2012-02-15,25.5566319833
2012-02-16,62.2583091347
2012-02-17,49.2483043339
2012-02-20,25.7791822927
2012-02-21,34.3016206745
2012-02-22,31.7026567751
2012-02-23,29.7612610064
2012-02-24,42.7469614582
2012-02-27,37.8788038016
2012-02-28,33.9241176717
2012-02-29,29.3468006001
2012-03-01,64.8778926611
2012-03-02,73.6907194501
2012-03-05,85.8753925997
2012-03-06,84.744198453
2012-03-07,94.8199149335
2012-03-08,99.1789219056
2012-03-09,94.8186345245
2012-03-12,89.3533052652
2012-03-13,86.9716908217
2012-03-14,79.9546473294
2012-03-15,83.9292943712
2012-03-16,82.7691821721
2012-03-19,80.5495901387
2012-03-20,86.7459396678
2012-03-21,81.7769305686
2012-03-22,81.5207237755
2012-03-23,76.9018658045
2012-03-25,60.915833396
2012-03-26,65.5684449409
2012-03-27,74.8465475056
2012-03-28,74.9243075351
2012-03-29,70.2599481147
2012-04-01,76.930355132
2012-04-02,93.1549850439
2012-04-03,83.6638945031
2012-04-04,75.8695648669
2012-04-05,55.336206923
2012-04-08,43.6103773759
2012-04-09,39.180418109
2012-04-10,62.009087161
2012-04-11,77.7117237872
2012-04-12,70.5130794986
2012-04-15,75.891060806
2012-04-16,89.275383656
2012-04-17,90.1542013238
2012-04-18,93.3944429149
2012-04-19,95.8140504928
2012-04-22,86.3825959288
2012-04-23,88.882674857
2012-04-24,89.3521099486
2012-04-25,87.4239794594
2012-04-26,90.3521101078
