Date,macds
2010-01-04,-0.25020073904326534
2010-01-05,-0.2421774066288618
2010-01-06,-0.24042354975488683
2010-01-07,-0.23676314233890117
2010-01-08,-0.23634899898945155
2010-01-11,-0.2375113310963904
2010-01-12,-0.2366158529369576
2010-01-13,-0.2314544256419857
2010-01-14,-0.21733628035626518
2010-01-15,-0.19982192660415846
2010-01-18,-0.18242207164869736
2010-01-19,-0.1618897984796656
2010-01-20,-0.13466425431654108
2010-01-21,-0.1007489422831925
2010-01-22,-0.0575001103088857
2010-01-25,-0.027587000683220057
2010-01-26,0.014735020689422326
2010-01-27,0.06877374341853937
2010-01-28,0.1346260286348014
2010-01-29,0.20535989282987183
2010-02-01,0.269040569385027
2010-02-02,0.30816577320271343
2010-02-03,0.33825225368986084
2010-02-04,0.3747361302535671
2010-02-05,0.4128858848913295
2010-02-08,0.4428160778533434
2010-02-09,0.4499225436040337
2010-02-10,0.444697372685764
2010-02-11,0.430910971046349
2010-02-12,0.41457545775731924
2010-02-15,0.3922566259711531
2010-02-16,0.3612070028508649
2010-02-17,0.31989715905146066
2010-02-18,0.26558150058530033
2010-02-19,0.1965114953740724
2010-02-22,0.12324911882383209
2010-02-23,0.05663599785374533
2010-02-24,-0.003552749634943544
2010-02-25,-0.04764097857448301
2010-02-26,-0.09618597014824141
2010-03-01,-0.14970597837887384
2010-03-02,-0.23976968843506835
2010-03-03,-0.31741019459755604
2010-03-04,-0.38275750885259296
2010-03-05,-0.4424838101112312
2010-03-08,-0.4913903751729829
2010-03-09,-0.5324560790315123
2010-03-10,-0.5730531917035051
2010-03-11,-0.6099281107406911
2010-03-12,-0.6461864331798753
2010-03-15,-0.6790257225794903
2010-03-16,-0.7043266434896525
2010-03-17,-0.7248969687996448
2010-03-18,-0.735278716739562
2010-03-19,-0.7241143465475659
2010-03-22,-0.6966976252190811
2010-03-23,-0.669891704759407
2010-03-24,-0.6367482130184814
2010-03-25,-0.5972693746773222
2010-03-26,-0.5415313604790403
2010-03-28,-0.4860650402118644
2010-03-29,-0.44146104961975885
2010-03-30,-0.41310064214220626
2010-03-31,-0.40459331195595827
2010-04-01,-0.4088491349509176
2010-04-04,-0.4230715190223504
2010-04-05,-0.44665630398872375
2010-04-06,-0.46079871017578716
2010-04-07,-0.47007294863511007
2010-04-08,-0.47644454628149974
2010-04-11,-0.48855771500333234
2010-04-12,-0.5273642963617459
2010-04-13,-0.5617539655589496
2010-04-14,-0.5885866566345066
2010-04-15,-0.6049772977440834
2010-04-18,-0.6108219781207408
2010-04-19,-0.6133674127525401
2010-04-20,-0.6154450834337866
2010-04-21,-0.607463201949537
2010-04-22,-0.5931788956845664
2010-04-25,-0.5856181509553361
2010-04-26,-0.5699419210676575
2010-04-27,-0.5532027180662162
2010-04-28,-0.5514235761888884
2010-04-29,-0.5597380256039786
2010-05-02,-0.5719266730889809
2010-05-03,-0.5747421042981287
2010-05-04,-0.5534120322823363
2010-05-05,-0.48642500629808777
2010-05-06,-0.38501630098378853
2010-05-09,-0.3095689514198718
2010-05-10,-0.253871402592841
2010-05-11,-0.21460433216103897
2010-05-12,-0.18977073516172716
2010-05-13,-0.15689199636119536
2010-05-16,-0.12045089393665863
2010-05-17,-0.07674100277677876
2010-05-18,-0.023349347835240078
2010-05-19,0.06421743400444203
2010-05-20,0.14622553422225326
2010-05-23,0.22832987749012212
2010-05-24,0.3086928130806247
2010-05-25,0.37934055625586904
2010-05-26,0.41195311811221635
2010-05-27,0.41653751090360697
2010-05-30,0.4018514680287127
2010-05-31,0.38555077684638617
2010-06-01,0.3659322667232553
2010-06-02,0.3372413669657749
2010-06-03,0.3141526978320294
2010-06-06,0.3145220491542584
2010-06-07,0.3203015521966683
2010-06-08,0.31760045806839593
2010-06-09,0.2914884904607327
2010-06-10,0.25043793452485086
2010-06-13,0.19538732199217548
2010-06-14,0.12367676124442464
2010-06-15,0.04568621098989135
2010-06-16,-0.03362517570078639
2010-06-17,-0.11757390654646356
2010-06-20,-0.20529411521010754
2010-06-21,-0.28899943847856585
2010-06-22,-0.34620054648007614
2010-06-23,-0.3964654731254042
2010-06-24,-0.43855881808176245
2010-06-27,-0.4717534253834777
2010-06-28,-0.4824060274354843
2010-06-29,-0.4874838612289721
2010-06-30,-0.48369635300220754
2010-07-01,-0.48793937302262697
2010-07-04,-0.4970790639635874
2010-07-05,-0.5118974605313734
2010-07-06,-0.5300429468113997
2010-07-07,-0.5468019984563713
2010-07-08,-0.5679268321123659
2010-07-11,-0.5879025677946471
2010-07-12,-0.6076233511787867
2010-07-13,-0.6196305448595554
2010-07-14,-0.6230494208768835
2010-07-15,-0.6128675173525124
2010-07-18,-0.5917570802593652
2010-07-19,-0.5713138047500154
2010-07-20,-0.5529407213855505
2010-07-21,-0.5425283824226345
2010-07-22,-0.5368140780356702
2010-07-25,-0.5307809530876804
2010-07-26,-0.5270204179020489
2010-07-27,-0.5233376348926261
2010-07-28,-0.5178477515674632
2010-07-29,-0.5144973998311018
2010-08-01,-0.520961785520113
2010-08-02,-0.5264599921911988
2010-08-03,-0.5304347399575321
2010-08-04,-0.5332351384169698
2010-08-05,-0.5339940925436718
2010-08-08,-0.5590319632602149
2010-08-09,-0.5724522597741847
2010-08-10,-0.5720179872007538
2010-08-11,-0.5573395809208668
2010-08-12,-0.5350008085568708
2010-08-15,-0.5337148227603311
2010-08-16,-0.5259893044468024
2010-08-17,-0.5183401694197278
2010-08-18,-0.5099581996946182
2010-08-19,-0.4942318118369682
2010-08-22,-0.50144241881681
2010-08-23,-0.4944073518046791
