Date,mdm_14_ema
2010-09-20,0.00373050619891
2010-09-21,0.00605977203906
2010-09-22,0.00525180243385
2010-09-23,0.00455156210933
2010-09-26,0.00557135382809
2010-09-27,0.00492183998435
2010-09-28,0.00451892798643
2010-09-29,0.00491640425491
2010-09-30,0.00598088368759
2010-10-03,0.00518343252924
2010-10-04,0.00449230819201
2010-10-05,0.00848000043308
2010-10-06,0.00734933370867
2010-10-07,0.00636942254751
2010-10-10,0.00749349954118
2010-10-11,0.00649436626902
2010-10-12,0.00748178409982
2010-10-13,0.00699087955317
2010-10-14,0.00605876227942
2010-10-17,0.00525092730883
2010-10-18,0.00455080366765
2010-10-19,0.0039440298453
2010-10-20,0.00341815919926
2010-10-21,0.00296240463936
2010-10-24,0.00256741735411
2010-10-25,0.00357176170689
2010-10-26,0.00309552681264
2010-10-27,0.00268278990429
2010-10-28,0.00443175125038
2010-11-01,0.00428085108367
2010-11-02,0.00371007093918
2010-11-03,0.00321539481395
2010-11-04,0.00466667550543
2010-11-05,0.00669778543804
2010-11-08,0.00580474737963
2010-11-09,0.00503078106235
2010-11-10,0.00436001025403
2010-11-11,0.0037786755535
2010-11-12,0.00327485214636
2010-11-15,0.00283820519352
2010-11-16,0.00245977783438
2010-11-17,0.00213180745646
2010-11-18,0.00391423312893
2010-11-19,0.00524566871174
2010-11-22,0.00454624621684
2010-11-23,0.0039400800546
2010-11-24,0.00341473604732
2010-11-25,0.00475943790768
2010-11-26,0.00412484618665
2010-11-29,0.0035748666951
2010-11-30,0.00424488446909
2010-12-01,0.00426556653987
2010-12-02,0.00484349100122
2010-12-03,0.00543769220106
2010-12-06,0.00621933324092
2010-12-07,0.00669675547546
2010-12-08,0.0058038547454
2010-12-09,0.00503000744601
2010-12-10,0.00435933978655
2010-12-13,0.00413809448167
2010-12-14,0.00534634855078
2010-12-15,0.00463350207735
2010-12-16,0.00401570180037
2010-12-17,0.00434694156032
2010-12-20,0.00376734935228
2010-12-21,0.00426503610531
2010-12-22,0.00540303129126
2010-12-23,0.0046826271191
2010-12-24,0.00469827683655
2010-12-27,0.00407183992501
2010-12-28,0.00424892793501
2010-12-29,0.00368240421034
2010-12-30,0.0049914169823
2010-12-31,0.00503256138466
2011-01-03,0.00436155320004
2011-01-04,0.00534001277336
2011-01-05,0.00462801107025
2011-01-06,0.00401094292755
2011-01-07,0.00347615053721
2011-01-10,0.00301266379891
2011-01-11,0.00261097529239
2011-01-12,0.00283617858674
2011-01-13,0.00383135477517
2011-01-14,0.00332050747182
2011-01-17,0.00287777314224
2011-01-18,0.00322740338994
2011-01-19,0.00366374960462
2011-01-20,0.003521916324
2011-01-21,0.0030523274808
2011-01-24,0.00264535048336
2011-01-25,0.00302597041891
2011-01-26,0.00262250769639
2011-01-27,0.00288617333687
2011-01-28,0.00250135022529
2011-01-31,0.00216783686192
2011-02-01,0.004198791947
2011-02-02,0.00425228635406
2011-02-03,0.00368531484019
2011-02-04,0.00319393952816
2011-02-07,0.00276808092441
2011-02-08,0.00239900346782
2011-02-09,0.00393246967211
2011-02-10,0.0034081403825
2011-02-11,0.00295372166483
2011-02-14,0.00326655877619
2011-02-15,0.00283101760603
2011-02-16,0.00245354859189
2011-02-17,0.00212640877964
2011-02-18,0.00301622094235
2011-02-21,0.00261405815004
2011-02-22,0.00226551706337
2011-02-23,0.00255011478825
2011-02-24,0.00221009948315
2011-02-25,0.00191541955206
2011-02-28,0.00180669694512
2011-03-01,0.00156580401911
