Date,kdjd_9
2010-10-10,51.6919063862
2010-10-11,50.2975374088
2010-10-12,51.8266430063
2010-10-13,52.5672767123
2010-10-14,53.8255554208
2010-10-17,48.8687954617
2010-10-18,49.4037735728
2010-10-19,54.4477417217
2010-10-20,59.1622148921
2010-10-21,65.2279383501
2010-10-24,65.0608245384
2010-10-25,68.1200993007
2010-10-26,71.671349774
2010-10-27,76.5046648511
2010-10-28,80.7398374703
2010-11-01,76.0717647349
2010-11-02,74.9975644067
2010-11-03,74.6820008411
2010-11-04,73.229096696
2010-11-05,70.6486092798
2010-11-08,68.3412229118
2010-11-09,68.3390286923
2010-11-10,69.7474340909
2010-11-11,72.7246872479
2010-11-12,77.1779047575
2010-11-15,76.1318393427
2010-11-16,77.3180293133
2010-11-17,80.1310321942
2010-11-18,82.3453640396
2010-11-19,81.8267890418
2010-11-22,75.3265161779
2010-11-23,72.7480194637
2010-11-24,73.9140966538
2010-11-25,74.9682439325
2010-11-26,74.9248183686
2010-11-29,76.4173080587
2010-11-30,77.0360759325
2010-12-01,76.8213783603
2010-12-02,75.2711329212
2010-12-03,73.1709493162
2010-12-06,64.2629844566
2010-12-07,58.8709040481
2010-12-08,55.2054244085
2010-12-09,54.469300114
2010-12-10,56.958594217
2010-12-13,61.3996237986
2010-12-14,64.7669418659
2010-12-15,67.2829083639
2010-12-16,69.8527312587
2010-12-17,72.8124202508
2010-12-20,70.5081568991
2010-12-21,71.2640776884
2010-12-22,72.2230058849
2010-12-23,73.6532122967
2010-12-24,74.0440012862
2010-12-27,73.7903229289
2010-12-28,72.6819184809
2010-12-29,72.0750303735
2010-12-30,70.4793555548
2010-12-31,67.3405479614
2011-01-03,59.194886083
2011-01-04,54.3280832384
2011-01-05,54.4799379523
2011-01-06,57.7453623963
2011-01-07,63.3625213538
2011-01-10,63.1979782849
2011-01-11,66.7131462753
2011-01-12,65.9525522273
2011-01-13,61.4078094237
2011-01-14,60.8457562292
2011-01-17,58.7614236027
2011-01-18,60.656941573
2011-01-19,62.4447880492
2011-01-20,63.8014641165
2011-01-21,59.557384305
2011-01-24,50.6646660176
2011-01-25,49.3785653862
2011-01-26,51.146836255
2011-01-27,46.4481653112
2011-01-28,48.9498872552
2011-01-31,47.5273114941
2011-02-01,50.0485866463
2011-02-02,53.9336635833
2011-02-03,57.5997464886
2011-02-04,61.6582288782
2011-02-07,58.4839205182
2011-02-08,53.0300497762
2011-02-09,52.9291769217
2011-02-10,54.8980617261
2011-02-11,58.4895826691
2011-02-14,54.3794432011
2011-02-15,55.7230356194
2011-02-16,59.6879271198
2011-02-17,64.4433362279
2011-02-18,68.1254240335
2011-02-21,62.8500829562
2011-02-22,63.3525355099
2011-02-23,66.9011215883
2011-02-24,71.6838834452
2011-02-25,74.9768508303
2011-02-28,76.7516059956
2011-03-01,77.4365402323
2011-03-02,77.3068300633
2011-03-03,76.21508887
2011-03-04,73.9811942101
2011-03-07,69.670736958
2011-03-08,66.3761641604
2011-03-09,62.4083184374
2011-03-10,61.4731309229
2011-03-11,63.3774709446
2011-03-14,64.2372473892
2011-03-15,65.3087859825
2011-03-16,65.8335887319
2011-03-17,69.9858770253
2011-03-18,76.0003190877
2011-03-21,77.4675304483
2011-03-22,75.4061871123
2011-03-23,68.5139716862
2011-03-24,61.497182077
2011-03-25,54.6965007927
2011-03-27,45.5965868005
2011-03-28,40.673289511
2011-03-29,40.789238387
2011-03-30,38.6712067217
2011-03-31,38.5848673535
2011-04-03,37.0664813037
2011-04-04,33.9372903713
2011-04-05,30.7424458998
2011-04-06,29.8409123825
2011-04-07,29.2725277178
2011-04-10,26.6231386072
2011-04-11,24.7543785699
2011-04-12,25.8929419375
2011-04-13,29.3253635825
2011-04-14,27.5925105822
2011-04-17,24.8490342933
2011-04-18,26.7032032713
2011-04-19,30.2627837117
2011-04-20,31.4994042725
2011-04-21,31.5661959356
2011-04-24,28.8718158325
2011-04-25,29.2240943988
2011-04-26,28.8334372085
2011-04-27,28.6752035026
2011-04-28,34.9088704201
2011-05-01,36.5120904505
2011-05-02,39.4687182762
2011-05-03,43.6034029382
2011-05-04,49.0122233081
2011-05-05,57.6932244806
2011-05-08,62.1513025045
2011-05-09,66.5325257924
2011-05-10,68.7725695102
2011-05-11,71.8670076239
2011-05-12,72.3704537463
2011-05-15,75.2512442493
2011-05-16,77.2922558563
2011-05-17,75.0958563433
2011-05-18,69.3562574036
2011-05-19,63.9868259213
2011-05-22,58.0713272644
2011-05-23,59.943576988
2011-05-24,62.2991117482
2011-05-25,64.175830543
2011-05-26,65.1823576726
2011-05-29,59.5123946864
2011-05-30,53.4285913417
2011-05-31,46.1603238828
2011-06-01,41.3987821444
2011-06-02,39.1515411579
2011-06-05,37.3333478548
2011-06-06,37.4487343254
2011-06-07,38.8037757549
2011-06-08,43.5107378237
2011-06-09,50.0442582631
2011-06-12,58.2566988248
2011-06-13,65.1332420685
2011-06-14,68.6556225745
2011-06-15,71.0292689144
2011-06-16,74.2620872377
2011-06-19,72.079625061
2011-06-20,68.9641778144
2011-06-21,63.3694533174
2011-06-22,57.1375272778
2011-06-23,52.4133929626
2011-06-26,48.7273555178
2011-06-27,47.5700277687
2011-06-28,45.5190824944
2011-06-29,42.8722076619
2011-06-30,39.5737496523
2011-07-03,33.71068502
2011-07-04,28.1396945784
2011-07-05,25.8231618032
2011-07-06,26.3400425875
2011-07-07,25.3602676991
2011-07-10,27.2187279646
2011-07-11,35.5292900642
2011-07-12,44.1881523422
2011-07-13,49.9319200351
2011-07-14,56.3916980001
2011-07-17,59.8002935983
2011-07-18,63.5536950271
2011-07-19,64.0724135646
2011-07-20,62.0560500052
2011-07-21,55.7056939462
2011-07-24,50.9562440332
2011-07-25,46.8484939786
2011-07-26,41.4656841716
2011-07-27,41.8152600669
2011-07-28,46.2896754883
2011-07-31,48.3364724895
2011-08-01,51.6484499407
2011-08-02,56.4661295536
2011-08-03,59.9282428067
2011-08-04,62.9987423533
2011-08-07,66.8262209298
2011-08-08,66.4743743915
2011-08-09,67.4065328244
2011-08-10,68.181344512
2011-08-11,68.8559832223
2011-08-14,68.2003145418
2011-08-15,64.7165228979
2011-08-16,57.8684217722
2011-08-17,49.2672456913
2011-08-18,44.6515568679
2011-08-21,41.5875734654
2011-08-22,40.7844487476
2011-08-23,41.1480438124
2011-08-24,45.8074041927
2011-08-25,52.2975633791
2011-08-28,56.353036622
2011-08-29,56.0104865242
2011-08-30,51.8384548931
