Date,cci_20
2010-01-04,
2010-01-05,66.6666666666632
2010-01-06,60.36363636362641
2010-01-07,133.33333333332857
2010-01-08,106.53303637713326
2010-01-11,-54.34243176178858
2010-01-12,72.57656645124737
2010-01-13,122.55257432922232
2010-01-14,207.11843332296922
2010-01-15,150.4054233683332
2010-01-18,137.01355159800696
2010-01-19,117.6975139047107
2010-01-20,141.13029192058914
2010-01-21,157.45352340800466
2010-01-22,178.99629978382157
2010-01-25,128.96667244267223
2010-01-26,197.35058584816915
2010-01-27,170.23936933879668
2010-01-28,166.31988843083647
2010-01-29,152.86550096403175
2010-02-01,135.55599971300626
2010-02-02,82.34557375564928
2010-02-03,67.88036774355037
2010-02-04,100.22141329230337
2010-02-05,102.7811785073887
2010-02-08,91.43692405465552
2010-02-09,58.11556511879745
2010-02-10,37.737581217387806
2010-02-11,35.21248972669027
2010-02-12,45.29927001837251
2010-02-15,33.84738634087974
2010-02-16,7.714220888902876
2010-02-17,-31.459495640590514
2010-02-18,-117.01225799060441
2010-02-19,-164.32916331917633
2010-02-22,-203.87220412720646
2010-02-23,-146.6135402613792
2010-02-24,-106.3511388423854
2010-02-25,-62.53106670643036
2010-02-26,-97.28786446593365
2010-03-01,-131.595769409576
2010-03-02,-198.53636365845844
2010-03-03,-122.71891951732525
2010-03-04,-111.2543835867052
2010-03-05,-115.13267558679085
2010-03-08,-110.35739313244594
2010-03-09,-87.27368395876752
2010-03-10,-114.99966257333286
2010-03-11,-112.90737170660142
2010-03-12,-118.03149423688009
2010-03-15,-107.39659713818004
2010-03-16,-94.87350116766238
2010-03-17,-90.11254019292626
2010-03-18,-57.11432734788191
2010-03-19,21.40986645269178
2010-03-22,54.2890232100635
2010-03-23,-3.9342808854892697
2010-03-24,9.868137887859577
2010-03-25,73.17623032344596
2010-03-26,200.47048928257038
2010-03-28,157.07000933683105
2010-03-29,57.77903770327135
2010-03-30,2.8399933791554264
2010-03-31,-53.45759805794018
2010-04-01,-85.55146622343646
2010-04-04,-88.53959117408408
2010-04-05,-89.22218814013912
2010-04-06,-49.43945407701327
2010-04-07,-30.544039258818767
2010-04-08,-25.555201943159897
2010-04-11,-85.74230641627062
2010-04-12,-151.36411692823066
2010-04-13,-127.50684429074589
2010-04-14,-111.69910880002233
2010-04-15,-79.4750810970199
2010-04-18,-50.31938469560647
2010-04-19,-75.90048560091641
2010-04-20,-78.87157331687402
2010-04-21,-35.87678468699332
2010-04-22,-15.135815747020606
2010-04-25,-82.68596596064835
2010-04-26,-21.678695535950872
2010-04-27,50.247459292007335
2010-04-28,-127.85348113744699
2010-04-29,-207.51312643204318
2010-05-02,-138.41739829000883
2010-05-03,-66.19718309859212
2010-05-04,142.55954298477357
2010-05-05,335.0913262417681
2010-05-06,354.53016280903284
2010-05-09,147.2333683950802
2010-05-10,37.67173089434091
2010-05-11,45.2296679654578
2010-05-12,9.186351706036405
2010-05-13,74.39095823850803
2010-05-16,90.22334371308887
2010-05-17,88.5832281111063
2010-05-18,129.38861149893094
2010-05-19,170.1421021243343
2010-05-20,154.8788234144438
2010-05-23,115.37931984028589
2010-05-24,131.05255174505947
2010-05-25,80.20351652548686
2010-05-26,63.780329365497096
2010-05-27,1.144532285477766
2010-05-30,-34.48511709345632
2010-05-31,39.20177252475834
2010-06-01,29.26581487125352
2010-06-02,-23.13162432908965
2010-06-03,50.16000157056823
2010-06-06,90.17722527238176
2010-06-07,86.45160517919523
2010-06-08,26.024436504787108
2010-06-09,-17.961369048543563
2010-06-10,-109.22726663988034
2010-06-13,-119.5978691873237
2010-06-14,-128.2977935616407
2010-06-15,-142.66158072539486
2010-06-16,-131.51560639784535
2010-06-17,-130.67348804112314
2010-06-20,-134.9141013005567
2010-06-21,-120.69983236134149
2010-06-22,-49.42373159427288
2010-06-23,-66.58569872412747
2010-06-24,-68.50163233141785
2010-06-27,-72.12855719534086
2010-06-28,-27.477822530825048
2010-06-29,-11.762751287587843
2010-06-30,23.556244543043363
2010-07-01,-54.90540276964894
2010-07-04,-91.9871251905782
2010-07-05,-89.93353087210494
2010-07-06,-73.78464049210233
2010-07-07,-103.9890912241792
2010-07-08,-135.81408216903955
2010-07-11,-122.97831719623444
2010-07-12,-118.4693831505774
2010-07-13,-95.0237493948133
2010-07-14,-48.74976107317034
2010-07-15,-14.671634839309165
2010-07-18,28.263631458955512
2010-07-19,38.127734033247556
2010-07-20,-28.671846096926398
2010-07-21,-27.362332077477927
2010-07-22,-91.36371298533297
2010-07-25,-37.82205265884369
2010-07-26,-69.60858268376244
2010-07-27,-46.46734426391134
2010-07-28,-24.818993654417845
2010-07-29,-99.00061908552047
2010-08-01,-169.51383932111895
2010-08-02,-109.69764837626016
2010-08-03,-83.51126927639562
2010-08-04,-102.2542932259336
2010-08-05,-85.12739348930386
2010-08-08,-170.13990803248188
2010-08-09,-74.87318711152693
2010-08-10,-19.816120681964655
2010-08-11,63.034449059367184
2010-08-12,36.38830341352117
2010-08-15,-59.88593155893865
2010-08-16,-55.12556293412825
2010-08-17,-80.53510646719583
2010-08-18,-41.19464469619434
2010-08-19,13.654889540762646
2010-08-22,-138.842016452234
2010-08-23,122.20118264566982
2010-08-24,102.60826771653471
2010-08-25,62.971690059079364
2010-08-26,22.207383055954594
2010-08-29,-200.94767491783682
2010-08-30,24.936150452753857
2010-08-31,-22.979053884276865
2010-09-01,-113.90212832953519
2010-09-02,-189.57446675540726
2010-09-05,-258.33018194041676
2010-09-06,-138.36069712296734
2010-09-07,-105.32876285447075
2010-09-08,-119.46186367422584
