Date,mdm_14
2010-01-04,-1.341292050147979
2010-01-05,-1.2479267964571759
2010-01-06,-1.2835926403967866
2010-01-07,-1.3012445174734975
2010-01-08,-1.3116928574719804
2010-01-11,-0.5563857972561507
2010-01-12,-0.7217821867075411
2010-01-13,-0.8429491936099254
2010-01-14,-0.9347056976453162
2010-01-15,-1.0059492429789076
2010-01-18,-1.06234672566063
2010-01-19,-0.7819591367480433
2010-01-20,-0.8702820426504301
2010-01-21,-0.9428741950143606
2010-01-22,-1.0030280219396375
2010-01-25,-1.0532140149575446
2010-01-26,-1.0953213693413038
2010-01-27,-0.45424616676890894
2010-01-28,-0.5808692631915754
2010-01-29,-0.6884049980703768
2010-02-01,-0.7799932382772234
2010-02-02,-0.5789714034121093
2010-02-03,-0.013574140184527935
2010-02-04,-0.196501523393264
2010-02-05,-0.35352835715115133
2010-02-08,-0.48849902404780776
2010-02-09,-0.30557173381077163
2010-02-10,0.072105458154511
2010-02-11,-0.11936621008025124
2010-02-12,-0.28454660205499105
2010-02-15,-0.427134481275256
2010-02-16,-0.374197062696818
2010-02-17,-0.22998071726376437
2010-02-18,-0.06784600494436226
2010-02-19,-0.07502374366991574
2010-02-22,0.01225916320364294
2010-02-23,-0.1691245084538184
2010-02-24,-0.3260961682562329
2010-02-25,-0.46196772555922117
2010-02-26,-0.5795951999272058
2010-03-01,-0.2573185719375049
2010-03-02,0.15221068247949396
2010-03-03,-0.047347350565408376
2010-03-04,-0.16897478937322052
2010-03-05,-0.2813117848064792
2010-03-08,-0.17617867538769263
2010-03-09,-0.3317137103071684
2010-03-10,-0.17801844070803247
2010-03-11,-0.18208101661079296
2010-03-12,-0.2367636210200427
2010-03-15,-0.37018183038273883
2010-03-16,-0.4997391855514351
2010-03-17,-0.6120033033808274
2010-03-18,-0.709284662011871
2010-03-19,-0.7935845016065542
2010-03-22,-0.8666363487401754
2010-03-23,-0.6045225635356524
2010-03-24,-0.46570073294113756
2010-03-25,-0.5824713959131229
2010-03-26,-0.6836663754326299
2010-03-28,-0.7713639881746674
2010-03-29,-0.210566223283589
2010-03-30,-0.22655367915253494
2010-03-31,-0.16836492234360123
2010-04-01,-0.036597257285522794
2010-04-04,-0.21057032622454908
2010-04-05,-0.36134356022328845
2010-04-06,-0.49201112331981617
2010-04-07,-0.605254412087795
2010-04-08,-0.7033971441373768
2010-04-11,-0.43058060195310094
2010-04-12,-0.310333991725763
2010-04-13,-0.3362554628897729
2010-04-14,-0.3656919982677096
2010-04-15,-0.495774843934265
2010-04-18,-0.6085126036321193
2010-04-19,-0.5900283555952505
2010-04-20,-0.6297797198440246
2010-04-21,-0.724649198548632
2010-04-22,-0.806869122721278
2010-04-25,-0.675957406460245
2010-04-26,-0.7646694032597385
2010-04-27,-0.8415529568644263
2010-04-28,-0.46666866848604804
2010-04-29,-0.046494962072580366
2010-05-02,-0.2191353544049793
2010-05-03,-0.36875683347903176
2010-05-04,-0.49842863608375554
2010-05-05,-0.610810755401291
2010-05-06,-0.7082085098165639
2010-05-09,-0.10013859152652184
2010-05-10,0.9752628061658501
2010-05-11,0.6663883124310688
2010-05-12,0.7031098729675932
2010-05-13,0.43052260990469615
2010-05-16,0.19428039986772552
2010-05-17,-0.010462785273839509
2010-05-18,-0.1879068313247407
2010-05-19,-0.34169163537865116
2010-05-20,-0.474971771959555
2010-05-23,-0.12340571411107906
2010-05-24,-0.28579063329651827
2010-05-25,0.16603416724514095
2010-05-26,-0.03494273088609491
2010-05-27,0.9922602549893071
2010-05-30,1.4131036453269363
2010-05-31,1.045850803679668
2010-06-01,1.0505673728533773
2010-06-02,1.4403988633814384
2010-06-03,1.0695066875048322
2010-06-06,0.7480668152031987
2010-06-07,0.46948560265030476
2010-06-08,0.8252542743159734
2010-06-09,0.6177129238655066
2010-06-10,1.4672683704657652
2010-06-13,1.092793624582487
2010-06-14,0.7682488505749693
2010-06-15,1.100448706144784
2010-06-16,0.774883258879469
2010-06-17,0.5972956289532387
2010-06-20,0.5595742259936903
2010-06-21,0.30612538253972854
2010-06-22,0.08646971986435743
2010-06-23,-0.08530846011349125
2010-06-24,-0.13658506839891266
2010-06-27,-0.18567231028115552
2010-06-28,-0.3397549442356831
2010-06-29,-0.47329322650539396
2010-06-30,-0.5890264041037715
2010-07-01,0.5190253800904366
2010-07-04,0.7148207256845446
2010-07-05,0.44067235385776005
2010-07-06,0.2030770987015855
2010-07-07,0.3108684650961609
2010-07-08,0.1370555441926811
2010-07-11,0.056130402587864794
2010-07-12,-0.1301925916804163
2010-07-13,-0.08253435108227226
2010-07-14,-0.25036871134346383
2010-07-15,-0.3958251568071509
2010-07-18,-0.5218874094702304
2010-07-19,-0.6311413617240653
2010-07-20,-0.2912854812286881
2010-07-21,-0.4312863572419311
2010-07-22,-0.01815624143249933
2010-07-25,-0.19457434941014837
2010-07-26,-0.09418048342231035
2010-07-27,-0.26046202575782684
2010-07-28,-0.40457269575570154
2010-07-29,-0.2552652334307246
2010-08-01,-0.3071185120066833
2010-08-02,-0.4450083171415125
2010-08-03,-0.5645128149127552
2010-08-04,-0.5193629043862664
2010-08-05,-0.6289534571800128
2010-08-08,-0.7239319362615753
2010-08-09,-0.5831659052698914
2010-08-10,-0.6842493912689582
2010-08-11,-0.7718550791310027
2010-08-12,-0.7199733502083777
2010-08-15,-0.8028158435418321
2010-08-16,-0.46098384937562875
2010-08-17,-0.5527969444749533
2010-08-18,-0.6579296252381094
2010-08-19,-0.7490446152311641
2010-08-22,-0.8280109398905491
2010-08-23,-0.8964484212610678
