Date,trix_9_sma
2010-09-15,-0.0821677867056
2010-09-16,-0.0886509910956
2010-09-19,-0.09474401938
2010-09-20,-0.0999553300789
2010-09-21,-0.103819072461
2010-09-22,-0.107388322729
2010-09-23,-0.109015394233
2010-09-26,-0.110187440823
2010-09-27,-0.110439545501
2010-09-28,-0.110003244024
2010-09-29,-0.109107208969
2010-09-30,-0.106885630162
2010-10-03,-0.10579850543
2010-10-04,-0.105720237473
2010-10-05,-0.106010888032
2010-10-06,-0.106917993302
2010-10-07,-0.107448707152
2010-10-10,-0.109297277533
2010-10-11,-0.112564719264
2010-10-12,-0.116876677097
2010-10-13,-0.12216650633
2010-10-14,-0.12664749521
2010-10-17,-0.132067950964
2010-10-18,-0.137177033666
2010-10-19,-0.141138132424
2010-10-20,-0.143711284134
2010-10-21,-0.143141276793
2010-10-24,-0.140602565076
2010-10-25,-0.135804983856
2010-10-26,-0.128254891462
2010-10-27,-0.117642886989
2010-10-28,-0.102853747716
2010-11-01,-0.0867125776811
2010-11-02,-0.0701093242782
2010-11-03,-0.0533977038719
2010-11-04,-0.0376065394457
2010-11-05,-0.0225028658982
2010-11-08,-0.00919417588411
2010-11-09,0.00206100744107
2010-11-10,0.0107918493952
2010-11-11,0.0173101377522
2010-11-12,0.0238201775909
2010-11-15,0.0290053153788
2010-11-16,0.0334062700695
2010-11-17,0.0380574407572
2010-11-18,0.0436600960471
2010-11-19,0.0500880252233
2010-11-22,0.0558678537889
2010-11-23,0.0612747919379
2010-11-24,0.0664458198891
2010-11-25,0.0709072719967
2010-11-26,0.075475073318
2010-11-29,0.0797634182655
2010-11-30,0.0828557936736
2010-12-01,0.0844396326396
2010-12-02,0.0845776930689
2010-12-03,0.084207166961
2010-12-06,0.0812283806982
2010-12-07,0.075320874484
2010-12-08,0.0666728891416
2010-12-09,0.0561163085986
2010-12-10,0.0442535408197
2010-12-13,0.0319106902301
2010-12-14,0.0194382575076
2010-12-15,0.00730670690617
2010-12-16,-0.00393242468945
2010-12-17,-0.0122785785361
2010-12-20,-0.0186572512541
2010-12-21,-0.0226681238855
2010-12-22,-0.0247173132739
2010-12-23,-0.0254668912904
2010-12-24,-0.0255905339404
2010-12-27,-0.0252888792212
2010-12-28,-0.024847452197
2010-12-29,-0.0244662017022
2010-12-30,-0.0246831348863
2010-12-31,-0.0252609224874
2011-01-03,-0.0281010079527
2011-01-04,-0.0333074814034
2011-01-05,-0.0402509525667
2011-01-06,-0.0480762261928
2011-01-07,-0.0558813711782
2011-01-10,-0.0641624298016
2011-01-11,-0.0720037674415
2011-01-12,-0.079694503401
2011-01-13,-0.0874175209609
2011-01-14,-0.0930822282203
2011-01-17,-0.0967711882319
2011-01-18,-0.0983278624158
2011-01-19,-0.0982194461233
2011-01-20,-0.0971317818162
2011-01-21,-0.0951813067393
2011-01-24,-0.0941662771457
2011-01-25,-0.0927490290528
2011-01-26,-0.0898085995052
2011-01-27,-0.0870312846804
2011-01-28,-0.0836293708278
2011-01-31,-0.0809166749041
2011-02-01,-0.0786087063334
2011-02-02,-0.0765230986584
2011-02-03,-0.0737628907724
2011-02-04,-0.0693124744274
2011-02-07,-0.0649921019407
2011-02-08,-0.0617566238506
2011-02-09,-0.0580401401548
2011-02-10,-0.0543055519453
2011-02-11,-0.0498756185071
2011-02-14,-0.0463788833318
2011-02-15,-0.0434690056207
2011-02-16,-0.0407973721487
2011-02-17,-0.0382761120452
2011-02-18,-0.0349467209616
2011-02-21,-0.0315415211338
2011-02-22,-0.0281177400273
2011-02-23,-0.024584945271
2011-02-24,-0.0209522962476
2011-02-25,-0.016262448112
2011-02-28,-0.0113294782211
2011-03-01,-0.00676129252663
2011-03-02,-0.00296405345595
2011-03-03,-5.59487909062e-05
2011-03-04,0.00298326452717
2011-03-07,0.00522328376481
2011-03-08,0.00636293144773
2011-03-09,0.00632457432767
2011-03-10,0.00535633274257
2011-03-11,0.00384244250699
2011-03-14,0.00201453582558
2011-03-15,0.000288876417091
2011-03-16,-0.00104590377329
2011-03-17,-0.00140746139225
2011-03-18,-0.000183852920452
2011-03-21,0.00220579650922
2011-03-22,0.00537563045201
2011-03-23,0.00890851010431
2011-03-24,0.012427854838
2011-03-25,0.0157034657228
2011-03-27,0.0181991457585
2011-03-28,0.0199187629559
