Date,tr
2011-01-13,0.0489
2011-01-14,0.0647
2011-01-17,0.0481
2011-01-18,0.0472
2011-01-19,0.0579
2011-01-20,0.0512
2011-01-21,0.05
2011-01-24,0.0494
2011-01-25,0.0527
2011-01-26,0.0488
2011-01-27,0.0548
2011-01-28,0.0617
2011-01-31,0.0486
2011-02-01,0.048
2011-02-02,0.0547
2011-02-03,0.0533
2011-02-04,0.0562
2011-02-07,0.0544
2011-02-08,0.0518
2011-02-09,0.0523
2011-02-10,0.0622
2011-02-11,0.0552
2011-02-14,0.0533
2011-02-15,0.0509
2011-02-16,0.0495
2011-02-17,0.0518
2011-02-18,0.0612
2011-02-21,0.06
2011-02-22,0.0546
2011-02-23,0.0574
2011-02-24,0.0481
2011-02-25,0.0177
2011-02-28,0.0088
2011-03-01,0.0045
2011-03-02,0.005
2011-03-03,0.0073
2011-03-04,0.0143
2011-03-07,0.0028
2011-03-08,0.0141
2011-03-09,0.0127
2011-03-10,0.0105
2011-03-11,0.0085
2011-03-14,0.0074
2011-03-15,0.0211
2011-03-16,0.0108
2011-03-17,0.0108
2011-03-18,0.0132
2011-03-21,0.0242
2011-03-22,0.0048
2011-03-23,0.0091
2011-03-24,0.0075
2011-03-25,0.0101
2011-03-27,0.0115
2011-03-28,0.0113
2011-03-29,0.0372
2011-03-30,0.0375
2011-03-31,0.0332
2011-04-03,0.0253
2011-04-04,0.0086
2011-04-05,0.0096
2011-04-06,0.0226
2011-04-07,0.0488
2011-04-10,0.029
2011-04-11,0.018
2011-04-12,0.0181
2011-04-13,0.0133
2011-04-14,
2011-04-17,
2011-04-18,0.0169
2011-04-19,0.0299
2011-04-20,0.0199
2011-04-21,0.0104
2011-04-24,0.0104
2011-04-25,0.0054
2011-04-26,0.0209
2011-04-27,0.0299
2011-04-28,0.0162
2011-05-01,0.0204
2011-05-02,0.0303
2011-05-03,0.0291
2011-05-04,0.0338
2011-05-05,0.0202
2011-05-08,0.0265
2011-05-09,0.0128
2011-05-10,0.0183
2011-05-11,0.0205
2011-05-12,0.028
2011-05-15,0.0189
2011-05-16,0.0107
2011-05-17,0.0218
2011-05-18,0.0155
2011-05-19,0.0108
2011-05-22,0.021
2011-05-23,0.0206
2011-05-24,0.0183
2011-05-25,0.0112
2011-05-26,0.0322
2011-05-29,0.0328
2011-05-30,0.0179
2011-05-31,0.0225
2011-06-01,0.0143
2011-06-02,0.0511
2011-06-05,0.0131
2011-06-06,0.0246
2011-06-07,0.0099
2011-06-08,0.0131
2011-06-09,0.0181
2011-06-12,0.0135
2011-06-13,0.0183
2011-06-14,0.0161
2011-06-15,0.0328
2011-06-16,0.01
2011-06-19,0.0163
2011-06-20,0.0146
2011-06-21,0.0122
2011-06-22,0.0035
2011-06-23,0.0089
2011-06-26,0.0118
2011-06-27,0.0158
2011-06-28,0.0308
2011-06-29,0.0234
2011-06-30,0.0209
2011-07-03,0.0099
2011-07-04,0.0152
2011-07-05,0.0183
2011-07-06,0.0154
2011-07-07,0.021
2011-07-10,0.0363
2011-07-11,0.0202
2011-07-12,0.0158
2011-07-13,0.0099
2011-07-14,0.0096
2011-07-17,0.0129
2011-07-18,0.008
2011-07-19,0.0132
2011-07-20,0.0141
2011-07-21,0.0137
2011-07-24,0.0178
2011-07-25,0.0287
2011-07-26,0.0356
2011-07-27,0.034
2011-07-28,0.0245
2011-07-31,0.0201
2011-08-01,0.026
2011-08-02,0.0086
2011-08-03,0.0349
2011-08-04,0.0322
2011-08-07,0.0314
2011-08-08,0.0618
2011-08-09,0.0414
2011-08-10,0.0187
2011-08-11,0.0208
2011-08-14,0.0333
2011-08-15,0.0392
2011-08-16,0.0144
2011-08-17,0.0251
2011-08-18,0.021
2011-08-21,0.0233
2011-08-22,0.0134
2011-08-23,0.0108
2011-08-24,0.0183
2011-08-25,0.0134
2011-08-28,0.017
2011-08-29,0.018
2011-08-30,0.0203
2011-08-31,0.0247
2011-09-01,0.0554
2011-09-04,0.0549
2011-09-05,0.0331
2011-09-06,0.0067
2011-09-07,0.0124
2011-09-08,0.0259
2011-09-11,0.0468
2011-09-12,0.0413
2011-09-13,0.0301
2011-09-14,0.0167
2011-09-15,0.0242
2011-09-18,0.0827
2011-09-19,0.0864
2011-09-20,0.0736
2011-09-21,0.1635
2011-09-22,0.0836
2011-09-25,0.0666
2011-09-26,0.0639
2011-09-27,0.0493
2011-09-28,0.0344
2011-09-29,0.0445
2011-10-02,0.0633
2011-10-03,0.0522
2011-10-04,0.0597
2011-10-05,0.0516
2011-10-06,0.0826
2011-10-09,0.0728
2011-10-10,0.0293
2011-10-11,0.0276
2011-10-12,0.0336
2011-10-13,0.0506
2011-10-16,0.0209
2011-10-17,0.0528
2011-10-18,0.0263
2011-10-19,0.0412
2011-10-20,0.0283
2011-10-23,0.0405
2011-10-24,0.0337
2011-10-25,0.0255
2011-10-26,0.0472
2011-10-27,0.0753
2011-10-31,0.0439
2011-11-01,0.0702
2011-11-02,0.0499
2011-11-03,0.0311
2011-11-04,0.0336
2011-11-07,0.0268
2011-11-08,0.0192
2011-11-09,0.0307
2011-11-10,0.041
2011-11-11,0.0216
2011-11-14,0.0277
2011-11-15,0.0296
2011-11-16,0.0219
2011-11-17,0.0236
2011-11-18,0.0207
2011-11-21,0.0463
2011-11-22,0.0356
2011-11-23,0.0534
2011-11-24,0.0737
2011-11-25,0.0512
2011-11-28,0.0436
2011-11-29,0.0518
2011-11-30,0.0621
2011-12-01,0.0604
