Date,boll_lb
2010-09-20,-1.14367318637
2010-09-21,-1.14232821615
2010-09-22,-1.14818984474
2010-09-23,-1.14636160793
2010-09-26,-1.15473047637
2010-09-27,-1.15291419985
2010-09-28,-1.15105088628
2010-09-29,-1.15044323766
2010-09-30,-1.15006785247
2010-10-03,-1.16483883206
2010-10-04,-1.16530185623
2010-10-05,-1.1695331534
2010-10-06,-1.17108336415
2010-10-07,-1.1728264211
2010-10-10,-1.18618978043
2010-10-11,-1.19045276513
2010-10-12,-1.19303901414
2010-10-13,-1.19744169979
2010-10-14,-1.19954357996
2010-10-17,-1.21597357161
2010-10-18,-1.21417506608
2010-10-19,-1.21107797865
2010-10-20,-1.2110322789
2010-10-21,-1.20867555966
2010-10-24,-1.21203550093
2010-10-25,-1.21108410831
2010-10-26,-1.21031101299
2010-10-27,-1.21250123651
2010-10-28,-1.21417943205
2010-11-01,-1.21118797315
2010-11-02,-1.21166887895
2010-11-03,-1.21116280939
2010-11-04,-1.21109465767
2010-11-05,-1.21129442468
2010-11-08,-1.20103114949
2010-11-09,-1.19861641886
2010-11-10,-1.19719964497
2010-11-11,-1.19289042133
2010-11-12,-1.19052559093
2010-11-15,-1.16716622708
2010-11-16,-1.16540670652
2010-11-17,-1.16792800494
2010-11-18,-1.16581412472
2010-11-19,-1.1651250674
2010-11-22,-1.15575641067
2010-11-23,-1.15571040141
2010-11-24,-1.1568066655
2010-11-25,-1.15693574386
2010-11-26,-1.15694594643
2010-11-29,-1.14209812771
2010-11-30,-1.14155556319
2010-12-01,-1.14064064246
2010-12-02,-1.13816886882
2010-12-03,-1.13206065828
2010-12-06,-1.15002405131
2010-12-07,-1.15270314327
2010-12-08,-1.15625188829
2010-12-09,-1.15799136294
2010-12-10,-1.15844904086
2010-12-13,-1.15246055818
2010-12-14,-1.15416790928
2010-12-15,-1.15428301568
2010-12-16,-1.15432164944
2010-12-17,-1.15450061182
2010-12-20,-1.15634654579
2010-12-21,-1.15609623794
2010-12-22,-1.15441932919
2010-12-23,-1.15391299622
2010-12-24,-1.15426336861
2010-12-27,-1.15238750616
2010-12-28,-1.15253813596
2010-12-29,-1.15200325942
2010-12-30,-1.15356575075
2010-12-31,-1.15870776773
2011-01-03,-1.16987853762
2011-01-04,-1.17746077437
2011-01-05,-1.17888681907
2011-01-06,-1.1801338089
2011-01-07,-1.18004633259
2011-01-10,-1.18960552138
2011-01-11,-1.18959649767
2011-01-12,-1.1963978984
2011-01-13,-1.20692906807
2011-01-14,-1.20652005817
2011-01-17,-1.20913893076
2011-01-18,-1.20740517456
2011-01-19,-1.20643079822
2011-01-20,-1.20526570511
2011-01-21,-1.20955596755
2011-01-24,-1.21735700485
2011-01-25,-1.21672308547
2011-01-26,-1.21534522086
2011-01-27,-1.22258035778
2011-01-28,-1.22263122965
2011-01-31,-1.21766786198
2011-02-01,-1.21623997113
2011-02-02,-1.21626380047
2011-02-03,-1.21615430955
2011-02-04,-1.21489512772
2011-02-07,-1.21763038113
2011-02-08,-1.21986797886
2011-02-09,-1.21834248133
2011-02-10,-1.21292205783
2011-02-11,-1.21285137001
2011-02-14,-1.22014780641
2011-02-15,-1.21895425266
2011-02-16,-1.21879917598
2011-02-17,-1.21874835581
2011-02-18,-1.21607860163
2011-02-21,-1.21763995649
2011-02-22,-1.21752000929
2011-02-23,-1.21764411342
2011-02-24,-1.21021808851
2011-02-25,-1.21004185932
2011-02-28,-1.20649887428
2011-03-01,-1.20666311952
2011-03-02,-1.20689003527
2011-03-03,-1.20729918515
2011-03-04,-1.20802811497
2011-03-07,-1.20398001907
2011-03-08,-1.19890917336
2011-03-09,-1.19935674033
2011-03-10,-1.19969736748
2011-03-11,-1.19976966631
2011-03-14,-1.18837323051
2011-03-15,-1.18833206165
2011-03-16,-1.18816456384
2011-03-17,-1.18890223659
2011-03-18,-1.19014464571
2011-03-21,-1.17401604908
