Date,rsi_12
2010-10-11,45.8737392532
2010-10-12,47.2365120201
2010-10-13,44.7633889079
2010-10-14,46.1860399862
2010-10-17,38.8769064016
2010-10-18,49.4412921722
2010-10-19,51.9283461718
2010-10-20,49.7055411448
2010-10-21,52.514276623
2010-10-24,45.2458250962
2010-10-25,53.1403530378
2010-10-26,53.4676789634
2010-10-27,55.7215982122
2010-10-28,54.7684749611
2010-11-01,44.5876872527
2010-11-02,52.843210304
2010-11-03,52.3598587135
2010-11-04,50.5264935075
2010-11-05,48.3267043815
2010-11-08,49.0543005435
2010-11-09,51.9710324743
2010-11-10,51.9710324743
2010-11-11,54.5227879514
2010-11-12,56.5895408246
2010-11-15,46.373623497
2010-11-16,54.9795955132
2010-11-17,57.3861679252
2010-11-18,55.4071487726
2010-11-19,52.3523339214
2010-11-22,45.5093120074
2010-11-23,53.796701094
2010-11-24,55.7474360288
2010-11-25,53.5154713791
2010-11-26,52.2261693566
2010-11-29,54.8029627179
2010-11-30,52.0653122527
2010-12-01,51.5083704765
2010-12-02,49.5204768575
2010-12-03,48.476268188
2010-12-06,36.1247369179
2010-12-07,46.4181335512
2010-12-08,45.6545982639
2010-12-09,48.8560507741
2010-12-10,51.2774667962
2010-12-13,51.5792984866
2010-12-14,48.7550902722
2010-12-15,48.7550902722
2010-12-16,50.345921454
2010-12-17,51.8387216305
2010-12-20,42.0973286176
2010-12-21,52.4364961512
2010-12-22,50.8192852655
2010-12-23,50.5615357404
2010-12-24,48.7541763953
2010-12-27,48.3043507184
2010-12-28,46.6322507846
2010-12-29,48.4095571071
2010-12-30,44.6073572492
2010-12-31,40.1011666951
2011-01-03,30.3733176658
2011-01-04,40.8149650745
2011-01-05,46.7197702481
2011-01-06,48.7133275198
2011-01-07,51.5853836171
2011-01-10,40.223285472
2011-01-11,52.3714583187
2011-01-12,43.7733679669
2011-01-13,41.1459375479
2011-01-14,49.7679347463
2011-01-17,46.278599031
2011-01-18,52.223305651
2011-01-19,50.3291393346
2011-01-20,50.048904396
2011-01-21,43.8670627192
2011-01-24,41.3230343567
2011-01-25,51.2538536405
2011-01-26,50.7415145546
2011-01-27,42.5543676278
2011-01-28,51.8238703612
2011-01-31,46.1118427506
2011-02-01,51.1648054563
2011-02-02,50.8783224557
2011-02-03,50.45031877
2011-02-04,51.465832313
2011-02-07,43.8614519251
2011-02-08,44.6088521311
2011-02-09,51.5671075353
2011-02-10,51.0888807764
2011-02-11,51.5010365659
2011-02-14,42.4665012323
