Date,close_26_ema
2010-01-04,1.719
2010-01-05,1.72834615385
2010-01-06,1.72947930015
2010-01-07,1.73211291615
2010-01-08,1.73208673043
2010-01-11,1.73186906699
2010-01-12,1.73283493027
2010-01-13,1.73494003674
2010-01-14,1.73926218344
2010-01-15,1.74273095747
2010-01-18,1.7453987688
2010-01-19,1.74893745386
2010-01-20,1.75368934882
2010-01-21,1.7589804356
2010-01-22,1.76545144716
2010-01-25,1.76733947405
2010-01-26,1.77406549608
2010-01-27,1.7815281719
2010-01-28,1.78986530737
2010-01-29,1.79769611001
2010-02-01,1.80367716088
2010-02-02,1.80610280458
2010-02-03,1.8100219368
2010-02-04,1.81621116364
2010-02-05,1.82197837939
2010-02-08,1.82622014127
2010-02-09,1.82764096177
2010-02-10,1.82956460829
2010-02-11,1.83138480984
2010-02-12,1.83361496979
2010-02-15,1.83506588711
2010-02-16,1.83566784935
2010-02-17,1.83545330577
2010-02-18,1.83413850214
2010-02-19,1.83170435075
2010-02-22,1.82983116548
2010-02-23,1.82902665102
2010-02-24,1.82821048622
2010-02-25,1.82881767254
2010-02-26,1.82704591911
2010-03-01,1.82479858541
2010-03-02,1.81768075432
2010-03-03,1.81539879523
2010-03-04,1.81333651651
2010-03-05,1.81063434342
2010-03-08,1.8086558914
2010-03-09,1.80655076612
2010-03-10,1.8036223262
2010-03-11,1.80099726229
2010-03-12,1.79796995624
2010-03-15,1.79520651507
2010-03-16,1.79301787708
2010-03-17,1.79068069869
2010-03-18,1.78919965869
2010-03-19,1.78963564007
2010-03-22,1.79033874325
2010-03-23,1.7896082672
2010-03-24,1.78988491566
2010-03-25,1.79056738627
2010-03-26,1.79299376466
2010-03-28,1.79415297486
2010-03-29,1.79412660531
2010-03-30,1.79310925131
2010-03-31,1.79104170577
2010-04-01,1.78909963722
2010-04-04,1.78696787865
2010-04-05,1.78443715629
2010-04-06,1.78388330066
2010-04-07,1.78307312768
2010-04-08,1.78217471218
2010-04-11,1.78024247528
2010-04-12,1.77527912276
2010-04-13,1.77310239443
2010-04-14,1.7713853326
2010-04-15,1.77025698027
2010-04-18,1.76951729391
2010-04-19,1.76825338006
2010-04-20,1.76674941274
2010-04-21,1.76650816344
2010-04-22,1.76623290143
2010-04-25,1.76458278248
2010-04-26,1.76461374373
2010-04-27,1.76413043125
2010-04-28,1.76167249721
2010-04-29,1.75922656285
2010-05-02,1.75713291083
2010-05-03,1.75655197699
2010-05-04,1.75827602636
2010-05-05,1.76389857663
2010-05-06,1.77024565206
2010-05-09,1.77059073216
2010-05-10,1.77095468787
2010-05-11,1.77114337651
2010-05-12,1.77105862082
2010-05-13,1.77338916855
2010-05-16,1.77560615684
2010-05-17,1.77860000783
2010-05-18,1.78238720055
2010-05-19,1.78997706018
2010-05-20,1.79418808114
2010-05-23,1.79922812251
2010-05-24,1.80436137334
2010-05-25,1.80870654337
2010-05-26,1.80924697999
2010-05-27,1.80962139361
2010-05-30,1.80997546589
2010-05-31,1.81175553317
2010-06-01,1.81318139943
2010-06-02,1.81364214129
