Date,macd
2010-01-04,-0.23953305111133696
2010-01-05,-0.22579639550821798
2010-01-06,-0.22783117010539106
2010-01-07,-0.2199555924328251
2010-01-08,-0.22542755205084394
2010-01-11,-0.23043656153197728
2010-01-12,-0.22409779108488434
2010-01-13,-0.2061831796461476
2010-01-14,-0.16357099868773475
2010-01-15,-0.13392260188748012
2010-01-18,-0.11597266023812215
2010-01-19,-0.08412753586259702
2010-01-20,-0.03317410366539115
2010-01-21,0.02456135381270119
2010-01-22,0.10106560549926451
2010-01-25,0.08201266538736834
2010-01-26,0.16895112239628768
2010-01-27,0.26483111448068297
2010-01-28,0.37252981046702205
2010-01-29,0.45901673208554516
2010-02-01,0.4938374771325646
2010-02-02,0.4390474098718322
2010-02-03,0.4338037165832643
2010-02-04,0.49287077731914264
2010-02-05,0.5356293230762892
2010-02-08,0.5330804821153117
2010-02-09,0.45335226308694715
2010-02-10,0.4015946171861997
2010-02-11,0.35596251860735395
2010-02-12,0.330721087580961
2010-02-15,0.28673686658708
2010-02-16,0.2239980418359117
2010-02-17,0.14567682867358128
2010-02-18,0.04453793023060721
2010-02-19,-0.07729144562768796
2010-02-22,-0.16294635862727028
2010-02-23,-0.20103890688411205
2010-02-24,-0.23386841301878097
2010-02-25,-0.21457130239672126
2010-02-26,-0.2777059047315105
2010-03-01,-0.34754378739239083
2010-03-02,-0.5722351169167793
2010-03-03,-0.5988291594269582
2010-03-04,-0.6142219551410253
2010-03-05,-0.649649852894817
2010-03-08,-0.6550068893227595
2010-03-09,-0.6642379534273889
2010-03-10,-0.7010706328268964
2010-03-11,-0.7219841577554407
2010-03-12,-0.7541263736664603
2010-03-15,-0.7723542861022318
2010-03-16,-0.7677394143703143
2010-03-17,-0.7693072564802118
2010-03-18,-0.7404185077170403
2010-03-19,-0.647824689392061
2010-03-22,-0.5599128665089345
2010-03-23,-0.5367399108414419
2010-03-24,-0.48110294784390434
2010-03-25,-0.4194485051065653
2010-03-26,-0.30457243398888595
2010-03-28,-0.25284868679095984
2010-03-29,-0.25175029337061167
2010-03-30,-0.2865759033281729
2010-03-31,-0.35401782458062686
2010-04-01,-0.40662497780609724
2010-04-04,-0.4580719172547062
2010-04-05,-0.5161253962223565
2010-04-06,-0.49365224675711283
2010-04-07,-0.48395191082011785
2010-04-08,-0.4789688187642886
2010-04-11,-0.5123349995294862
2010-04-12,-0.6508051259775528
2010-04-13,-0.6667104538630602
2010-04-14,-0.6634810591962083
2010-04-15,-0.6393429369784729
2010-04-18,-0.6047785709134413
2010-04-19,-0.5946472416815928
2010-04-20,-0.5948437656986554
2010-04-21,-0.548978730986914
2010-04-22,-0.5114136009973308
2010-04-25,-0.5298028594757797
2010-04-26,-0.4840157426832293
2010-04-27,-0.464049845728676
2010-04-28,-0.5192752613530375
2010-04-29,-0.565586128967357
2010-05-02,-0.5919194203573241
2010-05-03,-0.5589356218528075
2010-05-04,-0.4467823271303836
2010-05-05,-0.2093585975790901
2010-05-06,0.018059478232813723
2010-05-09,-0.008951641690601524
2010-05-10,-0.03111524999116857
2010-05-11,-0.05627804662390005
2010-05-12,-0.08757150292474179
2010-05-13,-0.025689673354533128
2010-05-16,0.022525172418765206
2010-05-17,0.09175541933140158
2010-05-18,0.1793750800270587
2010-05-19,0.3926892242210056
2010-05-20,0.4495432848493738
2010-05-23,0.5280038476197839
2010-05-24,0.5978164507926489
2010-05-25,0.6280509583438056
2010-05-26,0.5143605135649227
2010-05-27,0.4120838782922681
2010-05-30,0.3247980030861537
2010-05-31,0.30315027510146786
2010-06-01,0.2718668162087938
2010-06-02,0.2100599834463775
2010-06-03,0.20941343542233112
2010-06-06,0.2990140996391674
2010-06-07,0.32509501985440054
2010-06-08,0.29026021664340695
2010-06-09,0.17635357490676454
2010-06-10,0.08047194632035204
2010-06-13,-0.02515520389381737
2010-06-14,-0.15674856892274414
2010-06-15,-0.2548231917972315
2010-06-16,-0.3352863436042352
2010-06-17,-0.43277847512958306
2010-06-20,-0.5305635758907691
2010-06-21,-0.5949055584746896
2010-06-22,-0.5484739517252234
2010-06-23,-0.5698942732674266
2010-06-24,-0.5788418556018201
2010-06-27,-0.5765587443119348
2010-06-28,-0.5009268338902473
2010-06-29,-0.4845466746601802
2010-06-30,-0.4472147013601577
2010-07-01,-0.48180377249442546
2010-07-04,-0.5091271598451307
2010-07-05,-0.5448272680823187
2010-07-06,-0.5747449171210075
2010-07-07,-0.5854105754738509
2010-07-08,-0.6221139130316998
2010-07-11,-0.636742134414199
2010-07-12,-0.654529758796868
2010-07-13,-0.6366030833935161
2010-07-14,-0.6071795150456138
2010-07-15,-0.5457488058846647
2010-07-18,-0.48409024657894006
2010-07-19,-0.46718372480887843
2010-07-20,-0.45758431556383505
2010-07-21,-0.47796828842868805
2010-07-22,-0.49040740497249513
2010-07-25,-0.48345593813248977
2010-07-26,-0.48852545504342165
2010-07-27,-0.48531835715543253
2010-07-28,-0.4732212296620759
2010-07-29,-0.4781746581755137
2010-08-01,-0.5216648799745205
2010-08-02,-0.5232185913970814
2010-08-03,-0.5212029991412369
2010-08-04,-0.5193986492075656
2010-08-05,-0.5123535729630764
2010-08-08,-0.6285411689814542
2010-08-09,-0.5971053205012715
2010-08-10,-0.5439805928330632
2010-08-11,-0.47582525694018846
2010-08-12,-0.4254325586519476
2010-08-15,-0.5043076798761653
2010-08-16,-0.47245936254948906
2010-08-17,-0.4654744199180765
2010-08-18,-0.4547136498978297
2010-08-19,-0.41181245790147303
2010-08-22,-0.5059379374108613
2010-08-23,-0.44504678222064414
