Date,rsi_6
2010-01-04,
2010-01-05,100.0
2010-01-06,73.1707317073
2010-01-07,81.2797821647
2010-01-08,60.738630583
2010-01-11,58.181463795
2010-01-12,68.2780706916
2010-01-13,77.2684025816
2010-01-14,86.7818890823
2010-01-15,86.8904140929
2010-01-18,83.8609022664
2010-01-19,88.5909484914
2010-01-20,92.361706455
2010-01-21,94.0922097869
2010-01-22,95.8775093026
2010-01-25,56.0305946217
2010-01-26,74.2540602402
2010-01-27,77.7828951892
2010-01-28,81.3167869939
2010-01-29,82.2205283154
2010-02-01,73.1249070796
2010-02-02,52.0621186015
2010-02-03,60.4377707695
2010-02-04,70.1460178993
2010-02-05,70.7966393803
2010-02-08,62.7991882891
2010-02-09,46.6928334637
2010-02-10,50.736010771
2010-02-11,51.2613272799
2010-02-12,55.6729381228
2010-02-15,50.1481002564
2010-02-16,43.6345365192
2010-02-17,37.4104949997
2010-02-18,29.874668581
2010-02-19,23.5674837683
2010-02-22,28.8040860644
2010-02-23,41.2542390928
2010-02-24,40.5212032511
2010-02-25,56.6168438746
2010-02-26,36.2955088911
2010-03-01,32.556208317
2010-03-02,16.1793401889
2010-03-03,44.5440399343
2010-03-04,44.7461778152
2010-03-05,40.9818171055
2010-03-08,44.5535253466
2010-03-09,42.8356042732
2010-03-10,36.8455702398
2010-03-11,37.6503852366
2010-03-12,33.5463696337
2010-03-15,33.9781654373
2010-03-16,39.6270725448
2010-03-17,36.3604745795
2010-03-18,47.4909205742
2010-03-19,66.3333115992
2010-03-22,68.5877125862
2010-03-23,50.0774664765
2010-03-24,59.1979008838
2010-03-25,62.8529683954
2010-03-26,74.4275053358
2010-03-28,60.7125089599
2010-03-29,49.594514436
2010-03-30,41.369382612
2010-03-31,33.7447060418
2010-04-01,33.5481550147
2010-04-04,31.1024815158
2010-04-05,27.1447551766
2010-04-06,51.058930193
2010-04-07,47.9134835372
2010-04-08,46.2056067295
2010-04-11,35.0965693852
2010-04-12,19.1533925196
2010-04-13,42.8606850289
2010-04-14,45.232605453
2010-04-15,49.158145506
2010-04-18,51.8943397515
2010-04-19,46.2161337404
2010-04-20,42.961725525
2010-04-21,55.820501461
2010-04-22,55.1467484045
2010-04-25,39.7025218577
2010-04-26,56.1598953905
2010-04-27,50.7034486661
2010-04-28,34.7780502574
2010-04-29,33.7000397095
2010-05-02,36.0777085192
2010-05-03,52.382330342
2010-05-04,68.4680187099
2010-05-05,81.6854842938
2010-05-06,83.9720193988
2010-05-09,48.6585234773
2010-05-10,48.8660669044
2010-05-11,48.0884928044
2010-05-12,46.533531074
2010-05-13,60.6953499569
2010-05-16,61.0004797883
2010-05-17,66.0250058771
2010-05-18,70.8813089477
2010-05-19,82.7685406761
2010-05-20,61.8668963388
2010-05-23,66.0377930049
2010-05-24,67.7684444781
2010-05-25,64.3339913461
2010-05-26,42.3335570906
2010-05-27,41.7143884568
2010-05-30,41.7745016398
2010-05-31,53.1412529143
2010-06-01,51.3017448001
2010-06-02,44.2021819699
2010-06-03,56.3794195562
2010-06-06,70.3542764411
2010-06-07,61.0004159112
2010-06-08,50.6173520171
2010-06-09,37.8582863533
2010-06-10,37.5902966913
2010-06-13,33.5586706759
2010-06-14,27.4552644254
2010-06-15,29.4365858288
2010-06-16,28.8351926645
2010-06-17,23.4546657887
2010-06-20,20.4183204411
2010-06-21,24.8467102844
2010-06-22,55.5840013162
2010-06-23,41.9715537678
2010-06-24,43.0817556869
2010-06-27,44.7723431047
2010-06-28,62.1673294411
2010-06-29,49.8303314399
2010-06-30,54.9129091293
2010-07-01,40.0594186635
2010-07-04,39.4816768973
2010-07-05,35.8698478109
2010-07-06,34.6801310006
2010-07-07,38.7054570632
2010-07-08,30.5569205985
2010-07-11,35.4873957285
2010-07-12,32.418439826
2010-07-13,46.3400135619
2010-07-14,51.1684029222
2010-07-15,63.5620145679
2010-07-18,66.5533303393
2010-07-19,49.8350135384
2010-07-20,47.2358532687
2010-07-21,36.2024814941
2010-07-22,36.6779002084
2010-07-25,45.0338859256
2010-07-26,39.0870919647
2010-07-27,42.0838278427
2010-07-28,46.9750838707
2010-07-29,37.4187448517
2010-08-01,23.3212670151
2010-08-02,41.5999796868
2010-08-03,41.5999796868
2010-08-04,40.1946746044
2010-08-05,42.1145711356
2010-08-08,14.1850084992
2010-08-09,51.0346509577
2010-08-10,55.752002426
2010-08-11,60.1076855393
2010-08-12,58.4032473163
2010-08-15,33.9663828182
2010-08-16,52.0698577834
2010-08-17,48.4434215965
2010-08-18,49.0042056597
2010-08-19,55.8102717211
2010-08-22,33.8496964368
2010-08-23,55.2766020465
2010-08-24,55.0999663613
2010-08-25,56.7581132127
2010-08-26,51.8207017598
2010-08-29,30.6071564298
2010-08-30,53.1146265675
2010-08-31,51.3592363135
2010-09-01,47.4780956655
2010-09-02,47.265908695
2010-09-05,27.7618138379
2010-09-06,47.8349471488
2010-09-07,49.5214566419
2010-09-08,45.7618089708
2010-09-09,47.5321797821
2010-09-12,30.8544436937
2010-09-13,49.526642668
2010-09-14,45.0151461871
2010-09-15,51.9178859631
2010-09-16,50.4893379337
2010-09-19,34.4861772
2010-09-20,54.6988277977
