Date,tr
2010-01-04,
2010-01-05,0.6497585430110657
2010-01-06,0.3626904226251498
2010-01-07,0.6835312630564641
2010-01-08,0.2478631744707804
2010-01-11,0.33904951859336346
2010-01-12,0.4099722306887075
2010-01-13,0.2073359104162949
2010-01-14,0.5180449348339972
2010-01-15,0.521422206838537
2010-01-18,0.19382682239813556
2010-01-19,0.7476994311427284
2010-01-20,0.7578312471563479
2010-01-21,0.582213102920254
2010-01-22,1.051653911551351
2010-01-25,0.3154086145615771
2010-01-26,0.541685838865776
2010-01-27,1.142840255673934
2010-01-28,0.6193630949701997
2010-01-29,0.2174677264299144
2010-02-01,1.0043721034877857
2010-02-02,0.2850131665207186
2010-02-03,0.805113055219913
2010-02-04,1.9094810007045588
2010-02-05,0.5619494708930151
2010-02-08,0.2478631744707729
2010-02-09,0.24448590246624058
2010-02-10,0.5146676628294499
2010-02-11,0.4673858547658846
2010-02-12,0.6767767190473843
2010-02-15,0.02834049417566118
2010-02-16,0.19044955039359573
2010-02-17,0.6058540069520404
2010-02-18,0.3120313425570373
2010-02-19,0.27150407850255925
2010-02-22,0.04860412620290019
2010-02-23,0.46063131075681246
2010-02-24,0.05873594221652719
2010-02-25,0.6328721829883666
2010-02-26,0.5079131188203777
2010-03-01,0.2850131665207186
2010-03-02,0.643003999001986
2010-03-03,0.3863313266569286
2010-03-04,0.19044955039359573
2010-03-05,0.1296586543118712
2010-03-08,0.45725403875227266
2010-03-09,0.45725403875227266
2010-03-10,0.32216315857065675
2010-03-11,0.24448590246624058
2010-03-12,0.28163589451617876
2010-03-15,0.1972040944026754
2010-03-16,0.2073359104162949
2010-03-17,0.09250866226192553
2010-03-18,0.9908630154696265
2010-03-19,0.4167267746977946
2010-03-22,0.4167267746977946
2010-03-23,0.5281767508476092
2010-03-24,0.6801539910519242
2010-03-25,0.51129039082491
2010-03-26,0.20058136640721524
2010-03-28,0.14316774233003055
2010-03-29,0.5788358309157217
2010-03-30,0.2782586225116389
2010-03-31,0.1296586543118712
2010-04-01,0.038472310189288185
2010-04-04,0.024963222171121346
2010-04-05,0.31878588656611695
2010-04-06,0.8827903113243368
2010-04-07,0.9604675674287679
2010-04-08,0.045226854198367854
2010-04-11,0.33229497458428375
2010-04-12,0.48427221478859134
2010-04-13,0.05873594221652719
2010-04-14,0.3120313425570373
2010-04-15,0.5146676628294499
2010-04-18,0.31878588656612444
2010-04-19,0.3018995265434178
2010-04-20,0.12628138230733138
2010-04-21,0.61260855096112
2010-04-22,0.10601775028009237
2010-04-25,0.35931315062060243
2010-04-26,0.7510767031472683
2010-04-27,0.04184958219382052
2010-04-28,0.32216315857066424
2010-04-29,0.1870722783890559
2010-05-02,0.05198139820744752
2010-05-03,1.1901220637374916
2010-05-04,0.990863015469619
2010-05-05,1.7169764964457734
2010-05-06,0.5383085668612362
2010-05-09,0.9503357514151409
2010-05-10,0.6801539910519242
2010-05-11,0.024963222171121346
2010-05-12,0.031717766180208516
2010-05-13,1.497453816150654
2010-05-16,0.7578312471563479
2010-05-17,0.6531358150156056
2010-05-18,1.2779311358555423
2010-05-19,2.358658177308409
2010-05-20,0.6970403510746234
2010-05-23,0.18707227838904839
2010-05-24,1.4535492800916363
2010-05-25,0.9469584794106012
2010-05-26,0.27150407850255925
2010-05-27,0.49778130280675065
2010-05-30,1.2036311517556586
2010-05-31,-0.8092229629503077
2010-06-01,0.02834049417566118
2010-06-02,0.5754585589111744
2010-06-03,-0.5964548266642756
2010-06-06,0.430235862715954
2010-06-07,0.02834049417566868
2010-06-08,0.32891770257974395
2010-06-09,0.031717766180201015
2010-06-10,0.48764948679313114
2010-06-13,0.20058136640721524
2010-06-14,0.04184958219382052
2010-06-15,0.4808949427840515
2010-06-16,0.17018591836634922
2010-06-17,0.2748813505071066
2010-06-20,0.15329955834365006
2010-06-21,0.16005410235273723
2010-06-22,0.6700221750383047
2010-06-23,0.582213102920254
2010-06-24,0.44712222273865315
2010-06-27,0.3356722465888236
2010-06-28,1.0381448235331916
2010-06-29,0.062113214221067026
2010-06-30,-0.9578229311500754
2010-07-01,0.41672677469778713
2010-07-04,0.2377313584571534
2010-07-05,0.10939502228462471
2010-07-06,0.2073359104162949
2010-07-07,0.3255404305752041
2010-07-08,0.27150407850255925
2010-07-11,0.24448590246623308
2010-07-12,0.0891313902573857
2010-07-13,0.5957221909384208
2010-07-14,0.5146676628294499
2010-07-15,0.9266948473833622
2010-07-18,0.2748813505070991
2010-07-19,0.2546177184798601
2010-07-20,0.21409045442537458
2010-07-21,0.07562230223923386
2010-07-22,0.3356722465888236
2010-07-25,0.03509503818474085
2010-07-26,0.3154086145615846
2010-07-27,0.1296586543118712
2010-07-28,0.10601775028009237
2010-07-29,0.3491813346069829
2010-08-01,0.27150407850255925
2010-08-02,0.41672677469778713
2010-08-03,0.12628138230733138
2010-08-04,0.23435408645262107
2010-08-05,0.3052767985479651
2010-08-08,0.1364131983209509
2010-08-09,0.5754585589111818
2010-08-10,0.7341903431245616
2010-08-11,0.21071318242083473
2010-08-12,0.21071318242084222
2010-08-15,0.04184958219382802
2010-08-16,0.10601775028009237
2010-08-17,0.1870722783890559
2010-08-18,0.3829540546523888
2010-08-19,0.3154086145615846
2010-08-22,0.23097681444808124
2010-08-23,0.6396267269974387
2010-08-24,0.14316774233003055
2010-08-25,0.07224503023468652
2010-08-26,0.2073359104162949
2010-08-29,0.35593587861606263
2010-08-30,0.6430039990019786
2010-08-31,0.19382682239813556
2010-09-01,0.2951449825343381
2010-09-02,0.6058540069520404
