Date,kdjd
2010-01-04,-0.19188094010803045
2010-01-05,0.13607440843525392
2010-01-06,0.46973872554745627
2010-01-07,0.788192071224789
2010-01-08,0.9912853721267536
2010-01-11,1.1121078618016629
2010-01-12,1.2360735001398337
2010-01-13,1.4201924515068438
2010-01-14,1.6004012528415519
2010-01-15,1.7570903243562148
2010-01-18,1.8553984680965379
2010-01-19,1.9588186281926767
2010-01-20,2.076141327827102
2010-01-21,2.1793534416341545
2010-01-22,2.2253914300330435
2010-01-25,2.0646480205756643
2010-01-26,1.9989633221250327
2010-01-27,1.9723297677691758
2010-01-28,2.022498913746506
2010-01-29,2.114270223600431
2010-02-01,2.0902743331242237
2010-02-02,1.868123546492735
2010-02-03,1.6479161295586808
2010-02-04,1.5861716276394602
2010-02-05,1.6055815622931737
2010-02-08,1.595195380028314
2010-02-09,1.4106061479828669
2010-02-10,1.2123337466360118
2010-02-11,1.0351296040976512
2010-02-12,0.9295291630190227
2010-02-15,0.8268533308903331
2010-02-16,0.651858908042374
2010-02-17,0.4174580297336083
2010-02-18,0.14823262172555185
2010-02-19,-0.14823502646597592
2010-02-22,-0.34475456250616693
2010-02-23,-0.4025431111846802
2010-02-24,-0.3982633784907584
2010-02-25,-0.21316591474861768
2010-02-26,-0.16159827275299743
2010-03-01,-0.21199665159341202
2010-03-02,-0.5736344742898446
2010-03-03,-0.6877987634813126
2010-03-04,-0.6761761990884673
2010-03-05,-0.6753273669237392
2010-03-08,-0.6229057022182959
2010-03-09,-0.5754060858943779
2010-03-10,-0.5802026033990382
2010-03-11,-0.5227541277659751
2010-03-12,-0.4350206688858939
2010-03-15,-0.33573540651963846
2010-03-16,-0.20471583454640951
2010-03-17,-0.10707774191419418
2010-03-18,0.03787596430657891
2010-03-19,0.3589837790609272
2010-03-22,0.6836098624351927
2010-03-23,0.8492335449744963
2010-03-24,1.0117165194358915
2010-03-25,1.1933168137494037
2010-03-26,1.4356333117524207
2010-03-28,1.5917213205383807
2010-03-29,1.6046628321465546
2010-03-30,1.436366015071478
2010-03-31,1.1032013932477092
2010-04-01,0.7645276306919229
2010-04-04,0.43293260592155747
2010-04-05,0.12029628302345309
2010-04-06,0.007357610915815587
2010-04-07,-0.0022378656501148304
2010-04-08,0.07652792935503731
2010-04-11,0.1420334974888455
2010-04-12,-0.13469281691971377
2010-04-13,-0.25795584890580375
2010-04-14,-0.2558060630461497
2010-04-15,-0.15407238499278259
2010-04-18,0.00976920083434155
2010-04-19,0.12754950773214976
2010-04-20,0.22296004518969054
2010-04-21,0.5028504020741938
2010-04-22,0.8272454610234568
2010-04-25,0.9638291711466214
2010-04-26,1.1933872103572558
2010-04-27,1.3600478161220497
2010-04-28,1.2346579281293864
2010-04-29,1.0425635096730002
2010-05-02,0.8589935889282775
2010-05-03,0.8362978856277363
2010-05-04,0.9718078356592872
2010-05-05,1.1875178169510305
2010-05-06,1.3847484644607388
2010-05-09,1.293760802178169
2010-05-10,1.0868616505413553
2010-05-11,0.8445157528184742
2010-05-12,0.6012342520554083
2010-05-13,0.49700720793256375
2010-05-16,0.41676679771260283
2010-05-17,0.39841485450578434
2010-05-18,0.47142640416219145
2010-05-19,0.712459825609278
2010-05-20,0.8414090972327984
2010-05-23,0.9615068741501356
2010-05-24,1.0586509524873273
2010-05-25,1.115299095567513
2010-05-26,0.9281572919610809
2010-05-27,0.644256322955869
2010-05-30,0.3879589374598875
2010-05-31,0.2454890176585284
2010-06-01,0.15825309628919262
2010-06-02,0.062006052833534255
2010-06-03,0.04515703533409932
2010-06-06,0.3268471479108404
2010-06-07,0.6332736139144758
2010-06-08,0.834522912176575
2010-06-09,0.8311616355607223
2010-06-10,0.6868967589454587
2010-06-13,0.44371087439173984
2010-06-14,0.09319841375305468
2010-06-15,-0.19543966350301548
2010-06-16,-0.43098904570938057
2010-06-17,-0.6638366314007629
2010-06-20,-0.8430763840581309
2010-06-21,-0.9528576520994185
2010-06-22,-0.6887536370676904
2010-06-23,-0.4275829156285997
2010-06-24,-0.1855742081714613
2010-06-27,0.06040119382878968
2010-06-28,0.45720836412820337
2010-06-29,0.7422904542684687
2010-06-30,1.0055645846762322
2010-07-01,1.0483471786895509
2010-07-04,0.9792924452764199
2010-07-05,0.8204239091720037
2010-07-06,0.6243586019966433
2010-07-07,0.4751369829015482
2010-07-08,0.2872186447772926
2010-07-11,0.14469980607357033
2010-07-12,0.01196681386549485
2010-07-13,0.05061681516631533
2010-07-14,0.2586392923085298
2010-07-15,0.6037794575821792
2010-07-18,0.9842844933638375
2010-07-19,1.180412329040685
2010-07-20,1.25681253423331
2010-07-21,1.193646096868865
2010-07-22,1.0775542153446007
2010-07-25,0.9862956012778848
2010-07-26,0.8656199734568892
2010-07-27,0.7571428949271652
2010-07-28,0.684678487797133
2010-07-29,0.5895553384598431
2010-08-01,0.4574805061929676
2010-08-02,0.4256660486601816
2010-08-03,0.49772354899262117
2010-08-04,0.5975415762451303
2010-08-05,0.7165384863776637
2010-08-08,0.38770655594912323
2010-08-09,0.3233682579586785
2010-08-10,0.45480663177021385
2010-08-11,0.6869399540401631
2010-08-12,0.9205475764402765
2010-08-15,0.7591411834244305
2010-08-16,0.7182243791355443
2010-08-17,0.6721206319541818
2010-08-18,0.6371610815546331
2010-08-19,0.7092959226595571
2010-08-22,0.3891799897899141
2010-08-23,0.34942251248321027
2010-08-24,0.4351729765659341
2010-08-25,0.602310059760984
2010-08-26,0.7115119331340315
2010-08-29,0.31401084287130276
2010-08-30,0.20248194281016801
2010-08-31,0.18943434331363523
