Date,adx
2010-10-12,51.5766221097
2010-10-13,53.5430831171
2010-10-14,54.478939826
2010-10-17,46.5647269838
2010-10-18,36.5174765387
2010-10-19,29.3408690779
2010-10-20,29.5901009428
2010-10-21,30.7788987718
2010-10-24,33.8927575918
2010-10-25,30.0441990434
2010-10-26,30.3043206991
2010-10-27,31.4251997103
2010-10-28,23.4215631058
2010-11-01,17.3036667009
2010-11-02,12.9337406975
2010-11-03,9.81236498073
2010-11-04,14.7504058189
2010-11-05,24.4064764341
2010-11-08,21.7183004676
2010-11-09,19.063892534
2010-11-10,16.4401994012
2010-11-11,16.5323920997
2010-11-12,17.2259961528
2010-11-15,17.8529036629
2010-11-16,22.0825944013
2010-11-17,28.0542555359
2010-11-18,22.4421025241
2010-11-19,19.8254004527
2010-11-22,17.902648824
2010-11-23,16.3640151038
2010-11-24,15.2649910178
2010-11-25,14.0826663087
2010-11-26,12.7392242163
2010-11-29,11.7796227218
2010-11-30,10.2219157309
2010-12-01,11.2009323061
2010-12-02,15.5971721704
2010-12-03,22.0412940438
2010-12-06,29.8407659315
2010-12-07,37.6303212373
2010-12-08,34.9865829413
2010-12-09,26.8789386419
2010-12-10,23.2639958379
2010-12-13,19.4005751591
2010-12-14,16.7592145712
2010-12-15,13.6730004225
2010-12-16,12.122366476
2010-12-17,9.47390232523
2010-12-20,7.52875382091
2010-12-21,9.91759976353
2010-12-22,16.6962565372
2010-12-23,21.178321352
2010-12-24,26.2058182419
2010-12-27,26.0633816561
2010-12-28,23.4313455548
2010-12-29,22.6756122614
2010-12-30,16.559441752
2010-12-31,14.3457941139
2011-01-03,19.6909526631
2011-01-04,18.8947937636
2011-01-05,18.908265451
2011-01-06,24.1383599817
2011-01-07,27.8741417894
2011-01-10,32.0074470078
2011-01-11,34.9598078782
2011-01-12,34.3001996578
2011-01-13,27.8274888262
2011-01-14,28.5929956682
2011-01-17,29.1397862697
2011-01-18,26.0739558044
2011-01-19,20.0875953062
2011-01-20,14.3639309458
2011-01-21,10.2755992599
2011-01-24,9.70309801056
2011-01-25,8.52503150214
2011-01-26,7.68355542471
2011-01-27,10.4463473748
2011-01-28,9.28110502219
2011-01-31,10.5105124869
2011-02-01,14.9171705762
2011-02-02,20.0951703242
2011-02-03,19.8573757275
2011-02-04,16.3236648683
2011-02-07,12.3362761036
2011-02-08,9.48814127173
2011-02-09,14.9688838357
2011-02-10,14.1303009656
2011-02-11,11.9904170267
2011-02-14,13.8843944725
2011-02-15,15.2372355053
2011-02-16,14.1511736472
2011-02-17,11.2489256844
2011-02-18,13.8492363744
2011-02-21,15.706601153
2011-02-22,17.0332902806
2011-02-23,21.4490735028
2011-02-24,22.8709046899
2011-02-25,23.7282500416
2011-02-28,25.4562904616
2011-03-01,26.0859941861
2011-03-02,25.6431716154
2011-03-03,31.8907978468
2011-03-04,41.8460211285
2011-03-07,40.5129462193
2011-03-08,39.5607498557
2011-03-09,44.0855426734
2011-03-10,37.2375852907
2011-03-11,28.4162146427
2011-03-14,20.852296205
2011-03-15,22.8168155348
2011-03-16,24.2200436274
2011-03-17,29.1777092238
2011-03-18,34.6217971693
2011-03-21,29.335598564
2011-03-22,25.5597424174
2011-03-23,18.4434241229
2011-03-24,15.7933135135
2011-03-25,15.5890193058
2011-03-27,11.4482768387
2011-03-28,8.49060364795
2011-03-29,22.8637131812
2011-03-30,34.1785174285
2011-03-31,46.0182991983
2011-04-03,54.4752861768
2011-04-04,60.5159911614
2011-04-05,65.6221823701
2011-04-06,70.3400065577
2011-04-07,75.4723540265
2011-04-10,79.2492849609
2011-04-11,73.6463998356
2011-04-12,65.4608489259
2011-04-13,59.6140268475
2011-04-14,55.437725363
2011-04-17,52.4546528741
2011-04-18,50.3238868105
2011-04-19,54.7223505885
2011-04-20,57.9849486849
2011-04-21,60.3153758966
2011-04-24,61.9799667621
2011-04-25,52.6615020571
2011-04-26,49.708997736
2011-04-27,40.4609354745
2011-04-28,33.8551767162
2011-05-01,29.1367776032
2011-05-02,33.9138006617
2011-05-03,40.5141888538
2011-05-04,48.1430851065
2011-05-05,46.6187942014
2011-05-08,47.2846851709
2011-05-09,47.7603215776
2011-05-10,49.4022852432
2011-05-11,53.0180290376
2011-05-12,57.4684702217
2011-05-15,60.6473567818
2011-05-16,63.0557232909
2011-05-17,50.6092327001
2011-05-18,37.681590676
2011-05-19,29.7958150467
2011-05-22,31.3571522697
2011-05-23,32.4723931434
2011-05-24,33.2689937674
2011-05-25,32.2351082734
2011-05-26,29.1118841106
2011-05-29,28.8249481012
2011-05-30,33.0155699702
2011-05-31,37.624627268
2011-06-01,35.8467422977
2011-06-02,42.7563706203
2011-06-05,47.5698262117
2011-06-06,53.5984284371
2011-06-07,52.0187972989
2011-06-08,49.5197174944
2011-06-09,42.7504093515
2011-06-12,37.9151892494
2011-06-13,36.1653047053
2011-06-14,32.4659483905
2011-06-15,26.6579022648
2011-06-16,19.7930064472
2011-06-19,17.3265407519
2011-06-20,13.3916280909
2011-06-21,10.5809761903
2011-06-22,8.54745260408
2011-06-23,10.1724280689
2011-06-26,14.7188734128
2011-06-27,12.2129986754
2011-06-28,15.680754297
2011-06-29,21.5357455677
2011-06-30,27.5095195252
2011-07-03,31.7765009235
2011-07-04,30.0450964017
2011-07-05,23.8951061457
2011-07-06,23.4164077711
2011-07-07,24.6067202687
2011-07-10,20.5112165405
2011-07-11,17.8832851492
2011-07-12,14.0481629071
2011-07-13,11.308789877
2011-07-14,9.56531531197
2011-07-17,11.8422234296
2011-07-18,8.95152060693
2011-07-19,7.37762580697
2011-07-20,12.9327364051
2011-07-21,18.4395980793
2011-07-24,27.0745936959
2011-07-25,36.2776741852
2011-07-26,26.8311159301
2011-07-27,20.0835743193
2011-07-28,17.2523756639
2011-07-31,16.9276418456
2011-08-01,14.1380956683
2011-08-02,12.1455626846
2011-08-03,17.4358327774
2011-08-04,25.7162435659
2011-08-07,33.5841956305
2011-08-08,45.6141686498
2011-08-09,44.2385389899
2011-08-10,44.7183922248
2011-08-11,39.7174122515
2011-08-14,31.3172966655
2011-08-15,24.4129278298
2011-08-16,19.4812358043
2011-08-17,17.8997590151
2011-08-18,16.7701327372
2011-08-21,17.6185542409
2011-08-22,18.379772669
2011-08-23,18.7101289614
2011-08-24,23.1513869113
2011-08-25,26.3237140185
2011-08-28,23.4172466703
2011-08-29,17.5153746485
2011-08-30,14.0108772374
2011-08-31,15.7125080367
2011-09-01,25.1826963192
2011-09-04,34.6776022734
2011-09-05,42.7448364143
2011-09-06,48.5071465148
2011-09-07,51.0402855075
2011-09-08,56.3483970008
2011-09-11,62.0316755979
2011-09-12,67.3855136741
2011-09-13,72.1821222867
2011-09-14,70.6314476404
2011-09-15,70.6887390236
2011-09-18,74.5320151198
2011-09-19,77.4503130445
2011-09-20,80.7375237075
2011-09-21,84.4484644014
2011-09-22,87.0991363256
2011-09-25,78.0543284468
2011-09-26,67.8326283884
2011-09-27,60.531414061
2011-09-28,57.0770164505
2011-09-29,56.6832661153
2011-10-02,58.344724028
2011-10-03,60.0458170599
2011-10-04,50.4870467983
2011-10-05,38.2163733386
2011-10-06,31.8457356741
2011-10-09,29.3057925675
2011-10-10,26.163126952
2011-10-11,23.9183657981
2011-10-12,24.7236965279
2011-10-13,27.6865353174
2011-10-16,28.9696762826
2011-10-17,21.7646760046
2011-10-18,18.7676121825
2011-10-19,17.0676231481
2011-10-20,15.4957082042
2011-10-23,11.1007655351
2011-10-24,10.8149902384
2011-10-25,9.15497366886
2011-10-26,14.1393096471
2011-10-27,22.3363365252
2011-10-31,30.2235800542
2011-11-01,21.8911914102
2011-11-02,15.9394852359
2011-11-03,13.0310652605
2011-11-04,11.2363727861
2011-11-07,10.1205911674
2011-11-08,7.65449136621
2011-11-09,8.08339571787
2011-11-10,13.3274902965
2011-11-11,14.0091756553
2011-11-14,13.4729359552
2011-11-15,14.3009381439
2011-11-16,18.0186328922
2011-11-17,21.3865321928
2011-11-18,23.7921745503
2011-11-21,31.720678658
2011-11-22,37.8363065655
2011-11-23,47.4358342092
2011-11-24,56.0952019919
2011-11-25,63.4699131376
2011-11-28,59.3009334102
2011-11-29,51.1634581088
2011-11-30,36.8239903486
2011-12-01,28.2677092875
2011-12-02,25.3203885621
2011-12-05,23.2151594725
2011-12-06,20.2085093671
2011-12-07,15.8803043694
2011-12-08,13.9546616835
2011-12-09,14.4086122655
2011-12-12,17.813726656
2011-12-13,23.1338356033
2011-12-14,31.4698891243
2011-12-15,33.9911090471
2011-12-16,30.9265871972
2011-12-19,30.2035865994
2011-12-20,27.8152158172
2011-12-21,26.109236687
2011-12-22,26.0179922585
2011-12-23,18.5985042597
2011-12-26,13.2988699748
2011-12-27,17.0489404637
2011-12-28,13.0768835859
2011-12-29,11.7843222103
2011-12-30,11.5919567761
2012-01-02,9.08407478806
2012-01-03,14.3442615414
2012-01-04,21.5280005845
2012-01-05,22.1486474358
2012-01-06,19.3953014531
2012-01-09,16.9900728337
2012-01-10,24.9751322792
2012-01-11,30.6787461688
2012-01-12,37.1691968334
2012-01-13,43.6529292543
2012-01-16,48.2841666978
2012-01-17,53.3804347665
2012-01-18,56.1817432406
2012-01-19,59.6239541964
2012-01-20,60.8596796002
2012-01-23,63.4983021098
2012-01-24,65.3830324739
2012-01-25,68.2375043356
2012-01-26,71.4753002897
2012-01-27,73.7880116855
2012-01-30,71.0903488956
2012-01-31,69.8287352532
2012-02-01,66.8675803985
2012-02-02,66.9404763826
2012-02-03,68.1310018085
2012-02-06,69.5853735235
2012-02-07,70.6242104628
2012-02-08,72.4766674202
2012-02-09,74.5047627251
2012-02-10,70.7422491997
2012-02-13,68.9198372449
2012-02-14,67.6181144201
2012-02-15,60.6553628207
2012-02-16,43.5667060816
2012-02-17,39.9437376563
2012-02-20,36.2778242261
2012-02-21,27.9432093783
2012-02-22,24.873692823
2012-02-23,29.4299504477
2012-02-24,29.9174309936
2012-02-27,27.1503087463
2012-02-28,29.1457927064
2012-02-29,22.2697242344
2012-03-01,15.9858393749
2012-03-02,12.9644348217
2012-03-05,17.8353899469
2012-03-06,26.7584126005
2012-03-07,20.6349354611
2012-03-08,18.5535270586
2012-03-09,17.6576158445
2012-03-12,26.6485311063
2012-03-13,33.7333828597
2012-03-14,37.2041636803
2012-03-15,38.5568793212
2012-03-16,36.1096343976
2012-03-19,36.1034144371
2012-03-20,41.2313948257
2012-03-21,41.6790984568
2012-03-22,42.3868101581
2012-03-23,37.3589412113
2012-03-25,27.1056117277
2012-03-26,20.486251351
2012-03-27,14.924745347
2012-03-28,16.137214534
2012-03-29,14.7402969255
2012-04-01,16.4697276582
2012-04-02,13.5899168445
2012-04-03,15.9810528542
2012-04-04,17.6890071469
2012-04-05,18.9089744988
2012-04-08,21.4184486035
2012-04-09,23.0640088195
2012-04-10,22.6597220583
2012-04-11,21.7483120729
2012-04-12,25.119838157
2012-04-15,19.2858657708
2012-04-16,14.4039600536
2012-04-17,19.2131980975
2012-04-18,27.7656153877
2012-04-19,33.8744848807
2012-04-22,31.9115954759
2012-04-23,30.5095316153
2012-04-24,29.5080574292
2012-04-25,22.1750067116
2012-04-26,16.9371133419
2012-04-29,17.3877497756
2012-04-30,24.1382942033
2012-05-01,23.9320133017
2012-05-02,30.4810170987
2012-05-03,26.2792623932
2012-05-06,25.6908861179
2012-05-07,25.2706173499
