Date,boll
2010-09-20,-1.12082057528
2010-09-21,-1.12325717167
2010-09-22,-1.12932188687
2010-09-23,-1.13190575008
2010-09-26,-1.13423524334
2010-09-27,-1.13731445856
2010-09-28,-1.14006567043
2010-09-29,-1.14250896077
2010-09-30,-1.14541413339
2010-10-03,-1.14812518158
2010-10-04,-1.14995932282
2010-10-05,-1.15404262997
2010-10-06,-1.15639889901
2010-10-07,-1.15943795056
2010-10-10,-1.16226279583
2010-10-11,-1.1659578541
2010-10-12,-1.16806644713
2010-10-13,-1.17266518813
2010-10-14,-1.17647404348
2010-10-17,-1.18043016565
2010-10-18,-1.1840783663
2010-10-19,-1.18638777772
2010-10-20,-1.18634092009
2010-10-21,-1.18792738533
2010-10-24,-1.18929964429
2010-10-25,-1.18991548733
2010-10-26,-1.19036398172
2010-10-27,-1.18932642007
2010-10-28,-1.18816167344
2010-11-01,-1.18731154228
2010-11-02,-1.18685635395
2010-11-03,-1.18471429118
2010-11-04,-1.18437959387
2010-11-05,-1.18458710621
2010-11-08,-1.18102592686
2010-11-09,-1.17870312755
2010-11-10,-1.17696270155
2010-11-11,-1.17311368252
2010-11-12,-1.16903706932
2010-11-15,-1.16475294379
2010-11-16,-1.16153984965
2010-11-17,-1.15846063442
2010-11-18,-1.155033334
2010-11-19,-1.15389536315
2010-11-22,-1.15194742483
2010-11-23,-1.15054169614
2010-11-24,-1.14845318494
2010-11-25,-1.14825236656
2010-11-26,-1.14811848763
2010-11-29,-1.14253573655
2010-11-30,-1.14168560539
2010-12-01,-1.14078192266
2010-12-02,-1.13965064577
2010-12-03,-1.1378566682
2010-12-06,-1.1407283711
2010-12-07,-1.14171238118
2010-12-08,-1.14298423094
2010-12-09,-1.14418914125
2010-12-10,-1.14538735761
2010-12-13,-1.14307125224
2010-12-14,-1.1448786177
2010-12-15,-1.14775701454
2010-12-16,-1.14958446184
2010-12-17,-1.15003295623
2010-12-20,-1.15048814457
2010-12-21,-1.15143868492
2010-12-22,-1.15368115688
2010-12-23,-1.15522076449
2010-12-24,-1.15677375999
2010-12-27,-1.15937770504
2010-12-28,-1.16151976781
2010-12-29,-1.16314639672
2010-12-30,-1.16501400769
2010-12-31,-1.16765811642
2011-01-03,-1.16903706932
2011-01-04,-1.17136656258
2011-01-05,-1.17200248746
2011-01-06,-1.17314045831
2011-01-07,-1.17432528677
2011-01-10,-1.17897757934
2011-01-11,-1.17924533719
2011-01-12,-1.1826860255
2011-01-13,-1.18765293354
2011-01-14,-1.19001589652
2011-01-17,-1.19122750078
2011-01-18,-1.19286751758
2011-01-19,-1.19477529223
2011-01-20,-1.19671653661
2011-01-21,-1.20053877986
2011-01-24,-1.2053182574
2011-01-25,-1.20628887959
2011-01-26,-1.20779501747
2011-01-27,-1.21179130332
2011-01-28,-1.21110182687
2011-01-31,-1.20984336499
2011-02-01,-1.20847110603
2011-02-02,-1.20862506679
2011-02-03,-1.20944842217
2011-02-04,-1.21061986274
2011-02-07,-1.21137627866
2011-02-08,-1.21546627975
2011-02-09,-1.21393336608
2011-02-10,-1.21143652417
2011-02-11,-1.21176452753
2011-02-14,-1.21394675398
2011-02-15,-1.21499100957
2011-02-16,-1.21518513401
2011-02-17,-1.21525207347
2011-02-18,-1.21345809591
2011-02-21,-1.21377940532
2011-02-22,-1.21398022371
2011-02-23,-1.21377940532
2011-02-24,-1.21025169571
2011-02-25,-1.21089431454
2011-02-28,-1.20917397038
2011-03-01,-1.20972287396
2011-03-02,-1.21024500176
2011-03-03,-1.21081398718
2011-03-04,-1.212079143
2011-03-07,-1.21102819346
2011-03-08,-1.20940825849
2011-03-09,-1.21011112284
2011-03-10,-1.21059978091
2011-03-11,-1.21094117216
2011-03-14,-1.20822343003
2011-03-15,-1.20833053316
2011-03-16,-1.20869200626
2011-03-17,-1.20822343003
2011-03-18,-1.20705198945
2011-03-21,-1.20375856795
2011-03-22,-1.20401963185
2011-03-23,-1.20478274171
2011-03-24,-1.20551907579
2011-03-25,-1.20586716098
2011-03-27,-1.20654324954
2011-03-28,-1.20646292219
2011-03-29,-1.20656333138
2011-03-30,-1.20828367554
2011-03-31,-1.20977642553
2011-04-03,-1.2116440365
2011-04-04,-1.21478349724
2011-04-05,-1.21792965193
2011-04-06,-1.22060723038
2011-04-07,-1.22503192878
2011-04-10,-1.23077533457
2011-04-11,-1.23665261928
2011-04-12,-1.2414856484
2011-04-13,-1.24710856315
2011-04-14,-1.25071166774
2011-04-17,-1.25741266014
2011-04-18,-1.26266916943
2011-04-19,-1.26836254677
2011-04-20,-1.27477464255
2011-04-21,-1.28101058185
2011-04-24,-1.28725356741
2011-04-25,-1.29324288764
2011-04-26,-1.29968316845
2011-04-27,-1.30405184909
2011-04-28,-1.30693376906
2011-05-01,-1.31036529724
2011-05-02,-1.3123875736
2011-05-03,-1.31376159412
2011-05-04,-1.31444508125
2011-05-05,-1.31218323208
2011-05-08,-1.31013277069
2011-05-09,-1.3074270072
2011-05-10,-1.30629960574
2011-05-11,-1.30433369945
2011-05-12,-1.30226667935
2011-05-15,-1.29778173543
2011-05-16,-1.29498366595
2011-05-17,-1.29233955722
2011-05-18,-1.289508018
2011-05-19,-1.28636855726
2011-05-22,-1.28302158419
2011-05-23,-1.27885125575
2011-05-24,-1.27456713022
2011-05-25,-1.27055076254
2011-05-26,-1.26814094193
2011-05-29,-1.26606581862
2011-05-30,-1.26496131751
2011-05-31,-1.26555038477
2011-06-01,-1.26642059777
2011-06-02,-1.26960022218
2011-06-05,-1.2716485697
2011-06-06,-1.27401153269
2011-06-07,-1.27601971653
2011-06-08,-1.27859019185
2011-06-09,-1.28057159991
2011-06-12,-1.28330272993
2011-06-13,-1.28610079942
2011-06-14,-1.28870474447
2011-06-15,-1.28966197877
2011-06-16,-1.29031798549
2011-06-19,-1.29175718391
2011-06-20,-1.29465566259
2011-06-21,-1.2974001805
2011-06-22,-1.30004428923
2011-06-23,-1.3021729641
2011-06-26,-1.30246080379
2011-06-27,-1.30232692486
2011-06-28,-1.30237378249
2011-06-29,-1.30386653248
2011-06-30,-1.3049442578
2011-07-03,-1.30628304703
2011-07-04,-1.30820420957
2011-07-05,-1.30909450441
2011-07-06,-1.30991785979
2011-07-07,-1.31208669834
2011-07-10,-1.31429570056
2011-07-11,-1.31489815571
2011-07-12,-1.31519268934
2011-07-13,-1.31715401556
2011-07-14,-1.31913542362
2011-07-17,-1.32059470388
2011-07-18,-1.32186655365
2011-07-19,-1.32337269153
2011-07-20,-1.32507964779
2011-07-21,-1.32763673522
2011-07-24,-1.33005324977
2011-07-25,-1.33346046836
2011-07-26,-1.3364258865
2011-07-27,-1.33686768695
2011-07-28,-1.3367739717
2011-07-31,-1.33692793246
2011-08-01,-1.33650621385
2011-08-02,-1.33653298964
2011-08-03,-1.3369480143
2011-08-04,-1.33545526431
2011-08-07,-1.33336675311
2011-08-08,-1.33223547622
2011-08-09,-1.32865421503
2011-08-10,-1.32502609622
2011-08-11,-1.32189332943
2011-08-14,-1.31898815681
2011-08-15,-1.31807108618
2011-08-16,-1.31679254247
2011-08-17,-1.31565457163
2011-08-18,-1.31199298309
2011-08-21,-1.30922168939
2011-08-22,-1.30531242484
2011-08-23,-1.3010550751
2011-08-24,-1.2980963509
2011-08-25,-1.29500374779
2011-08-28,-1.2914224866
2011-08-29,-1.28897919626
2011-08-30,-1.28742620076
2011-08-31,-1.28612088126
2011-09-01,-1.28463482521
2011-09-04,-1.28217145304
2011-09-05,-1.27866382526
2011-09-06,-1.27653515039
2011-09-07,-1.2744198634
2011-09-08,-1.27252547665
2011-09-11,-1.26827482085
2011-09-12,-1.26059017068
2011-09-13,-1.2520620833
2011-09-14,-1.24232239166
2011-09-15,-1.23548787265
2011-09-18,-1.2277764467
2011-09-19,-1.21558677078
2011-09-20,-1.20258043343
2011-09-21,-1.18741195148
2011-09-22,-1.16948556371
2011-09-25,-1.15236244949
2011-09-26,-1.13551378705
2011-09-27,-1.12108833312
2011-09-28,-1.1053441718
2011-09-29,-1.09003511698
2011-10-02,-1.07549586596
2011-10-03,-1.05953749836
2011-10-04,-1.04681230675
2011-10-05,-1.03474981581
2011-10-06,-1.02436750534
2011-10-09,-1.01851699642
2011-10-10,-1.01561182379
2011-10-11,-1.0137843765
2011-10-12,-1.01043740343
2011-10-13,-1.00816146174
2011-10-16,-1.00680928462
2011-10-17,-1.00798741914
2011-10-18,-1.01027005477
2011-10-19,-1.01512985967
2011-10-20,-1.0211410233
2011-10-23,-1.0270450838
2011-10-24,-1.03351812972
2011-10-25,-1.0362291779
2011-10-26,-1.04022546375
2011-10-27,-1.04817117782
2011-10-31,-1.05887479769
2011-11-01,-1.07194807451
2011-11-02,-1.07918423028
2011-11-03,-1.08590495221
2011-11-04,-1.09093879971
2011-11-07,-1.09182909454
2011-11-08,-1.09162827616
2011-11-09,-1.09158141854
2011-11-10,-1.09274616516
2011-11-11,-1.09161488827
2011-11-14,-1.09099904522
2011-11-15,-1.09150109118
2011-11-16,-1.09071120554
2011-11-17,-1.09010875038
2011-11-18,-1.09161488827
2011-11-21,-1.09093210576
2011-11-22,-1.08725712933
2011-11-23,-1.08389676837
2011-11-24,-1.07711580093
2011-11-25,-1.0659703806
2011-11-28,-1.05303767666
2011-11-29,-1.04217340208
2011-11-30,-1.03551292567
2011-12-01,-1.0305125479
2011-12-02,-1.02599413425
2011-12-05,-1.02290153114
2011-12-06,-1.02091342913
2011-12-07,-1.01746604687
2011-12-08,-1.01464789555
2011-12-09,-1.01083234625
2011-12-12,-1.00699002116
2011-12-13,-1.00366312993
2011-12-14,-0.997745681544
2011-12-15,-0.990650098635
2011-12-16,-0.984337707425
2011-12-19,-0.979303859928
2011-12-20,-0.975133531483
2011-12-21,-0.973118653695
2011-12-22,-0.97338641154
2011-12-23,-0.975026428344
2011-12-26,-0.976519178334
2011-12-27,-0.976331747842
2011-12-28,-0.975093367806
