Date,kdjk_9
2010-01-04,0.03724480260227658
2010-01-05,0.6926852299158412
2010-01-06,0.9941598200251651
2010-01-07,1.2457930119108167
2010-01-08,1.2216573900950098
2010-01-11,1.1834629959405205
2010-01-12,1.297255138051102
2010-01-13,1.563210790776157
2010-01-14,1.7138147471369738
2010-01-15,1.8096080584081518
2010-01-18,1.793486321822447
2010-01-19,1.8927694232368808
2010-01-20,2.019557564503261
2010-01-21,2.0850719839462775
2010-01-22,2.0253940141030777
2010-01-25,1.5236622511147977
2010-01-26,1.63237054854327
2010-01-27,1.6773352352081357
2010-01-28,1.8553590169804983
2010-01-29,2.008223176110804
2010-02-01,1.784983966235162
2010-02-02,1.244677569024042
2010-02-03,1.055693097089869
2010-02-04,1.2786274420124788
2010-02-05,1.437382644349946
2010-02-08,1.3762473235647574
2010-02-09,0.9106060245779315
2010-02-10,0.7134810035102798
2010-02-11,0.5954817254868272
2010-02-12,0.6283363370079624
2010-02-15,0.5437455953027883
2010-02-16,0.26450548457128276
2010-02-17,-0.04407306740500401
2010-02-18,-0.34012434185247953
2010-02-19,-0.6467270367233013
2010-02-22,-0.643777056834966
2010-02-23,-0.4518635195285994
2010-02-24,-0.33967504981170665
2010-02-25,0.1379678387647306
2010-02-26,-0.05029267600575745
2010-03-01,-0.27248364158573984
2010-03-02,-1.132238607934018
2010-03-03,-0.7995749300726475
2010-03-04,-0.5696384812693299
2010-03-05,-0.5877214502109432
2010-03-08,-0.4518129924323025
2010-03-09,-0.41891595937669746
2010-03-10,-0.5144814043193414
2010-03-11,-0.35553430532060315
2010-03-12,-0.22597182035991492
2010-03-15,-0.1190490975499949
2010-03-16,0.0508618352700198
2010-03-17,0.07783531257163562
2010-03-18,0.2871441619921077
2010-03-19,0.8754613520708874
2010-03-22,1.1652121328565352
2010-03-23,1.0320872478051673
2010-03-24,1.1685497873436128
2010-03-25,1.360604423038352
2010-03-26,1.6783867801493733
2010-03-28,1.6640863391547622
2010-03-29,1.4252779820106227
2010-03-30,0.9615777665476942
2010-03-31,0.3824475068499115
2010-04-01,0.07694566102337935
2010-04-04,-0.20037765494433663
2010-04-05,-0.4403806470631166
2010-04-06,-0.1901232261411269
2010-04-07,-0.017938473269490215
2010-04-08,0.2052640851699995
2010-04-11,0.239322693622557
2010-04-12,-0.6004028548909469
2010-04-13,-0.4399486802565937
2010-04-14,-0.21894148391260662
2010-04-15,0.04393539235500159
2010-04-18,0.29559129739743356
2010-04-19,0.31800670496895495
2010-04-20,0.3622744653023054
2010-04-21,0.9291300022026285
2010-04-22,1.2902929989116296
2010-04-25,1.0814611047822733
2010-04-26,1.4444606787656726
2010-04-27,1.4801622592571462
2010-04-28,0.8603289637293768
2010-04-29,0.575959000284963
2010-05-02,0.43048114076710375
2010-05-03,0.6917429082620702
2010-05-04,1.0865553738295382
2010-05-05,1.4151368059309504
2010-05-06,1.555155392412974
2010-05-09,0.97207278145058
2010-05-10,0.588791483183922
2010-05-11,0.3151358097563621
2010-05-12,0.10096278028419309
2010-05-13,0.25287138927846176
2010-05-16,0.22468181008824964
2010-05-17,0.31678436101093155
2010-05-18,0.5402054995370589
2010-05-19,1.0443580592405322
2010-05-20,0.9611717548435894
2010-05-23,1.050627025904922
2010-05-24,1.0953889841514786
2010-05-25,1.0741215467232765
2010-05-26,0.4846636869533386
2010-05-27,0.06757533788386383
2010-05-30,-0.10810333131417134
2010-05-31,-0.03368305575486073
2010-06-01,-0.01338679203542336
2010-06-02,-0.11321599572686064
2010-06-03,0.010793348392845474
2010-06-06,0.7785127303857019
2010-06-07,1.0894373170197524
2010-06-08,1.08148287331737
2010-06-09,0.7210380334427274
2010-06-10,0.34880821555939895
2010-06-13,-0.036487475168183056
2010-06-14,-0.5302337323776529
2010-06-15,-0.6742861624328257
2010-06-16,-0.7873095584832368
2010-06-17,-0.9860117044670915
2010-06-20,-1.0489341866147444
2010-06-21,-1.023480331871748
2010-06-22,-0.13947522629024187
2010-06-23,0.0835664058987495
2010-06-24,0.26151167693340116
2010-06-27,0.48333429393324634
2010-06-28,1.093540027412636
2010-06-29,1.1473835981900014
2010-06-30,1.3392838431099663
2010-07-01,0.9914035199646944
2010-07-04,0.7356660218651528
2010-07-05,0.4399452647078306
2010-07-06,0.2036640020953582
2010-07-07,0.15514756023394047
2010-07-08,-0.0766370592030945
2010-07-11,-0.1218211199047966
2010-07-12,-0.22068235045911858
2010-07-13,0.11253451978938707
2010-07-14,0.5902075512478803
2010-07-15,1.1313132882388222
2010-07-18,1.5255260236163528
2010-07-19,1.3747140877849902
2010-07-20,1.2322641196981046
2010-07-21,0.933220435887014
2010-07-22,0.7393243292563412
2010-07-25,0.70298819530683
2010-07-26,0.5461629772765473
2010-07-27,0.4727080917274029
2010-07-28,0.4723245114723102
2010-07-29,0.3496312058225175
2010-08-01,0.16968224557690278
2010-08-02,0.31706930933832794
2010-08-03,0.5615125288336085
2010-08-04,0.6972215814539509
2010-08-05,0.8346915203808293
2010-08-08,-0.235060688516851
2010-08-09,0.17087110053163074
2010-08-10,0.6277729310272823
2010-08-11,1.0065122988085902
2010-08-12,1.2131751723294446
2010-08-15,0.3819724680096409
2010-08-16,0.5567531795744992
2010-08-17,0.507412562839895
2010-08-18,0.4963426461279424
2010-08-19,0.7464838694311859
2010-08-22,-0.21854431777933692
2010-08-23,0.23658204655819895
2010-08-24,0.530791601330452
2010-08-25,0.819011519039619
2010-08-26,0.8131856696112522
2010-08-29,-0.4194265831339033
2010-08-30,-0.017193299600481656
2010-08-31,0.14348056597589978
