Date,trix
2010-09-16,-0.108253126867
2010-09-19,-0.115642308653
2010-09-20,-0.114639887338
2010-09-21,-0.108603753595
2010-09-22,-0.110052216008
2010-09-23,-0.106433066406
2010-09-26,-0.110810746303
2010-09-27,-0.109973033367
2010-09-28,-0.105621057681
2010-09-29,-0.100188811366
2010-09-30,-0.0956480993965
2010-10-03,-0.104855764751
2010-10-04,-0.107899341982
2010-10-05,-0.112668071036
2010-10-06,-0.114597013839
2010-10-07,-0.115587170955
2010-10-10,-0.126610166792
2010-10-11,-0.135028033263
2010-10-12,-0.138996431864
2010-10-13,-0.143256562486
2010-10-14,-0.145184664672
2010-10-17,-0.156683443768
2010-10-18,-0.158649815358
2010-10-19,-0.150246902662
2010-10-20,-0.13874553634
2010-10-21,-0.121480100727
2010-10-24,-0.112179627807
2010-10-25,-0.0958182008797
2010-10-26,-0.0753057309477
2010-10-27,-0.0496766244101
2010-10-28,-0.0235811903169
2010-11-01,-0.0133792850398
2010-11-02,-0.000817622035578
2010-11-03,0.0116590473165
2010-11-04,0.020640379109
2010-11-05,0.0237534341205
2010-11-08,0.0239600092469
2010-11-09,0.025990918979
2010-11-10,0.0289009531769
2010-11-11,0.0350834048967
2010-11-12,0.0452110735079
2010-11-15,0.0458486180557
2010-11-16,0.0512676395327
2010-11-17,0.0625009152984
2010-11-18,0.07417733173
2010-11-19,0.0818113718322
2010-11-22,0.0780093760697
2010-11-23,0.0775633965178
2010-11-24,0.0816226564577
2010-11-25,0.0853641424761
2010-11-26,0.0869588299477
2010-11-29,0.08986274406
2010-11-30,0.0903322939712
2010-12-01,0.0884318824237
2010-12-02,0.083053915696
2010-12-03,0.0746746410985
2010-12-06,0.0507543201524
2010-12-07,0.0284551005305
2010-12-08,0.00753227439428
2010-12-09,-0.00805039493934
2010-12-10,-0.0169021659505
2010-12-13,-0.0207533613352
2010-12-14,-0.0238200120784
2010-12-15,-0.0261300397168
2010-12-16,-0.0264775432621
2010-12-17,-0.0243610644676
2010-12-20,-0.0289529539315
2010-12-21,-0.0285655792881
2010-12-22,-0.026493099435
2010-12-23,-0.0236483680992
2010-12-24,-0.0218661451853
2010-12-27,-0.0211051196048
2010-12-28,-0.0221571964998
2010-12-29,-0.0230462888086
2010-12-30,-0.0263134631248
2010-12-31,-0.0341530423413
2011-01-03,-0.0541263484751
2011-01-04,-0.0733513604914
2011-01-05,-0.0861396085692
2011-01-06,-0.0922936078206
2011-01-07,-0.0913514244726
2011-01-10,-0.0966867241105
2011-01-11,-0.0936183275683
2011-01-12,-0.09553008676
