Date,adx
2010-01-04,
2010-01-05,4.211951168556641
2010-01-06,4.211951168556641
2010-01-07,3.8702194334046767
2010-01-08,3.75578027139165
2010-01-11,2.4420039926412236
2010-01-12,1.2565128036324356
2010-01-13,0.6309912356736923
2010-01-14,0.8280813162641207
2010-01-15,0.9734448317723494
2010-01-18,1.13906468600554
2010-01-19,0.600810715919439
2010-01-20,0.5332496193010295
2010-01-21,0.7233526087567566
2010-01-22,1.1554022393226808
2010-01-25,1.4620924057791922
2010-01-26,1.8483917174613014
2010-01-27,1.2878433636060567
2010-01-28,0.9547999682517324
2010-01-29,0.7419184737446712
2010-02-01,0.8665937371025106
2010-02-02,0.6262089838651239
2010-02-03,-0.044266872885940126
2010-02-04,-0.03819358664261753
2010-02-05,-0.033856821112547876
2010-02-08,-0.03075979245325276
2010-02-09,-0.30964327227130856
2010-02-10,-0.6155864590870959
2010-02-11,-0.8458727370755527
2010-02-12,-1.0715267756113913
2010-02-15,-1.2327018378475336
2010-02-16,-1.3161584406871234
2010-02-17,-1.133325675793876
2010-02-18,-0.7757990712199254
2010-02-19,-0.41537088410337814
2010-02-22,-0.008828363818731005
2010-02-23,-0.08697156781951224
2010-02-24,-0.23756736361736353
2010-02-25,-0.6839226362462837
2010-02-26,-1.002747218868592
2010-03-01,-0.8547762828222751
2010-03-02,-0.3916709262010355
2010-03-03,-0.0608816172012366
2010-03-04,0.20664268034647976
2010-03-05,0.4269560054257783
2010-03-08,0.7366251780286939
2010-03-09,0.5521406111848767
2010-03-10,0.6313526251496578
2010-03-11,0.7824358891001889
2010-03-12,0.9509140923462306
2010-03-15,1.0802286149658002
2010-03-16,1.1555910870910449
2010-03-17,1.2094214230212739
2010-03-18,0.42666906282536915
2010-03-19,0.1631943673221527
2010-03-22,0.1941787301006724
2010-03-23,-0.26386127231005896
2010-03-24,-0.5893059483407888
2010-03-25,-0.8404823711080875
2010-03-26,-0.6164268947152292
2010-03-28,-0.45638726898264137
2010-03-29,-0.6835439529810164
2010-03-30,-0.7356293765132227
2010-03-31,-0.61167738322997
2010-04-01,-0.3277373198692754
2010-04-04,-0.1249229889591591
2010-04-05,0.019944390230817677
2010-04-06,-0.251193929012314
2010-04-07,-0.670101855697813
2010-04-08,-0.9693218033065751
2010-04-11,-0.8509798812788769
2010-04-12,-0.5523392293410905
2010-04-13,-0.2503491567705505
2010-04-14,0.04704489683873097
2010-04-15,-0.15790443241651209
2010-04-18,-0.48576178561179445
2010-04-19,-0.5763878666936811
2010-04-20,-0.5668864120340276
2010-04-21,-0.7960457929644347
2010-04-22,-0.9597310650571336
2010-04-25,-1.0576291688869695
2010-04-26,-1.0639945554713213
2010-04-27,-0.9608791479213165
2010-04-28,-0.957573135225358
2010-04-29,-0.5275373699327804
2010-05-02,-0.4272058985609916
2010-05-03,-0.7728413105632134
2010-05-04,-0.5406268080398168
2010-05-05,0.05862992061548089
2010-05-06,0.6142462338041548
2010-05-09,0.48023073949108375
2010-05-10,-0.13110735583141386
2010-05-11,-0.5677774239188973
2010-05-12,-0.7401416824157151
2010-05-13,-0.7933442130748755
2010-05-16,-0.7975138609627754
2010-05-17,-0.8004921808827042
2010-05-18,-0.4528115114079015
2010-05-19,0.032256028427328096
2010-05-20,0.4081024586956537
2010-05-23,0.3366804976345018
2010-05-24,0.5735360448262723
2010-05-25,0.3786429567090861
2010-05-26,0.295140380190765
2010-05-27,-0.2826946454902703
2010-05-30,-0.4296820750469366
2010-05-31,-0.7412796914862502
2010-06-01,-0.8386823137323177
2010-06-02,-0.6630248031773341
2010-06-03,-0.8323483210195834
2010-06-06,-1.0181711943653784
2010-06-07,-1.1240551787256896
2010-06-08,-1.2036875703105727
2010-06-09,-1.223926189283358
2010-06-10,-0.823494881035956
2010-06-13,-0.5374725180020975
2010-06-14,-0.3770281189908542
2010-06-15,-0.046388944490435347
2010-06-16,0.1897818944384355
2010-06-17,0.39706869887300666
2010-06-20,0.6275386228726129
2010-06-21,0.7482711307566421
2010-06-22,0.10619861359655379
2010-06-23,-0.3394924268105983
2010-06-24,-0.5703236180173191
2010-06-27,-0.648681316033317
2010-06-28,-0.8015803894420681
2010-06-29,-0.889190437444975
2010-06-30,-0.9517690431613371
2010-07-01,-0.5628123086010299
2010-07-04,-0.11193984771457517
2010-07-05,0.17593163341264054
2010-07-06,0.1984446167994871
2010-07-07,0.3690739823059234
2010-07-08,0.5132387192504103
2010-07-11,0.6751520939495039
2010-07-12,0.7908045044488571
2010-07-13,0.9888363734941298
2010-07-14,0.7866209101244003
2010-07-15,0.32247219965837765
2010-07-18,-0.07791588033918942
2010-07-19,-0.5142987821918726
2010-07-20,-0.5274610081226928
2010-07-21,-0.631372157362004
2010-07-22,-0.2933966571441928
2010-07-25,-0.25784536247383283
2010-07-26,-0.0567260057705984
2010-07-27,0.055137937363958105
2010-07-28,0.1190601417876944
2010-07-29,0.37398847992727197
2010-08-01,0.6181672003270838
2010-08-02,0.5116600422518844
2010-08-03,0.4355835007695988
2010-08-04,0.5282658104949867
2010-08-05,0.4460624509105784
2010-08-08,0.38734576549314403
2010-08-09,0.594431689433466
2010-08-10,0.22593910665179529
2010-08-11,-0.3031318586643067
2010-08-12,-0.482626840800684
2010-08-15,-0.6108375423266674
2010-08-16,-0.20444199477240674
2010-08-17,0.1087621992263188
2010-08-18,-0.14615435460972165
2010-08-19,-0.374822423134097
2010-08-22,-0.5381567577943653
2010-08-23,-0.515868223807387
2010-08-24,-0.4999478423881166
2010-08-25,-0.8545216737049737
2010-08-26,-1.1336140014424119
