Date,open_2_sma
2010-01-04,1.693
2010-01-05,1.68215
2010-01-06,1.67555
2010-01-07,1.702
2010-01-08,1.7098
2010-01-11,1.68595
2010-01-12,1.68175
2010-01-13,1.69145
2010-01-14,1.70195
2010-01-15,1.70825
2010-01-18,1.71985
2010-01-19,1.7206
2010-01-20,1.71575
2010-01-21,1.731
2010-01-22,1.7465
2010-01-25,1.7857
2010-01-26,1.81625
2010-01-27,1.7998
2010-01-28,1.7962
2010-01-29,1.8132
2010-02-01,1.8464
2010-02-02,1.84015
2010-02-03,1.7947
2010-02-04,1.7867
2010-02-05,1.808
2010-02-08,1.829
2010-02-09,1.82645
2010-02-10,1.80845
2010-02-11,1.7985
2010-02-12,1.8015
2010-02-15,1.8075
2010-02-16,1.808
2010-02-17,1.79865
2010-02-18,1.78615
2010-02-19,1.776
2010-02-22,1.78315
2010-02-23,1.77725
2010-02-24,1.7682
2010-02-25,1.77425
2010-02-26,1.77365
2010-03-01,1.78065
2010-03-02,1.7663
2010-03-03,1.74405
2010-03-04,1.7412
2010-03-05,1.73915
2010-03-08,1.7558
2010-03-09,1.7789
2010-03-10,1.7547
2010-03-11,1.72175
2010-03-12,1.71635
2010-03-15,1.7143
2010-03-16,1.714
2010-03-17,1.7153
2010-03-18,1.7148
2010-03-19,1.7266
2010-03-22,1.7435
2010-03-23,1.74785
2010-03-24,1.738
2010-03-25,1.734
2010-03-26,1.75595
2010-03-28,1.7961
2010-03-29,1.8121
2010-03-30,1.77085
2010-03-31,1.73465
2010-04-01,1.724
2010-04-04,1.7178
2010-04-05,1.7178
2010-04-06,1.7111
2010-04-07,1.70845
2010-04-08,1.7213
2010-04-11,1.7224
2010-04-12,1.73595
2010-04-13,1.72835
2010-04-14,1.69725
2010-04-15,1.69705
2010-04-18,1.7274
2010-04-19,1.7303
2010-04-20,1.7036
2010-04-21,1.70235
2010-04-22,1.7084
2010-04-25,1.71005
2010-04-26,1.701
2010-04-27,1.7106
2010-04-28,1.7135
2010-04-29,1.69055
2010-05-02,1.6775
2010-05-03,1.6766
2010-05-04,1.69535
2010-05-05,1.729
2010-05-06,1.7746
2010-05-09,1.8122
2010-05-10,1.7706
2010-05-11,1.73035
2010-05-12,1.73265
2010-05-13,1.7249
2010-05-16,1.74005
2010-05-17,1.7533
2010-05-18,1.7604
2010-05-19,1.7739
2010-05-20,1.80455
2010-05-23,1.8159
2010-05-24,1.8097
2010-05-25,1.80675
2010-05-26,1.82485
2010-05-27,1.81
2010-05-30,1.78935
2010-05-31,1.8156
2010-06-01,1.8074
2010-06-02,1.78275
2010-06-03,1.79195
2010-06-06,1.80435
2010-06-07,1.8109
2010-06-08,1.81665
2010-06-09,1.80205
2010-06-10,1.7764
2010-06-13,1.7544
2010-06-14,1.7588
2010-06-15,1.7481
2010-06-16,1.7351
2010-06-17,1.73305
2010-06-20,1.72775
2010-06-21,1.7227
2010-06-22,1.72945
2010-06-23,1.7378
2010-06-24,1.76475
2010-06-27,1.78605
2010-06-28,1.7553
2010-06-29,1.74565
2010-06-30,1.7607
2010-07-01,1.7504
2010-07-04,1.7573
2010-07-05,1.7498
2010-07-06,1.7272
2010-07-07,1.72255
2010-07-08,1.7148
2010-07-11,1.71165
2010-07-12,1.7102
