Date,kdjk_9
2010-10-10,44.2835611718
2010-10-11,47.5087994539
2010-10-12,54.8848542014
2010-10-13,54.0485441244
2010-10-14,56.3421128376
2010-10-17,38.9552755437
2010-10-18,50.4737297951
2010-10-19,64.5356780194
2010-10-20,68.5911612328
2010-10-21,77.3593852663
2010-10-24,64.7265969148
2010-10-25,74.2386488254
2010-10-26,78.7738507206
2010-10-27,86.1712950054
2010-10-28,89.2101827086
2010-11-01,66.735619264
2010-11-02,72.8491637504
2010-11-03,74.0508737099
2010-11-04,70.3232884058
2010-11-05,65.4876344474
2010-11-08,63.7264501758
2010-11-09,68.3346402533
2010-11-10,72.5642448881
2010-11-11,78.6791935618
2010-11-12,86.0843397768
2010-11-15,74.0397085132
2010-11-16,79.6904092545
2010-11-17,85.7570379559
2010-11-18,86.7740277304
2010-11-19,80.7896390462
2010-11-22,62.32597045
2010-11-23,67.5910260355
2010-11-24,76.2462510339
2010-11-25,77.07653849
2010-11-26,74.8379672407
2010-11-29,79.4022874388
2010-11-30,78.2736116801
2010-12-01,76.3919832158
2010-12-02,72.1706420431
2010-12-03,68.9705821062
2010-12-06,46.4470547374
2010-12-07,48.0867432312
2010-12-08,47.8744651292
2010-12-09,52.997051525
2010-12-10,61.937182423
2010-12-13,70.2816829617
2010-12-14,71.5015780005
2010-12-15,72.3148413598
2010-12-16,74.9923770484
2010-12-17,78.7317982349
2010-12-20,65.8996301958
2010-12-21,72.775919267
2010-12-22,74.1408622778
2010-12-23,76.5136251203
2010-12-24,74.8255792651
2010-12-27,73.2829662144
2010-12-28,70.4651095848
2010-12-29,70.8612541589
2010-12-30,67.2880059172
2010-12-31,61.0629327747
2011-01-03,42.903562326
2011-01-04,44.5944775494
2011-01-05,54.7836473799
2011-01-06,64.2762112842
2011-01-07,74.5968392689
2011-01-10,62.8688921471
2011-01-11,73.743482256
2011-01-12,64.4313641315
2011-01-13,52.3183238165
2011-01-14,59.72164984
2011-01-17,54.5927583498
2011-01-18,64.4479775137
2011-01-19,66.0204810016
2011-01-20,66.5148162512
2011-01-21,51.0692246818
2011-01-24,32.8792294429
2011-01-25,46.8063641233
2011-01-26,54.6833779927
2011-01-27,37.0508234237
2011-01-28,53.9533311431
2011-01-31,44.6821599718
2011-02-01,55.0911369509
2011-02-02,61.7038174573
2011-02-03,64.9319122992
2011-02-04,69.7751936575
2011-02-07,52.1353037981
2011-02-08,42.1223082922
2011-02-09,52.7274312127
2011-02-10,58.8358313348
2011-02-11,65.6726245551
2011-02-14,46.159164265
2011-02-15,58.410220456
2011-02-16,67.6177101208
2011-02-17,73.9541544441
2011-02-18,75.4895996447
2011-02-21,52.2994008015
2011-02-22,64.3574406174
2011-02-23,73.998293745
2011-02-24,81.2494071589
2011-02-25,81.5627856005
2011-02-28,80.3011163263
2011-03-01,78.8064087055
2011-03-02,77.0474097253
2011-03-03,74.0316064835
2011-03-04,69.5134048902
2011-03-07,61.0498224538
2011-03-08,59.7870185653
2011-03-09,54.4726269915
2011-03-10,59.6027558939
2011-03-11,67.1861509881
2011-03-14,65.9568002785
2011-03-15,67.4518631691
2011-03-16,66.8831942306
2011-03-17,78.2904536123
2011-03-18,88.0292032125
2011-03-21,80.4019531694
2011-03-22,71.2835004403
2011-03-23,54.729540834
2011-03-24,47.4636028586
2011-03-25,41.0951382241
2011-03-27,27.3967588161
2011-03-28,30.8266949321
2011-03-29,41.021136139
2011-03-30,34.4351433909
2011-03-31,38.4121886172
2011-04-03,34.0297092042
2011-04-04,27.6789085063
2011-04-05,24.3527569568
2011-04-06,28.0378453479
2011-04-07,28.1357583886
2011-04-10,21.3243603858
2011-04-11,21.0168584952
2011-04-12,28.1700686729
2011-04-13,36.1902068724
2011-04-14,24.1268045816
2011-04-17,19.3620817155
2011-04-18,30.4115412273
2011-04-19,37.3819445925
2011-04-20,33.9726453941
2011-04-21,31.6997792619
2011-04-24,23.4830556263
2011-04-25,29.9286515315
2011-04-26,28.0521228279
2011-04-27,28.3587360909
2011-04-28,47.3762042551
2011-05-01,39.7185305114
2011-05-02,45.3819739274
2011-05-03,51.8727722623
2011-05-04,59.8298640479
2011-05-05,75.0552268256
2011-05-08,71.0674585522
2011-05-09,75.2949723682
2011-05-10,73.2526569458
2011-05-11,78.0558838513
2011-05-12,73.377345991
2011-05-15,81.0128252552
2011-05-16,81.3742790704
2011-05-17,70.7030573172
2011-05-18,57.8770595243
2011-05-19,53.2479629565
2011-05-22,46.2403299506
2011-05-23,63.6880764354
2011-05-24,67.0101812686
2011-05-25,67.9292681325
2011-05-26,67.1954119319
2011-05-29,48.1724687141
2011-05-30,41.2609846524
2011-05-31,31.623788965
2011-06-01,31.8756986674
2011-06-02,34.6570591849
2011-06-05,33.6969612485
2011-06-06,37.6795072667
2011-06-07,41.5138586138
2011-06-08,52.9246619614
2011-06-09,63.1112991419
2011-06-12,74.6815799482
2011-06-13,78.8863285559
2011-06-14,75.7003835866
2011-06-15,75.7765615941
2011-06-16,80.7277238845
2011-06-19,67.7147007075
2011-06-20,62.7332833213
2011-06-21,52.1800043234
2011-06-22,44.6736751987
2011-06-23,42.9651243321
2011-06-26,41.3552806282
