Date,cr
2010-10-11,62.3381844496
2010-10-12,58.8600429436
2010-10-13,57.1729876903
2010-10-14,59.144571318
2010-10-17,60.8587526715
2010-10-18,68.9858207162
2010-10-19,67.3662830061
2010-10-20,67.671167782
2010-10-21,68.4006026485
2010-10-24,72.298943948
2010-10-25,74.3540630858
2010-10-26,70.1935585603
2010-10-27,75.2499590231
2010-10-28,72.3422261627
2010-11-01,67.9455590754
2010-11-02,73.6074539194
2010-11-03,70.298055467
2010-11-04,67.6206597906
2010-11-05,66.7496692864
2010-11-08,72.7738705448
2010-11-09,75.8067781512
2010-11-10,72.2776947873
2010-11-11,79.6599703606
2010-11-12,79.0794807747
2010-11-15,78.6408164938
2010-11-16,87.4951904579
2010-11-17,87.0217938329
2010-11-18,84.8192668734
2010-11-19,84.1492335055
2010-11-22,83.747149734
2010-11-23,87.988778593
2010-11-24,80.9880619761
2010-11-25,78.178415471
2010-11-26,79.0533736153
2010-11-29,76.7515923567
2010-11-30,72.9572690958
2010-12-01,68.228960494
2010-12-02,64.578529837
2010-12-03,60.8276859819
2010-12-06,60.8718847649
2010-12-07,63.1479189231
2010-12-08,61.4218405654
2010-12-09,64.2269579523
2010-12-10,70.6771964462
2010-12-13,72.554304103
2010-12-14,67.3967088907
2010-12-15,65.3289780681
2010-12-16,65.7580651515
2010-12-17,64.1533771107
2010-12-20,64.1389336372
2010-12-21,65.4339113527
2010-12-22,59.3509329859
2010-12-23,56.9397835677
2010-12-24,57.1613640693
2010-12-27,60.9497645212
2010-12-28,59.1538880673
2010-12-29,54.8342699851
2010-12-30,51.3035694305
2010-12-31,51.121632285
2011-01-03,51.0187820148
2011-01-04,52.6749127333
2011-01-05,56.2672149591
2011-01-06,60.8776145271
2011-01-07,63.9908532916
2011-01-10,66.0746720484
2011-01-11,72.2967871823
2011-01-12,69.3632524634
2011-01-13,68.3390645068
2011-01-14,70.5951383068
2011-01-17,68.3704073982
2011-01-18,70.4038526529
2011-01-19,71.0415335463
2011-01-20,70.1615981677
2011-01-21,67.7218626018
2011-01-24,70.6383160777
2011-01-25,72.3687613137
2011-01-26,70.343857855
2011-01-27,72.4860877443
2011-01-28,78.0139326441
2011-01-31,82.490412813
2011-02-01,79.5254598774
2011-02-02,80.2723510302
2011-02-03,80.2924883669
2011-02-04,84.6289353629
2011-02-07,89.0433510152
2011-02-08,91.9402846247
2011-02-09,89.8552074119
2011-02-10,87.2034014538
2011-02-11,84.8886459899
2011-02-14,82.2493953238
2011-02-15,86.1830264433
2011-02-16,82.1428571429
2011-02-17,84.7176535088
2011-02-18,83.074575967
2011-02-21,77.9854666433
2011-02-22,80.2362622777
2011-02-23,78.7042278051
2011-02-24,81.6292234212
2011-02-25,85.3145235893
2011-02-28,85.6105484426
2011-03-01,83.1120007812
2011-03-02,80.9235238143
2011-03-03,81.7784711388
2011-03-04,81.6643311415
2011-03-07,76.7996934363
2011-03-08,77.2314545143
2011-03-09,77.623621487
2011-03-10,82.3267924049
2011-03-11,84.8126898414
2011-03-14,86.4997121474
2011-03-15,89.2526203858
2011-03-16,82.4232212606
2011-03-17,85.5582025795
2011-03-18,87.9661771251
2011-03-21,83.3516685002
2011-03-22,88.791611524
2011-03-23,80.3377814846
2011-03-24,80.8943089431
2011-03-25,80.6411988699
2011-03-27,87.7930936479
2011-03-28,95.0150552024
2011-03-29,70.2554744526
2011-03-30,65.4852869452
2011-03-31,56.0520816589
2011-04-03,45.4559155991
2011-04-04,46.4035355075
2011-04-05,44.1015798022
2011-04-06,43.8478747204
2011-04-07,38.7974761846
2011-04-10,38.1044957473
2011-04-11,41.9319562576
2011-04-12,44.1740589787
2011-04-13,45.1096836747
2011-04-14,41.0980487214
2011-04-17,37.8499575809
2011-04-18,37.7638403088
2011-04-19,30.0609343263
2011-04-20,29.4955156951
2011-04-21,25.4951584507
2011-04-24,23.4618358555
2011-04-25,27.2695243688
2011-04-26,26.1199095023
2011-04-27,36.9073837951
2011-04-28,39.0454284071
2011-05-01,38.0990143877
2011-05-02,45.4157536616
2011-05-03,49.965854769
2011-05-04,68.7459557396
2011-05-05,74.6524497233
2011-05-08,83.4555124335
2011-05-09,88.2899071578
2011-05-10,89.216982518
2011-05-11,101.589484946
2011-05-12,108.397065709
2011-05-15,140.868234844
2011-05-16,154.944375773
2011-05-17,127.147267115
2011-05-18,111.637784574
2011-05-19,120.704300124
2011-05-22,132.31286498
2011-05-23,134.689989609
2011-05-24,126.274575142
2011-05-25,138.471314452
2011-05-26,126.316661146
2011-05-29,117.077302125
2011-05-30,111.58867537
2011-05-31,101.146757679
2011-06-01,111.368209256
2011-06-02,82.7196149218
2011-06-05,88.3420333085
2011-06-06,85.1208189501
2011-06-07,81.8950124985
2011-06-08,76.6999524489
2011-06-09,70.3917186213
2011-06-12,72.4495955572
2011-06-13,68.4599539561
2011-06-14,69.137579465
2011-06-15,80.472854641
2011-06-16,69.9556408105
2011-06-19,66.4253830378
2011-06-20,59.0877677954
2011-06-21,56.6370673953
2011-06-22,62.8827942443
2011-06-23,69.4429984383
2011-06-26,70.20999087
2011-06-27,57.5901559454
2011-06-28,50.3927148549
2011-06-29,49.0580673759
2011-06-30,47.5203472599
2011-07-03,51.4389756842
2011-07-04,58.4360602665
2011-07-05,68.4615384615
2011-07-06,70.7040733747
2011-07-07,62.4616171955
2011-07-10,83.7601776462
2011-07-11,85.5514433753
2011-07-12,89.5517774343
2011-07-13,78.9661850142
2011-07-14,80.357413297
2011-07-17,77.1898085331
2011-07-18,72.3448378018
2011-07-19,74.1235392321
2011-07-20,69.1084695394
2011-07-21,53.5678819691
2011-07-24,53.5843793584
2011-07-25,48.0368906456
2011-07-26,61.8385160938
2011-07-27,73.6976217441
2011-07-28,71.81199092
2011-07-31,64.9039065444
2011-08-01,68.1220540809
2011-08-02,75.6352567496
2011-08-03,85.2033183735
2011-08-04,106.105077781
2011-08-07,119.288728149
2011-08-08,152.90292615
2011-08-09,133.319705642
2011-08-10,136.331425457
2011-08-11,130.630512044
2011-08-14,123.568392098
2011-08-15,105.344129555
2011-08-16,94.9900243848
2011-08-17,108.139804923
2011-08-18,113.162554598
2011-08-21,107.832957111
2011-08-22,109.08781484
2011-08-23,110.438746439
2011-08-24,119.835969537
2011-08-25,125.161909331
2011-08-28,123.022515619
2011-08-29,122.158086936
2011-08-30,130.802309866
2011-08-31,126.924022621
2011-09-01,135.640521269
2011-09-04,155.895706317
2011-09-05,174.927636113
2011-09-06,170.960515262
2011-09-07,164.004361456
2011-09-08,179.619883041
2011-09-11,181.549707602
2011-09-12,194.228432564
2011-09-13,176.065276519
2011-09-14,183.925985519
2011-09-15,170.140586797
2011-09-18,229.629002202
2011-09-19,301.577287066
2011-09-20,374.139065585
2011-09-21,455.640698169
2011-09-22,478.927203065
2011-09-25,327.541998232
2011-09-26,278.945366967
2011-09-27,254.664003759
2011-09-28,272.700871249
2011-09-29,277.171959257
2011-10-02,301.055085266
2011-10-03,332.314296865
2011-10-04,285.00502064
2011-10-05,251.457856503
2011-10-06,204.545831605
2011-10-09,173.592363338
2011-10-10,167.005300353
2011-10-11,165.261531671
2011-10-12,161.817406143
2011-10-13,151.383056722
2011-10-16,146.415911776
2011-10-17,148.240777209
2011-10-18,134.258450792
2011-10-19,137.68125
2011-10-20,142.259228772
2011-10-23,134.895896749
2011-10-24,113.659660236
2011-10-25,106.092760568
2011-10-26,91.5348230305
2011-10-27,63.2533794085
2011-10-31,50.887345679
2011-11-01,69.0607139006
2011-11-02,80.3925024972
2011-11-03,81.1308581148
2011-11-04,80.2270742358
2011-11-07,77.531701046
2011-11-08,66.2699761986
2011-11-09,61.4336165986
2011-11-10,75.1282677742
2011-11-11,78.8006919085
2011-11-14,90.3412749517
2011-11-15,105.268161293
2011-11-16,106.474935733
2011-11-17,103.796172324
2011-11-18,104.515250981
2011-11-21,126.081964317
2011-11-22,131.503020467
2011-11-23,133.612839239
2011-11-24,160.859003012
2011-11-25,161.636381304
2011-11-28,146.96969697
2011-11-29,141.926444834
2011-11-30,134.428133035
2011-12-01,117.806461353
2011-12-02,120.322257343
2011-12-05,135.167112877
2011-12-06,146.698679472
2011-12-07,130.348762308
2011-12-08,125.044626919
2011-12-09,136.948356808
2011-12-12,130.611875453
2011-12-13,136.225832804
2011-12-14,156.247615414
2011-12-15,157.023763894
2011-12-16,133.766918615
2011-12-19,140.908680336
2011-12-20,141.438108986
2011-12-21,130.105390463
2011-12-22,127.776341863
2011-12-23,121.598469727
2011-12-26,124.253255042
2011-12-27,108.307766834
2011-12-28,109.599547877
2011-12-29,101.035978156
2011-12-30,81.5304818462
2012-01-02,72.704271469
2012-01-03,75.1212488633
2012-01-04,75.0927960003
2012-01-05,88.1916329285
2012-01-06,106.980287592
2012-01-09,118.90337817
2012-01-10,105.236270754
2012-01-11,98.9666345564
2012-01-12,89.7028219429
2012-01-13,82.3941978162
2012-01-16,77.1066070859
2012-01-17,70.8026305364
2012-01-18,62.3272783729
2012-01-19,48.9308176101
2012-01-20,47.571201934
2012-01-23,51.1856155779
2012-01-24,50.8580094182
2012-01-25,48.5657051282
2012-01-26,48.4729219144
2012-01-27,43.4531499354
2012-01-30,40.3261027806
2012-01-31,38.5888873099
2012-02-01,41.1653726145
2012-02-02,33.3287110865
2012-02-03,30.6912629232
2012-02-06,33.1800445931
2012-02-07,33.1140197382
2012-02-08,33.1921419703
2012-02-09,36.350148368
2012-02-10,35.0703450444
2012-02-13,30.0760543904
2012-02-14,27.7380677888
2012-02-15,33.6724047992
2012-02-16,41.370960231
2012-02-17,41.0750695088
2012-02-20,43.5931041436
2012-02-21,47.4141455437
2012-02-22,48.8778843115
2012-02-23,44.1645505333
2012-02-24,50.518246599
2012-02-27,51.5138501181
2012-02-28,49.4856408058
2012-02-29,51.1925658234
2012-03-01,60.1605728545
2012-03-02,65.4431103488
2012-03-05,78.3993219518
2012-03-06,105.429929425
2012-03-07,104.553275976
2012-03-08,118.036877859
2012-03-09,131.547969394
2012-03-12,159.568775574
2012-03-13,179.636727212
2012-03-14,171.995624316
2012-03-15,172.66521874
2012-03-16,169.952837365
2012-03-19,175.237354086
2012-03-20,194.503343663
2012-03-21,187.015384615
2012-03-22,193.778404639
2012-03-23,173.426573427
2012-03-25,175.366101203
2012-03-26,178.327816952
2012-03-27,169.136482578
2012-03-28,177.602217602
2012-03-29,182.062780269
2012-04-01,185.309060119
2012-04-02,180.760193504
2012-04-03,183.095723014
2012-04-04,175.781671159
2012-04-05,168.978987069
2012-04-08,171.22569971
2012-04-09,148.679151681
2012-04-10,144.96669134
2012-04-11,149.806846943
2012-04-12,130.287398674
2012-04-15,134.858199753
2012-04-16,119.211703542
2012-04-17,119.671732523
2012-04-18,132.293412402
2012-04-19,134.935400517
2012-04-22,135.412449393
2012-04-23,131.637868094
2012-04-24,122.345502267
2012-04-25,123.831436183
2012-04-26,117.759850345
2012-04-29,123.427486352
2012-04-30,142.423456149
