Date,open_2_sma
2010-01-04,-1.10661991456
2010-01-05,-1.1215449604
2010-01-06,-1.13062379012
2010-01-07,-1.09423969221
2010-01-08,-1.08351016617
2010-01-11,-1.11631775541
2010-01-12,-1.1220951925
2010-01-13,-1.10875206397
2010-01-14,-1.09430847123
2010-01-15,-1.08564231558
2010-01-18,-1.06968558455
2010-01-19,-1.06865389935
2010-01-20,-1.07532546362
2010-01-21,-1.05434786464
2010-01-22,-1.03302637059
2010-01-25,-0.979103624347
2010-01-26,-0.937079647366
2010-01-27,-0.959707942664
2010-01-28,-0.964660031604
2010-01-29,-0.941275167163
2010-02-01,-0.89560590249
2010-02-02,-0.904203279123
2010-02-03,-0.966723401996
2010-02-04,-0.977728044086
2010-02-05,-0.948428184522
2010-02-08,-0.919540999036
2010-02-09,-0.923048728702
2010-02-10,-0.947809173404
2010-02-11,-0.961496197003
2010-02-12,-0.95736945622
2010-02-15,-0.949115974652
2010-02-16,-0.948428184522
2010-02-17,-0.961289859964
2010-02-18,-0.97848461323
2010-02-19,-0.992446752881
2010-02-22,-0.982611354013
2010-02-23,-0.990727277555
2010-02-24,-1.00317627892
2010-02-25,-0.994854018338
2010-02-26,-0.995679366495
2010-03-01,-0.986050304666
2010-03-02,-1.00578988142
2010-03-03,-1.03639654223
2010-03-04,-1.04031694597
2010-03-05,-1.04313688551
2010-03-08,-1.02023347416
2010-03-09,-0.988457570124
2010-03-10,-1.02174661245
2010-03-11,-1.06707198205
2010-03-12,-1.07450011546
2010-03-15,-1.077320055
2010-03-16,-1.07773272908
2010-03-17,-1.07594447474
2010-03-18,-1.07663226487
2010-03-19,-1.06040041779
2010-03-22,-1.03715311137
2010-03-23,-1.03116933723
2010-03-24,-1.04471880281
2010-03-25,-1.05022112385
2010-03-26,-1.02002713712
2010-03-28,-0.96479758963
2010-03-29,-0.942788305451
2010-03-30,-0.999530991226
2010-03-31,-1.04932699668
2010-04-01,-1.06397692647
2010-04-04,-1.07250552408
2010-04-05,-1.07250552408
2010-04-06,-1.08172191184
2010-04-07,-1.08536719953
2010-04-08,-1.06769099317
2010-04-11,-1.06617785488
2010-04-12,-1.04753874234
2010-04-13,-1.05799315233
2010-04-14,-1.10077369845
2010-04-15,-1.10104881451
2010-04-18,-1.05929995358
2010-04-19,-1.05531077082
2010-04-20,-1.09203876379
2010-04-21,-1.09375823912
2010-04-22,-1.08543597854
2010-04-25,-1.08316627111
2010-04-26,-1.09561527247
2010-04-27,-1.08240970197
2010-04-28,-1.07842051921
2010-04-29,-1.1099900862
2010-05-02,-1.12794140861
2010-05-03,-1.12917943085
2010-05-04,-1.10338730095
2010-05-05,-1.05709902516
2010-05-06,-0.994372565247
2010-05-09,-0.942650747424
2010-05-10,-0.999874886292
2010-05-11,-1.05524199181
2010-05-12,-1.05207815721
2010-05-13,-1.06273890423
2010-05-16,-1.04189886327
2010-05-17,-1.02367242481
2010-05-18,-1.01390580496
2010-05-19,-0.99533547143
2010-05-20,-0.953173936423
2010-05-23,-0.937561100458
2010-05-24,-0.946089698078
2010-05-25,-0.950147659848
2010-05-26,-0.92524965712
2010-05-27,-0.945677023999
2010-05-30,-0.974082756394
2010-05-31,-0.937973774536
2010-06-01,-0.949253532678
2010-06-02,-0.983161586118
2010-06-03,-0.970506247714
2010-06-06,-0.953449052475
2010-06-07,-0.944439001764
2010-06-08,-0.936529415262
2010-06-09,-0.956612887076
2010-06-10,-0.991896520777
2010-06-13,-1.02215928652
2010-06-14,-1.01610673337
2010-06-15,-1.03082544217
2010-06-16,-1.04870798557
2010-06-17,-1.0515279251
2010-06-20,-1.05881850049
2010-06-21,-1.0657651808
2010-06-22,-1.05648001404
2010-06-23,-1.04499391886
2010-06-24,-1.00792203082
2010-06-27,-0.978622171256
2010-06-28,-1.02092126429
2010-06-29,-1.03419561381
2010-06-30,-1.01349313088
2010-07-01,-1.02766160757
2010-07-04,-1.01817010377
2010-07-05,-1.02848695573
2010-07-06,-1.05957506963
2010-07-07,-1.06597151784
2010-07-08,-1.07663226487
2010-07-11,-1.08096534269
2010-07-12,-1.08295993407
2010-07-13,-1.087843244
2010-07-14,-1.08633010571
2010-07-15,-1.08089656368
2010-07-18,-1.03302637059
2010-07-19,-1.01094830739
