Date,close_20_sma
2010-01-04,1.719
2010-01-05,1.728
2010-01-06,1.72916666667
2010-01-07,1.7316
2010-01-08,1.73168
2010-01-11,1.73156666667
2010-01-12,1.73238571429
2010-01-13,1.734075
2010-01-14,1.73741111111
2010-01-15,1.74011
2010-01-18,1.74221818182
2010-01-19,1.74488333333
2010-01-20,1.74831538462
2010-01-21,1.75206428571
2010-01-22,1.75651333333
2010-01-25,1.7582
2010-01-26,1.76263529412
2010-01-27,1.76746666667
2010-01-28,1.77275789474
2010-01-29,1.777765
2010-02-01,1.784935
2010-02-02,1.789605
2010-02-03,1.79553
2010-02-04,1.802605
2010-02-05,1.81014
2010-02-08,1.817165
2010-02-09,1.82245
2010-02-10,1.827685
2010-02-11,1.832055
2010-02-12,1.83676
2010-02-15,1.841165
2010-02-16,1.84458
2010-02-17,1.846755
2010-02-18,1.847665
2010-02-19,1.8469
2010-02-22,1.848125
2010-02-23,1.847425
2010-02-24,1.845875
2010-02-25,1.844275
2010-02-26,1.84093
2010-03-01,1.83771
2010-03-02,1.832815
2010-03-03,1.829715
2010-03-04,1.82512
2010-03-05,1.819885
2010-03-08,1.815545
2010-03-09,1.812445
2010-03-10,1.808315
2010-03-11,1.80419
2010-03-12,1.799315
2010-03-15,1.794815
2010-03-16,1.791
2010-03-17,1.78745
2010-03-18,1.78505
2010-03-19,1.784625
2010-03-22,1.784175
2010-03-23,1.782225
2010-03-24,1.78096
2010-03-25,1.77911
2010-03-26,1.77996
2010-03-28,1.780485
2010-03-29,1.78355
2010-03-30,1.783175
2010-03-31,1.78202
2010-04-01,1.78137
2010-04-04,1.78016
2010-04-05,1.77876
2010-04-06,1.77921
2010-04-07,1.77941
2010-04-08,1.77991
2010-04-11,1.77965
2010-04-12,1.777015
2010-04-13,1.776215
2010-04-14,1.775165
2010-04-15,1.773225
2010-04-18,1.77129
2010-04-19,1.769885
2010-04-20,1.76762
2010-04-21,1.765845
2010-04-22,1.762835
2010-04-25,1.75961
2010-04-26,1.75817
2010-04-27,1.75705
2010-04-28,1.75533
2010-04-29,1.753515
2010-05-02,1.75204
2010-05-03,1.751855
2010-05-04,1.751995
2010-05-05,1.75505
2010-05-06,1.758975
2010-05-09,1.75991
2010-05-10,1.76301
2010-05-11,1.764385
2010-05-12,1.765385
2010-05-13,1.7677
2010-05-16,1.76985
2010-05-17,1.773025
2010-05-18,1.77711
2010-05-19,1.783175
2010-05-20,1.787375
2010-05-23,1.793285
2010-05-24,1.79846
2010-05-25,1.803705
2010-05-26,1.807955
2010-05-27,1.812235
2010-05-30,1.816405
2010-05-31,1.82064
2010-06-01,1.8232
2010-06-02,1.822465
2010-06-03,1.821935
2010-06-06,1.82689
2010-06-07,1.831115
2010-06-08,1.83454
2010-06-09,1.836655
2010-06-10,1.83711
2010-06-13,1.83703
2010-06-14,1.83546
2010-06-15,1.833315
2010-06-16,1.828345
2010-06-17,1.82462
2010-06-20,1.81969
2010-06-21,1.81461
2010-06-22,1.811515
2010-06-23,1.80964
2010-06-24,1.807925
2010-06-27,1.806305
2010-06-28,1.804995
2010-06-29,1.80299
