Date,trix_9_sma
2010-01-04,
2010-01-05,0.8335791377216418
2010-01-06,0.6305308647888486
2010-01-07,0.526855128388521
2010-01-08,0.44508912019243546
2010-01-11,0.3764274399209638
2010-01-12,0.32264141112948624
2010-01-13,0.28428108349152903
2010-01-14,0.26369220677025507
2010-01-15,0.25623363101433255
2010-01-18,0.19277005119049476
2010-01-19,0.18253782342140998
2010-01-20,0.19486999691067908
2010-01-21,0.23312973063033673
2010-01-22,0.297840756965683
2010-01-25,0.3765019899465903
2010-01-26,0.4678384904430496
2010-01-27,0.5680607688553215
2010-01-28,0.6790323943231887
2010-01-29,0.8023952587488125
2010-02-01,0.9336151781182457
2010-02-02,1.0609473370219809
2010-02-03,1.1787873624598415
2010-02-04,1.2858451766751537
2010-02-05,1.3891884658759346
2010-02-08,1.4818430793276458
2010-02-09,1.5533534569595115
2010-02-10,1.597095878865335
2010-02-11,1.6105280229531913
2010-02-12,1.5971297659894848
2010-02-15,1.565008122456203
2010-02-16,1.515846684311756
2010-02-17,1.445826581697676
2010-02-18,1.352021472178273
2010-02-19,1.2341412864770742
2010-02-22,1.0990328943164043
2010-02-23,0.9529010968879447
2010-02-24,0.8004227547021563
2010-02-25,0.6468343399173663
2010-02-26,0.49265429148600204
2010-03-01,0.33894044219229935
2010-03-02,0.17880016088820777
2010-03-03,0.019041086829920974
2010-03-04,-0.13338834665324065
2010-03-05,-0.276412732273737
2010-03-08,-0.40959974943344696
2010-03-09,-0.5332270509146819
2010-03-10,-0.6520156852827063
2010-03-11,-0.76423801333659
2010-03-12,-0.8688793118588927
2010-03-15,-0.9559596924197448
2010-03-16,-1.0275366327268456
2010-03-17,-1.0862578193937082
2010-03-18,-1.1315070452191365
2010-03-19,-1.1610585804211162
2010-03-22,-1.173311024161268
2010-03-23,-1.1691372736832153
2010-03-24,-1.148399012554835
2010-03-25,-1.1101315327949086
2010-03-26,-1.0515247160001846
2010-03-28,-0.9751828792809152
2010-03-29,-0.8856303163801246
2010-03-30,-0.7900317428818909
2010-03-31,-0.6991776877867519
2010-04-01,-0.6202975050113652
2010-04-04,-0.5552868651837671
2010-04-05,-0.5076104533540852
2010-04-06,-0.47575759252283195
2010-04-07,-0.4620330904719859
2010-04-08,-0.4649083567979077
2010-04-11,-0.48241134101468136
2010-04-12,-0.5166867208578318
2010-04-13,-0.5608528232413693
2010-04-14,-0.609306977987335
2010-04-15,-0.6566330979167501
2010-04-18,-0.6977403119931593
2010-04-19,-0.734462742298822
2010-04-20,-0.7681362087061614
2010-04-21,-0.7970541563299067
2010-04-22,-0.8183008727638557
2010-04-25,-0.8270166320611884
2010-04-26,-0.8226784110314072
2010-04-27,-0.8074187744454431
2010-04-28,-0.7882194291221609
2010-04-29,-0.7705862471009111
2010-05-02,-0.7563336944714015
2010-05-03,-0.7430094075199075
2010-05-04,-0.7268592629253838
2010-05-05,-0.6976324961528378
2010-05-06,-0.644953177318059
2010-05-09,-0.5784754339455943
2010-05-10,-0.5040721302281174
2010-05-11,-0.4223530535961285
2010-05-12,-0.334624881493298
2010-05-13,-0.23786970074788555
2010-05-16,-0.13379618539039426
2010-05-17,-0.02695263996402614
2010-05-18,0.07324802639921146
2010-05-19,0.16701114987654492
2010-05-20,0.259971942148802
2010-05-23,0.3574282758598269
2010-05-24,0.46314010287162166
2010-05-25,0.5781378153389458
2010-05-26,0.6902243544264834
2010-05-27,0.7914503718277065
2010-05-30,0.8754815661859185
2010-05-31,0.9401385444118842
2010-06-01,0.9764908718884924
2010-06-02,0.9848066206200022
2010-06-03,0.9676095943464705
2010-06-06,0.9323318051883565
2010-06-07,0.8835532272473885
2010-06-08,0.8294251563444923
2010-06-09,0.7713481192134674
2010-06-10,0.7105130694925048
2010-06-13,0.6437301388848214
2010-06-14,0.5676733177373811
2010-06-15,0.48321630217081696
2010-06-16,0.38867772085139346
2010-06-17,0.2770297675650708
2010-06-20,0.14631101649725398
2010-06-21,0.00011069502403442359
2010-06-22,-0.14865524467309757
2010-06-23,-0.29464612495791903
2010-06-24,-0.43264808993546044
2010-06-27,-0.5567703911284142
2010-06-28,-0.6604706223275206
2010-06-29,-0.7429491652803688
2010-06-30,-0.8017160722263567
2010-07-01,-0.838837609005246
2010-07-04,-0.8574372725125121
2010-07-05,-0.866378676038199
2010-07-06,-0.8686446720575334
2010-07-07,-0.8661936222132899
2010-07-08,-0.8625472787282475
2010-07-11,-0.8631482061227123
2010-07-12,-0.8691722832408665
2010-07-13,-0.8806705911484822
2010-07-14,-0.8931555619795685
2010-07-15,-0.9017813332996157
2010-07-18,-0.9023362770122523
2010-07-19,-0.8943268971161856
2010-07-20,-0.8788409648289406
2010-07-21,-0.8569778917937801
2010-07-22,-0.8303657664795736
2010-07-25,-0.7990487043366081
2010-07-26,-0.7656481681755938
2010-07-27,-0.7323579475046508
2010-07-28,-0.7021045576519099
2010-07-29,-0.6780615421110923
2010-08-01,-0.6623082990364751
2010-08-02,-0.6537026632720838
2010-08-03,-0.6494800831685551
2010-08-04,-0.6479065511576805
2010-08-05,-0.648385986206879
2010-08-08,-0.6565301040604823
2010-08-09,-0.6690106084136263
2010-08-10,-0.6825194890006856
2010-08-11,-0.6927367887018967
2010-08-12,-0.6952129459611607
2010-08-15,-0.6959397985757408
2010-08-16,-0.6936853076084991
2010-08-17,-0.688868051185435
2010-08-18,-0.6819055494378479
2010-08-19,-0.6646212345274445
2010-08-22,-0.6463653932788176
2010-08-23,-0.6270289587356893
2010-08-24,-0.6080098698358631
2010-08-25,-0.5892967843271486
