Date,kdjj_9
2010-01-01,11.111111111111114
2010-01-04,442.8413488114606
2010-01-05,312.568282016281
2010-01-06,262.2952061996206
2010-01-07,152.19247769712285
2010-01-08,144.47280097186058
2010-01-11,137.33755089359795
2010-01-12,104.7898151106163
2010-01-13,64.13660823494888
2010-01-14,45.423136369607676
2010-01-15,-0.1252075241241073
2010-01-18,-34.54171554637668
2010-01-19,-25.3688678170588
2010-01-20,-5.592260897707376
2010-01-21,-21.209389333877567
2010-01-22,6.143684495460263
2010-01-25,65.1878579973741
2010-01-26,95.8065156123483
2010-01-27,72.47092579293685
2010-01-28,50.61198183169853
2010-01-29,-46.187782380551106
2010-02-01,-31.752740192576702
2010-02-02,-54.39196886707724
2010-02-03,-48.80565430294942
2010-02-04,-40.8631941605435
2010-02-05,-15.820645153140322
2010-02-08,-8.576768107905824
2010-02-09,23.31670375389613
2010-02-10,25.056033939730685
2010-02-11,48.82121945791573
2010-02-12,79.22865643205967
2010-02-15,81.1797952268437
2010-02-16,241.29869005631215
2010-02-17,195.48358777546014
2010-02-18,123.77614641149262
2010-02-19,76.1507498646092
2010-02-22,84.6768001131438
2010-02-23,120.20263407040125
2010-02-24,133.13730765753783
2010-02-25,124.24024181378104
2010-02-26,118.42756283175783
2010-03-01,52.85056473315882
2010-03-02,15.263503320987809
2010-03-03,-12.828447669016697
2010-03-04,-38.263009783412755
2010-03-05,-14.320995890602319
2010-03-08,-1.0443274072013367
2010-03-09,40.39637618738311
2010-03-10,47.06251219174449
2010-03-11,50.03148627500208
2010-03-12,30.853489076426357
2010-03-15,11.760825688319628
2010-03-16,5.512121664066207
2010-03-17,5.414928385664233
2010-03-18,13.747737546971365
2010-03-19,19.669266072431327
2010-03-22,40.14392019553941
2010-03-23,44.04015250495701
2010-03-24,61.64047958501469
2010-03-25,45.55226723835432
2010-03-26,13.245734584369302
2010-03-28,94.65182397738684
2010-03-29,110.33918459312625
2010-03-30,58.257440024581356
2010-03-31,18.787626881963774
2010-04-01,6.281342760071865
2010-04-04,-11.66099322661617
2010-04-05,16.316703190735673
2010-04-06,46.44270035743233
2010-04-07,56.30807179059171
2010-04-08,91.704608552665
2010-04-11,77.20559310500691
2010-04-12,69.54244151728287
2010-04-13,101.0381961326735
2010-04-14,122.24715300050048
2010-04-15,104.94854495385204
2010-04-18,114.27877686714709
2010-04-19,31.600741505057613
2010-04-20,-9.090102180379347
2010-04-21,-18.37567677101103
2010-04-22,-13.615921248841985
2010-04-25,-2.938386101399203
2010-04-26,20.505059614023793
2010-04-27,49.420817795791535
2010-04-28,66.82296936546615
2010-04-29,105.11487652493298
2010-05-02,99.32227432413185
2010-05-03,70.08066793098473
2010-05-04,66.23430915768498
2010-05-05,42.68309535016064
2010-05-06,8.677849762245302
2010-05-09,-12.523892395219605
2010-05-10,-27.714205268103463
2010-05-11,-22.650095079238007
2010-05-12,-10.491511377026164
2010-05-13,5.119243818458131
2010-05-16,-16.75447878768079
2010-05-17,-19.262886067069257
2010-05-18,-39.943073536570296
2010-05-19,-45.83144168126037
2010-05-20,-23.663819961117937
2010-05-23,-17.769543269865146
2010-05-24,1.314174145159745
2010-05-25,9.98600598160039
2010-05-26,33.32264670521475
2010-05-27,82.01834105582262
2010-05-30,61.142953093499955
2010-05-31,7.820059381908052
2010-06-01,0.9160552804102267
2010-06-02,12.076621325610844
2010-06-03,5.890000542518045
2010-06-06,-44.12230532806763
2010-06-07,-29.22212530687245
2010-06-08,-17.372818630583403
2010-06-09,22.656770969658876
2010-06-10,112.15319610095665
2010-06-13,169.56833870579214
2010-06-14,179.52178803168647
2010-06-15,151.00738696809452
2010-06-16,153.90617361173958
2010-06-17,126.66601485110155
2010-06-20,129.68575118951907
2010-06-21,121.24616712585959
2010-06-22,118.23670511296646
2010-06-23,101.84780332978485
2010-06-24,94.98474526899543
2010-06-27,77.16868306234858
2010-06-28,43.63507552078798
2010-06-29,11.121701892380713
2010-06-30,-8.330499317205337
2010-07-01,-30.831344147849634
2010-07-04,-57.08027715551182
2010-07-05,-30.06648280360173
2010-07-06,93.80383553052096
2010-07-07,206.78298345497348
2010-07-08,143.67170743507918
2010-07-11,109.22555495377466
2010-07-12,104.5367385321627
2010-07-13,98.43663430041389
2010-07-14,125.87208389303123
2010-07-15,119.11802067840651
2010-07-18,95.31219309177897
2010-07-19,113.19777007068646
2010-07-20,98.67834862999885
2010-07-21,134.48461519846597
2010-07-22,117.08450551854426
2010-07-25,118.61422012406916
2010-07-26,101.56756644905596
2010-07-27,64.58195317003205
2010-07-28,75.66097585909205
2010-07-29,70.7228877132992
2010-08-01,80.38825744783082
2010-08-02,90.1312628039677
2010-08-03,91.28912584396818
2010-08-04,77.32899005025817
2010-08-05,35.33132583674882
2010-08-08,78.35600150154514
2010-08-09,84.26125823850879
2010-08-10,89.37862619440574
2010-08-11,69.80072755112732
2010-08-12,50.95726139960706
2010-08-15,20.58742082335982
2010-08-16,29.110090104446797
2010-08-17,25.495870318746086
2010-08-18,-8.541531582164026
2010-08-19,-7.491764917214141
2010-08-22,17.34072643281742
2010-08-23,67.64684046899464
2010-08-24,89.1175812878951
2010-08-25,102.9497882465825
2010-08-26,89.6757431522909
2010-08-29,116.06339885084611
2010-08-30,117.32640199908624
2010-08-31,120.4472720307705
2010-09-01,121.43910667897296
2010-09-02,113.9374920851763
2010-09-05,84.39014012185575
2010-09-06,61.346059630491254
2010-09-07,59.70319990942204
2010-09-08,47.56340292813945
2010-09-09,50.286156583195606
2010-09-12,68.98519074459361
2010-09-13,86.86378943902844
