Date,kdjd
2010-01-01,44.444444444444436
2010-01-04,101.35828792544672
2010-01-05,131.5311442241373
2010-01-06,150.2117245063492
2010-01-07,150.4946892478883
2010-01-08,149.63441949417003
2010-01-11,147.87772397980257
2010-01-12,141.72230842706168
2010-01-13,130.63863697104557
2010-01-14,118.46499402798301
2010-01-15,101.52353666339627
2010-01-18,82.08564349057156
2010-01-19,66.73499901805293
2010-01-20,56.40253331580145
2010-01-21,45.31511579441873
2010-01-22,39.719197037424664
2010-01-25,43.35757717456029
2010-01-26,50.850282665672864
2010-01-27,53.93894596956772
2010-01-28,53.46366537844354
2010-01-29,39.227744270015734
2010-02-01,29.087675061073956
2010-02-02,17.162011642766643
2010-02-03,7.7380593648072065
2010-02-04,0.7950231468999629
2010-02-05,-1.5786437531057922
2010-02-08,-2.578375803791511
2010-02-09,1.120921275878152
2010-02-10,4.540223084999942
2010-02-11,10.866079709702198
2010-02-12,20.632162098610408
2010-02-15,29.281823974072303
2010-02-16,59.56994770010657
2010-02-17,78.98618199658566
2010-02-18,85.38474834157236
2010-02-19,84.0656057020062
2010-02-22,84.15291918931156
2010-02-23,89.30287845803866
2010-02-24,95.56493977225283
2010-02-25,99.66141149247113
2010-02-26,102.34229025522637
2010-03-01,95.27204375207387
2010-03-02,83.84225226191872
2010-03-03,70.03215227178508
2010-03-04,54.56141483532824
2010-03-05,44.72107044590958
2010-03-08,38.183156466893735
2010-03-09,38.49933071267793
2010-03-10,39.72264235254458
2010-03-11,41.19533434146708
2010-03-12,39.71792787503269
2010-03-15,35.72405613407368
2010-03-16,31.40806549550118
2010-03-17,27.6947601940959
2010-03-18,25.70232838736382
2010-03-19,24.840462342373463
2010-03-22,27.026670607111456
2010-03-23,29.457168021089387
2010-03-24,34.054783958793
2010-03-25,35.69728157015891
2010-03-26,32.489917715046104
2010-03-28,41.37019003823764
2010-03-29,51.22290354607887
2010-03-30,52.22783732872208
2010-03-31,47.450664407756605
2010-04-01,41.56933274380164
2010-04-04,33.96500046231338
2010-04-05,31.44381513780227
2010-04-06,33.58651302632085
2010-04-07,36.83244999264526
2010-04-08,44.67132978693379
2010-04-11,49.31908168951566
2010-04-12,52.2081330934824
2010-04-13,59.183856384795405
2010-04-14,68.19289875846755
2010-04-15,73.4437053578082
2010-04-18,79.27728700199947
2010-04-19,72.46635193100778
2010-04-20,60.81542991509533
2010-04-21,49.50241467422299
2010-04-22,40.48550954235656
2010-04-25,34.28209587896288
2010-04-26,32.31394784111444
2010-04-27,34.757786406068305
2010-04-28,39.33852682883942
2010-04-29,48.73514821399564
2010-05-02,55.96188051544367
2010-05-03,57.978850146235246
2010-05-04,59.158201433585205
2010-05-05,56.804614850238835
2010-05-06,49.92936269481119
2010-05-09,41.00746911052107
2010-05-10,31.19008705643185
2010-05-11,23.49863246562187
2010-05-12,18.64289763095786
2010-05-13,16.710947086315045
2010-05-16,11.930171961458496
2010-05-17,7.474020814525961
2010-05-18,0.7001501929407814
2010-05-19,-5.94722007480224
2010-05-20,-8.47816291570448
2010-05-23,-9.80550296629886
2010-05-24,-8.216977664661917
2010-05-25,-5.616551429481587
2010-05-26,-0.053808838810681436
2010-05-27,11.670784003279788
2010-05-30,18.738236730454098
2010-05-31,17.178497109233234
2010-06-01,14.85529113368709
2010-06-02,14.45833830396191
2010-06-03,13.234290052327072
2010-06-06,5.040490712270685
2010-06-07,0.14583128096452302
2010-06-08,-2.3568329921137514
2010-06-09,1.2165390024251956
2010-06-10,17.064632873643973
2010-06-13,38.85087656395085
2010-06-14,58.946721059341655
2010-06-15,72.09824476059205
2010-06-16,83.78509173932741
2010-06-17,89.91093789815228
2010-06-20,95.59305408263324
2010-06-21,99.25778451737986
2010-06-22,101.96905888817794
2010-06-23,101.95173666555034
2010-06-24,100.9564521803282
2010-06-27,97.55819944918824
2010-06-28,89.85489603084532
2010-06-29,78.60729686820753
2010-06-30,66.18761169886284
2010-07-01,52.327760863618195
2010-07-04,36.69804114659962
2010-07-05,27.16025201085657
2010-07-06,36.68076394223719
2010-07-07,60.98108101548522
2010-07-08,72.79402764685578
2010-07-11,77.9985315478442
2010-07-12,81.78970397417541
2010-07-13,84.16783687792376
2010-07-14,90.12558645151054
2010-07-15,94.26736276963852
2010-07-18,94.41662424423001
2010-07-19,97.09964507658093
2010-07-20,97.32517415564062
2010-07-21,102.63366573318709
2010-07-22,104.69807141680953
2010-07-25,106.68609266070376
2010-07-26,105.95487463046837
2010-07-27,100.04445727897745
2010-07-28,96.56110279042238
2010-07-29,92.86992920797621
2010-08-01,91.08683324224114
2010-08-02,90.95032317963064
2010-08-03,90.99872356025028
2010-08-04,89.04590448739427
2010-08-05,81.37239325158777
2010-08-08,80.94148014443881
2010-08-09,81.41573415787738
2010-08-10,82.55329016309571
2010-08-11,80.73149550424307
2010-08-12,76.47803348929506
2010-08-15,68.4936602513043
2010-08-16,62.86743594461037
2010-08-17,57.52864085520119
2010-08-18,48.09004479272044
2010-08-19,40.149786262729776
2010-08-22,36.89134914417087
2010-08-23,41.284990762002835
2010-08-24,48.11821797998744
2010-08-25,55.95129944664387
2010-08-26,60.76907711887916
2010-08-29,68.66826593773158
2010-08-30,75.61942823221081
2010-08-31,82.02340591771933
2010-09-01,87.65422031218412
2010-09-02,91.40897342261158
2010-09-05,90.40628295107503
2010-09-06,86.25482247670591
2010-09-07,82.4617335385225
2010-09-08,77.47625773703919
2010-09-09,73.5919575722044
2010-09-12,72.93384802540285
2010-09-13,74.92383965592079
2010-09-14,79.34648375505182
2010-09-15,82.3684978899394
