Date,macds
2010-01-01,0.0
2010-01-04,6.76816239316332e-05
2010-01-05,7.738227162528616e-05
2010-01-06,0.00010099927172842053
2010-01-07,0.00011259954454203008
2010-01-08,0.00016063338898426792
2010-01-11,0.0003138369151458137
2010-01-12,0.0004438834759780038
2010-01-13,0.0005056762624400507
2010-01-14,0.0005320817358723287
2010-01-15,0.0004929713970960897
2010-01-18,0.00043059003716550674
2010-01-19,0.00037548251042550244
2010-01-20,0.00033734731592204584
2010-01-21,0.0002815915401644053
2010-01-22,0.0002507097175896653
2010-01-25,0.000280351746085758
2010-01-26,0.0003388943753713504
2010-01-27,0.0003747527035663921
2010-01-28,0.0003851223463583642
2010-01-29,0.00029279067205031163
2010-02-01,0.0001522614970064341
2010-02-02,-0.0001332616446865252
2010-02-03,-0.0005106406334247506
2010-02-04,-0.0009961780409606382
2010-02-05,-0.001539558655820503
2010-02-08,-0.002118619552838921
2010-02-09,-0.0025609478235992544
2010-02-10,-0.0029650033790612007
2010-02-11,-0.003262210929014814
2010-02-12,-0.0034807319739724248
2010-02-15,-0.0036473591004291413
2010-02-16,-0.00365429606476507
2010-02-17,-0.0035554109483929247
2010-02-18,-0.003474150153130401
2010-02-19,-0.003387427860982853
2010-02-22,-0.0032507150460099796
2010-02-23,-0.0030259787695183092
2010-02-24,-0.002756690430180839
2010-02-25,-0.002482544746779185
2010-02-26,-0.0021907717447124868
2010-03-01,-0.001963764267741013
2010-03-02,-0.001808929334659822
2010-03-03,-0.0017372835233924232
2010-03-04,-0.0018131244101792633
2010-03-05,-0.0018762590345263834
2010-03-08,-0.0019299528427111066
2010-03-09,-0.00187293696795291
2010-03-10,-0.0017893926797487509
2010-03-11,-0.0016898968019521338
2010-03-12,-0.0016584176149384733
2010-03-15,-0.0016874640843781445
2010-03-16,-0.0017438903086296892
2010-03-17,-0.0017838633592183498
2010-03-18,-0.0017945891569974795
2010-03-19,-0.0018213359304598388
2010-03-22,-0.0018102965544138587
2010-03-23,-0.0017870020883398957
2010-03-24,-0.0017480994338300228
2010-03-25,-0.0017483517662044271
2010-03-26,-0.0018002390580454694
2010-03-28,-0.0017488094408368272
2010-03-29,-0.0016364203491029
2010-03-30,-0.0015847636558313542
2010-03-31,-0.0015953769745906264
2010-04-01,-0.0016293523199503374
2010-04-04,-0.0017733976440101743
2010-04-05,-0.0018794820960917563
2010-04-06,-0.0019114281561149339
2010-04-07,-0.0019048221465646311
2010-04-08,-0.0017849244888596622
2010-04-11,-0.0017006124178600987
2010-04-12,-0.0016363955382206923
2010-04-13,-0.001503279720403476
2010-04-14,-0.0013089769961304046
2010-04-15,-0.001078833729754533
2010-04-18,-0.0007928636077938633
2010-04-19,-0.0006336814186222129
2010-04-20,-0.0006050137539828005
2010-04-21,-0.0006486222145316516
2010-04-22,-0.0007379382128434696
2010-04-25,-0.0008331796461328966
2010-04-26,-0.0008777723811307538
2010-04-27,-0.0008384871580605532
2010-04-28,-0.0007375207685467976
2010-04-29,-0.0004916053024072555
2010-05-02,-0.0002395829145169876
2010-05-03,-7.331323808833448e-05
2010-05-04,6.868916140557028e-05
2010-05-05,0.00015317934703657925
2010-05-06,9.179299623639502e-05
2010-05-09,-7.593485272512293e-05
2010-05-10,-0.00047337234202209994
2010-05-11,-0.0010222720543902302
2010-05-12,-0.001592666258167144
2010-05-13,-0.002099086959654893
2010-05-16,-0.0027087333421759166
2010-05-17,-0.003497521864279179
2010-05-18,-0.004543904377071425
2010-05-19,-0.005896990606326257
2010-05-20,-0.007202251508014646
2010-05-23,-0.008467956244031918
2010-05-24,-0.009502640021588526
2010-05-25,-0.010322430030597116
2010-05-26,-0.010850845360554563
2010-05-27,-0.011082775967243896
2010-05-30,-0.01125191888896326
2010-05-31,-0.011427985269239556
2010-06-01,-0.01162951662010073
2010-06-02,-0.01176386992682895
2010-06-03,-0.011861900843589556
2010-06-06,-0.012146579350591004
2010-06-07,-0.012406941380234833
2010-06-08,-0.012612846871332895
2010-06-09,-0.01261557755060071
2010-06-10,-0.012392065869737066
2010-06-13,-0.011871530596938473
2010-06-14,-0.011174707777368183
2010-06-15,-0.010397546066376162
2010-06-16,-0.00946986496565951
2010-06-17,-0.008503188909086254
2010-06-20,-0.007440802907187813
2010-06-21,-0.006354033987004224
2010-06-22,-0.005108518238954719
2010-06-23,-0.0038894847989416137
2010-06-24,-0.0027345588774596646
2010-06-27,-0.0017322757260383125
