Date,rsv_9
2010-01-01,0.0
2010-01-04,578.8912579956873
2010-01-05,145.25862068965301
2010-01-06,178.96494156928208
2010-01-07,78.03608605135338
2010-01-08,141.62040249826777
2010-01-11,137.26523887973605
2010-01-12,99.50576606260431
2010-01-13,66.59092753388026
2010-01-14,65.41053630754702
2010-01-15,14.686449518952626
2010-01-18,-5.651672433679172
2010-01-19,21.681415929202792
2010-01-20,35.14538558786413
2010-01-21,-2.0543615676371174
2010-01-22,39.301517067003
2010-01-25,94.84829329962163
2010-01-26,96.23840604603092
2010-01-27,48.677430436276296
2010-01-28,37.30676743387073
2010-01-29,-72.75850223291003
2010-02-01,4.91080582325097
2010-02-02,-37.68301886792476
2010-02-03,-19.950905185639037
2010-02-04,-17.053457484520244
2010-02-05,7.20416591847714
2010-02-08,-1.0815646092542426
2010-02-09,34.714226115978335
2010-02-10,17.097449239295617
2010-02-11,47.795725470833084
2010-02-12,73.45739471106707
2010-02-15,59.41478942213465
2010-02-16,267.2762900065331
2010-02-17,113.1635614642813
2010-02-18,58.90834191554974
2010-02-19,47.91819920553003
2010-02-22,90.12799764601924
2010-02-23,130.15329865863401
2010-02-24,125.06159321105777
2010-02-25,107.384939997361
2010-02-26,107.40343347639505
2010-03-01,27.986556675832862
2010-03-02,20.68490635328756
2010-03-03,5.270518311336633
2010-03-04,-13.964084695791904
2010-03-05,27.88126507638769
2010-03-08,25.241222192441576
2010-03-09,67.18038059501488
2010-03-10,48.244438488341025
2010-03-11,48.083623693380474
2010-03-12,22.00790818786759
2010-03-15,9.682708072139153
2010-03-16,12.855627350757251
2010-03-17,15.252280337143656
2010-03-18,24.616095139128326
2010-03-19,25.91526120937892
2010-03-22,47.963800904976814
2010-03-23,40.156314273960895
2010-03-24,61.11372180451019
2010-03-25,30.446798710271665
2010-03-26,0.26101642868008673
2010-03-28,125.2418240442211
2010-03-29,94.52352231604257
2010-03-30,20.856453558502878
2010-03-31,5.213545909459967
2010-04-01,13.627371116023825
2010-04-04,-3.3443311337728403
2010-04-05,41.691661667666494
2010-04-06,60.81283743251389
2010-04-07,54.22915416916623
2010-04-08,94.39862027594442
2010-04-11,55.14557773301656
2010-04-12,56.72953671488885
2010-04-13,103.43343709943251
2010-04-14,112.36234458259275
2010-04-15,79.41398865784471
2010-04-18,104.94271375816705
2010-04-19,-5.355455213690846
2010-04-20,-5.148205928237471
2010-04-21,5.601980810894077
2010-04-22,13.602329450914514
2010-04-25,20.722407099279124
2010-04-26,41.38241819190166
2010-04-27,62.18108707709303
2010-04-28,66.2090959511929
2010-04-29,105.58515760416098
2010-05-02,76.18925338640304
2010-05-03,45.20767798677579
2010-05-04,60.52513320921857
2010-05-05,33.25851703406806
2010-05-06,4.341691784775477
2010-05-09,-2.8666709420892458
2010-05-10,-11.661395039121452
2010-05-11,1.23652395549891
2010-05-12,10.562837316885739
2010-05-13,20.678282067828523
2010-05-16,-18.588226858822612
2010-05-17,-9.052087861508138
2010-05-18,-35.66621019201052
2010-05-19,-32.0306997304057
2010-05-20,-2.13622457195033
2010-05-23,-10.300452007444937
2010-05-24,9.800584950811153
2010-05-25,8.832757245413276
2010-05-26,34.04642694583524
2010-05-27,83.21655637731993
2010-05-30,28.379487179486702
2010-05-31,-23.56923076923091
2010-06-01,2.5086018142013904
2010-06-02,20.57553956834506
2010-06-03,5.029715358149083
2010-06-06,-55.61371100164105
2010-06-07,-6.236246809259231
2010-06-08,-2.799509451515304
2010-06-09,39.81417205104987
2010-06-10,129.55589586523843
2010-06-13,149.7484506015308
2010-06-14,132.56850226124058
2010-06-15,96.92705638903213
2010-06-16,124.67377276420865
2010-06-17,92.17031925380986
2010-06-20,116.54659892318149
2010-06-21,105.84716325742896
2010-06-22,109.00033211557616
2010-06-23,90.96806140133731
2010-06-24,93.06346518906153
2010-06-27,74.35331554095718
2010-06-28,41.821479608661974
2010-06-29,19.43971724047667
2010-06-30,11.820526994656507
2010-07-01,-8.872305140960131
2010-07-04,-32.90031324857042
2010-07-05,13.37681779298647
2010-07-06,150.99601593625442
2010-07-07,217.30156987594702
2010-07-08,70.09633240482822
2010-07-11,72.38277623026926
2010-07-12,91.30106778087146
2010-07-13,88.02821040258571
2010-07-14,128.27505142521142
2010-07-15,103.57057502031533
2010-07-18,79.04361076845
2010-07-19,117.96676583702232
2010-07-20,88.39732345871457
2010-07-21,144.19948203732005
2010-07-22,99.97935057560325
2010-07-25,114.33263987736784
2010-07-26,92.15304541300827
2010-07-27,55.685990587991796
2010-07-28,92.3359362879455
2010-07-29,77.27395850262712
2010-08-01,91.58675984614537
2010-08-02,96.99062654168695
2010-08-03,91.93196685564948
2010-08-04,73.22975038206755
2010-08-05,27.79557965655987
2010-08-08,108.18822023047319
2010-08-09,86.9334186939817
2010-08-10,89.75672215108811
2010-08-11,61.60691421254872
2010-08-12,49.737516005121556
2010-08-15,21.63252240717032
2010-08-16,49.79513444302192
2010-08-17,37.32317736670346
2010-08-18,-6.0635433494887785
2010-08-19,14.38210227272751
2010-08-22,42.58488631566223
2010-08-23,89.4678721788942
2010-08-24,85.20946925253645
2010-08-25,91.28304230795695
2010-08-26,67.97897263013573
2010-08-29,112.5906657996098
2010-08-30,99.63197131263503
2010-08-31,105.45057822387058
2010-09-01,107.08482472586844
2010-09-02,98.92374072817208
2010-09-05,67.36574673707284
2010-09-06,57.05390056789922
2010-09-07,68.72286393053167
2010-09-08,52.764807077906504
2010-09-09,62.45945945945917
2010-09-12,83.20617231032972
2010-09-13,93.47621088727048
2010-09-14,106.76767002602845
