Date,trix
2010-01-01,
2010-01-04,0.09137053218393228
2010-01-05,0.054567752800406606
2010-01-06,0.04411304013539147
2010-01-07,0.03613740868888229
2010-01-08,0.03576711200075353
2010-01-11,0.0463180988269517
2010-01-12,0.052499598050877214
2010-01-13,0.052494668267849626
2010-01-14,0.050116973546347435
2010-01-15,0.04431147796400448
2010-01-18,0.037945411079822196
2010-01-19,0.032554781384411216
2010-01-20,0.02841480847932886
2010-01-21,0.023963560149943004
2010-01-22,0.02085318258787408
2010-01-25,0.020224763262915495
2010-01-26,0.02072762037337186
2010-01-27,0.020523599998069738
2010-01-28,0.01956797166345339
2010-01-29,0.015485773670287035
2010-02-01,0.010156201250936858
2010-02-02,0.0007710220851060936
2010-02-03,-0.01086942666309168
2010-02-04,-0.02509965316363658
2010-02-05,-0.04035665946762169
2010-02-08,-0.05596898759738137
2010-02-09,-0.06718064831465795
2010-02-10,-0.07686579516730857
2010-02-11,-0.08325853998380729
2010-02-12,-0.08725988747373777
2010-02-15,-0.08969335557822523
2010-02-16,-0.0878085225058949
2010-02-17,-0.08319008064506934
2010-02-18,-0.07916346045478298
2010-02-19,-0.07513363000701373
2010-02-22,-0.06997119690558365
2010-02-23,-0.06275213757338716
2010-02-24,-0.05466301361624928
2010-02-25,-0.046748755781329455
2010-02-26,-0.03868413940283072
2010-03-01,-0.03255411340829099
2010-03-02,-0.028476686215950932
2010-03-03,-0.026652112823342698
2010-03-04,-0.028605487342601797
2010-03-05,-0.030197133204407554
2010-03-08,-0.03151178620628561
2010-03-09,-0.030031880059269808
2010-03-10,-0.02793968206434906
2010-03-11,-0.025517139584796206
2010-03-12,-0.02485572498625941
2010-03-15,-0.02571006859349807
2010-03-16,-0.027208061174374423
2010-03-17,-0.028243742372567472
2010-03-18,-0.028515868399067126
2010-03-19,-0.029166571081036888
2010-03-22,-0.02885805088032433
2010-03-23,-0.028251771989828808
2010-03-24,-0.027276127655456384
2010-03-25,-0.027291782348797585
2010-03-26,-0.02857368080852633
2010-03-28,-0.027270313383455657
2010-03-29,-0.02450788240734261
2010-03-30,-0.0233253461645609
2010-03-31,-0.023708346518421325
2010-04-01,-0.02464866631243256
2010-04-04,-0.028256261579494936
2010-04-05,-0.030809093302858165
2010-04-06,-0.03145453464335791
2010-04-07,-0.031130630978868958
2010-04-08,-0.028036462657429585
2010-04-11,-0.025919206673028553
2010-04-12,-0.0243673987007766
2010-04-13,-0.02117697736969841
2010-04-14,-0.016589632019403666
2010-04-15,-0.011271666471843899
2010-04-18,-0.004753760533706066
2010-04-19,-0.0015537449063424238
2010-04-20,-0.0016459863407209364
2010-04-21,-0.003484327705304829
2010-04-22,-0.006353215757221122
2010-04-25,-0.009239626007956652
2010-04-26,-0.01075508740033284
2010-04-27,-0.010131872295841064
2010-04-28,-0.007988207704777492
2010-04-29,-0.002334722660521604
2010-05-02,0.003303929141144431
2010-05-03,0.006675310880360758
2010-05-04,0.009366185898775588
2010-05-05,0.010588143462829205
2010-05-06,0.008228804594646559
2010-05-09,0.003381996599348389
2010-05-10,-0.006890634047723568
2010-05-11,-0.02049288042958694
2010-05-12,-0.034139399545007075
2010-05-13,-0.04575026519336321
2010-05-16,-0.059512419724316916
2010-05-17,-0.07724402655090709
2010-05-18,-0.10077670454268693
2010-05-19,-0.13117933720716474
2010-05-20,-0.15957607563181211
2010-05-23,-0.1862885695845342
2010-05-24,-0.20669636667004843
2010-05-25,-0.2214210143125164
2010-05-26,-0.22875796036261115
2010-05-27,-0.2288009925622143
2010-05-30,-0.22757844678608308
2010-05-31,-0.22687704602671183
2010-06-01,-0.2271536316198481
2010-06-02,-0.2260589891218183
2010-06-03,-0.22439725361584073
2010-06-06,-0.227791779746752
2010-06-07,-0.23077743970678638
2010-06-08,-0.23258979841338956
2010-06-09,-0.22947285091063557
2010-06-10,-0.2209489581653634
2010-06-13,-0.2053343028262974
2010-06-14,-0.18587625477008288
2010-06-15,-0.16511243097363723
